"configuration","problem","model","data_file","status","time","unifiedVariables","extractedViews","intVariables","objective","propagators","propagations","initTime","run","paths","userDecisions","method","flatTime","failures","peakDepth","flatIntVars","restarts","blockType","nSolutions","oracleDecisions","solveTime","flatIntConstraints"
"Huub_free","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4281676933169365","0","8","69","17","49","644","0.006602","results_filter_basic","0","180","minimize","0.16845","19","67","77","0","complete","2","0","0.017441","57"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_3.dzn","SATISFIED","1200.2597355642356","0","8","65","32","67","102044905","0.007268","results_filter_basic","0","0","minimize","0.170834","9483530","128","73","0","complete","70","10107593","1199.818938","75"
"Huub_free","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4381759511306882","0","1","24","11","25","7891","0.005406","results_filter_basic","0","2455","minimize","0.160896","409","40","48","0","complete","4","0","0.054843","26"
"Huub_user","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1200.2262362856418","0","8","97","11","67","41308089","0.007398","results_filter_basic","0","13437559","minimize","0.164147","3657888","83","105","0","complete","3","0","1199.826155","75"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","441.58674609987065","0","8","97","14","67","34490050","0.007413","results_filter_basic","0","0","minimize","0.164457","5950581","178","105","0","complete","2","6285923","441.181654","75"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.4216374699026346","0","1","24","15","25","5742","0.005318","results_filter_basic","0","808","minimize","0.161459","697","27","33","0","complete","3","0","0.037701","26"
"Huub_free","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","159.93942137481645","0","8","97","10","67","12549627","0.00703","results_filter_basic","0","1442907","minimize","0.16303","1058346","239","105","18655","complete","5","908917","159.535364","75"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.1405666810460389","0","4","29","34","33","96440","0.005519","results_filter_basic","0","11887","minimize","0.16374","11618","29","33","0","complete","1","0","0.746631","37"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","101.86369292996824","0","8","65","16","67","13634630","0.007431","results_filter_basic","0","0","minimize","0.166579","1268231","184","105","0","complete","2","1332454","101.448517","75"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","217.63582834694535","0","1","34","35","35","5884335","0.005732","results_filter_basic","0","532112","minimize","0.160105","764186","86","35","21147","complete","7","526534","217.231465","36"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.4118098202161491","0","4","45","16","33","2943","0.005697","results_filter_basic","0","0","minimize","0.161979","35","130","49","0","complete","1","375","0.01291","37"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","1028.2277737497352","0","8","49","34","67","71703606","0.006708","results_filter_basic","0","0","minimize","0.173368","7340294","138","57","0","complete","68","7698756","1027.774258","75"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","3.1910251220688224","0","4","29","34","33","407969","0.005529","results_filter_basic","0","0","minimize","0.164369","45295","103","33","0","complete","3","48756","2.789775","37"
"Huub_free","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","2.1497962679713964","0","4","29","34","33","320539","0.005304","results_filter_basic","0","18122","minimize","0.163283","23587","56","33","984","complete","1","16683","1.753744","37"
"Huub_user","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.4775358480401337","0","1","32","10","25","6515","0.00546","results_filter_basic","0","2368","minimize","0.170833","531","39","48","0","complete","3","0","0.054348","26"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.43352668220177293","0","1","32","15","25","8198","0.005305","results_filter_basic","0","948","minimize","0.162148","901","39","33","36","complete","3","276","0.046615","26"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.4799454496242106","0","1","32","15","25","5760","0.00499","results_filter_basic","0","823","minimize","0.171278","697","32","33","0","complete","3","0","0.037413","26"
"Huub_free","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","36.65694662136957","0","8","97","11","67","3021126","0.007421","results_filter_basic","0","455987","minimize","0.163599","219482","195","105","4465","complete","3","175489","36.256806","75"
"Huub_free","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.1431517200544477","0","8","35","28","49","106166","0.005858","results_filter_basic","0","5705","minimize","0.172259","6026","37","43","204","complete","1","3624","0.696214","57"
"Huub_free","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.4245772282592952","0","3","18","4","11","100","0.004598","results_filter_basic","0","32","minimize","0.167928","7","20","26","0","complete","1","0","0.00344","14"
"Huub_free","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.655995260924","0","8","97","14","67","88719878","0.007023","results_filter_basic","0","13784873","minimize","0.165164","5173313","205","105","134492","complete","1","3825669","1199.823387","75"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","73.18779150722548","0","1","34","35","35","4725848","0.005672","results_filter_basic","0","0","minimize","0.172553","1053946","97","35","0","complete","1","1104389","72.77398","36"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","29.84523767605424","0","8","97","10","67","2265288","0.007445","results_filter_basic","0","0","minimize","0.164825","373989","154","105","0","complete","92","396436","29.449895","75"
"Huub_user","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.45972487097606063","0","8","35","18","49","3242","0.005968","results_filter_basic","0","923","minimize","0.165186","130","57","77","0","complete","3","0","0.058609","57"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.4832796403206885","0","1","24","18","25","12490","0.004891","results_filter_basic","0","2001","minimize","0.164384","1964","24","25","0","complete","1","0","0.088876","26"
"Huub_free","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","119.8839970570989","0","8","65","16","67","15855908","0.006943","results_filter_basic","0","1262702","minimize","0.162451","1032153","179","105","22318","complete","2","722140","119.495395","75"
"Huub_vsids","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.44412435591220856","0","3","18","4","11","370","0.00463","results_filter_basic","0","0","minimize","0.16767","1","112","26","0","complete","1","118","0.003562","14"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.39880655193701386","0","1","34","19","35","604","0.00582","results_filter_basic","0","0","minimize","0.162776","6","98","52","0","complete","1","103","0.007625","36"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.5420871232636273","0","1","34","19","35","17072","0.005767","results_filter_basic","0","2249","minimize","0.161814","479","141","52","7","complete","9","966","0.154603","36"
