"configuration","problem","model","data_file","status","time","restarts","extractedViews","propagators","paths","flatIntConstraints","oracleDecisions","flatIntVars","nSolutions","solveTime","peakDepth","blockType","initTime","objective","unifiedVariables","run","failures","method","userDecisions","propagations","flatTime","intVariables"
"Huub_free","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.44187490828335285","0","8","49","0","57","0","77","2","0.015898","67","complete","0.006109","17","0","results_filter_seperate+merge","15","minimize","176","636","0.179745","69"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","626.1656924230047","0","8","67","0","75","4169947","73","1","625.760819","148","complete","0.006947","30","0","results_filter_seperate+merge","4058072","minimize","0","52716854","0.168271","65"
"Huub_free","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.3945715627633035","1","1","25","0","26","131","48","1","0.007406","111","complete","0.005502","11","0","results_filter_seperate+merge","29","minimize","68","808","0.161531","24"
"Huub_user","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1200.226505835075","0","8","67","0","75","0","105","3","1199.826938","76","complete","0.007568","11","0","results_filter_seperate+merge","4376674","minimize","12715478","51468909","0.16212","97"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","35.87967939209193","0","8","67","0","75","310894","105","6","35.482718","219","complete","0.007552","14","0","results_filter_seperate+merge","300570","minimize","0","4684121","0.166191","97"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.4428656711243093","0","1","25","0","26","0","33","3","0.033249","27","complete","0.005386","15","0","results_filter_seperate+merge","609","minimize","707","4879","0.167885","24"
"Huub_free","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","6.9232056201435626","865","8","67","0","75","32944","105","5","6.511172","225","complete","0.007509","10","0","results_filter_seperate+merge","40219","minimize","64211","609874","0.170742","97"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.1549434680491686","0","4","33","0","37","0","33","1","0.76615","29","complete","0.00558","34","0","results_filter_seperate+merge","11365","minimize","11728","98429","0.162766","29"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","4.30930515890941","0","8","67","0","75","43266","105","2","3.901394","173","complete","0.007536","16","0","results_filter_seperate+merge","39999","minimize","0","547244","0.167387","65"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","33.468817505054176","4026","1","35","0","36","175160","35","7","33.075515","46","complete","0.005808","35","0","results_filter_seperate+merge","275170","minimize","148047","2066439","0.16401","34"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.45170149486511946","0","4","33","0","37","414","49","1","0.013614","123","complete","0.005631","16","0","results_filter_seperate+merge","57","minimize","0","3222","0.165958","45"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","360.8349919500761","0","8","67","0","75","1834144","57","68","360.33312","123","complete","0.007274","34","0","results_filter_seperate+merge","1793474","minimize","0","26878507","0.185818","49"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","2.744229545351118","0","4","33","0","37","34743","33","3","2.348124","99","complete","0.005636","34","0","results_filter_seperate+merge","32653","minimize","0","327818","0.166015","29"
"Huub_free","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.639464268926531","687","4","33","0","37","10307","33","3","1.247374","43","complete","0.005725","32","0","results_filter_seperate+merge","17055","minimize","14649","238159","0.16463","29"
"Huub_user","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.43648370541632175","0","1","25","0","26","0","48","4","0.040649","38","complete","0.005121","10","0","results_filter_seperate+merge","330","minimize","1537","4675","0.166548","32"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.4507710486650467","0","1","25","0","26","0","33","3","0.032534","32","complete","0.005394","15","0","results_filter_seperate+merge","609","minimize","722","4897","0.167237","32"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.5121057950891554","0","1","25","0","26","0","33","3","0.032438","32","complete","0.005443","15","0","results_filter_seperate+merge","609","minimize","722","4897","0.184654","32"
"Huub_free","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","2.803985440172255","311","8","67","0","75","13255","105","4","2.363965","186","complete","0.007622","11","0","results_filter_seperate+merge","13255","minimize","21518","238893","0.179989","97"
"Huub_free","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.0452515948563814","246","8","49","0","57","3843","43","1","0.623903","36","complete","0.005865","28","0","results_filter_seperate+merge","5295","minimize","5126","102152","0.169747","35"
"Huub_free","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.4259030600078404","0","3","11","0","14","0","26","1","0.003423","20","complete","0.00431","4","0","results_filter_seperate+merge","6","minimize","32","100","0.180266","18"
"Huub_free","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","49.96032800478861","9635","8","67","0","75","284234","105","3","49.530869","236","complete","0.007513","14","0","results_filter_seperate+merge","380730","minimize","395208","5936845","0.178531","97"
"Huub_vsids","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","2.2927087801508605","0","1","35","0","36","19499","35","3","1.88229","90","complete","0.005779","34","0","results_filter_seperate+merge","18714","minimize","0","199500","0.165838","34"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","4.067692942917347","0","8","67","0","75","32299","105","3","3.675025","211","complete","0.007492","10","0","results_filter_seperate+merge","30362","minimize","0","391613","0.163775","97"
"Huub_user","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.44671537866815925","0","8","49","0","57","0","77","2","0.024824","57","complete","0.00612","19","0","results_filter_seperate+merge","48","minimize","375","1641","0.178091","35"
"Huub_user","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.4696278269402683","0","1","25","0","26","0","25","1","0.053127","24","complete","0.005262","18","0","results_filter_seperate+merge","1151","minimize","1189","8014","0.171994","24"
"Huub_free","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","7.021148832980543","1871","8","67","0","75","41484","105","3","6.629203","176","complete","0.007459","16","0","results_filter_seperate+merge","59749","minimize","68177","1163487","0.163463","65"
