"configuration","problem","model","data_file","status","time","flatTime","blockType","propagators","userDecisions","objective","paths","peakDepth","initTime","intVariables","restarts","nSolutions","oracleDecisions","flatIntVars","extractedViews","propagations","flatIntConstraints","failures","method","solveTime","run","unifiedVariables"
"Huub_free","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","6.144983642268926","0.184413","complete","67","51867","10","0","225","0.00747","97","727","5","31118","105","8","580777","75","35520","minimize","5.676121","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.6137569770216942","0.239665","complete","33","11692","34","0","29","0.006604","29","0","1","0","33","4","99591","37","11333","minimize","0.753267","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","6.57489445572719","0.16325","complete","67","0","16","0","173","0.007584","65","0","2","71903","105","8","902859","75","68017","minimize","6.186198","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","34.3921972932294","0.198623","complete","35","178336","35","0","45","0.006451","34","4650","7","167355","35","1","2251703","36","291564","minimize","33.778636","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6744690691120923","0.410987","complete","33","0","16","0","123","0.006512","45","0","1","414","49","4","3222","37","57","minimize","0.014098","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_1.dzn","OPTIMAL_SOLUTION","375.1375805977732","0.383935","complete","67","0","34","0","106","0.007863","49","0","68","1867166","57","8","24992960","75","1828081","minimize","374.517188","results_filter_merge","0"
"Huub_vsids","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","2.837198810186237","0.238075","complete","33","0","34","0","160","0.006592","29","0","3","31759","33","4","310317","37","29560","minimize","1.97644","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","2.0169714223593473","0.237117","complete","33","14225","34","0","43","0.006631","29","447","1","8217","33","4","206393","37","16877","minimize","1.15628","results_filter_merge","0"
"Huub_user","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","2.2604208290576935","0.502325","complete","25","1537","10","0","38","0.009959","32","0","4","0","48","1","4675","26","330","minimize","0.041583","results_filter_merge","0"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.5399901936762035","0.180711","complete","25","722","15","0","32","0.006227","32","0","3","0","33","1","4897","26","609","minimize","0.031802","results_filter_merge","0"
