"configuration","problem","model","data_file","status","time","variables","intVars","flatIntVars","failures","nSolutions","peakMem","solveTime","blockType","optTime","nodes","unifiedVariables","boolVariables","nogoods","restarts","solutions","run","trailMem","paths","propagations","randomSeed","backjumps","extractedViews","intVariables","userDecisions","flatTime","flatBoolVars","evaluatedHalfReifiedConstraints","oracleDecisions","method","flatBoolConstraints","baseMem","propagators","peakDepth","initTime","flatIntConstraints","evaluatedReifiedConstraints","objective"
"Huub_free","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.5702822711318731","","","49","3089","7","","0.129581","complete","","","0","","","214","","results","","0","479309","","","4","29","5257","0.199483","600","600","6855","minimize","180","","631","698","0.011813","635","","18"
"Huub_user","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.5509994253516197","","","49","3112","7","","0.109035","complete","","","0","","","0","","results","","0","322603","","","4","29","5100","0.199479","600","600","4630","minimize","180","","631","698","0.011977","635","","18"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.48128296434879303","","","33","888","3","","0.033087","complete","","","0","","","26","","results","","0","84292","","","1","32","911","0.199226","310","310","1268","minimize","127","","333","362","0.008771","334","","15"
"gecode","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.6088915932923555","61","","61","1095","2","","0.015407","","","2257","","","","0","2","results","","0","28141","","","","","","0.161086","","","","minimize","","","41","51","0.001729","37","","15"
"chuffed","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.41010984033346176","5544","47","47","149","1","0.0","0.009","","0.008","1070","","5495","149","1","","results","0.01","0","46901","1665098355","882","","","","0.17263","508","","","minimize","127","0.0","1041","39","0.01","531","508","11"
"Huub_vsids","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","2.024548688903451","","","48","696","9","","0.053836","complete","","","0","","","0","","results","","0","87655","","","1","32","0","0.438775","508","508","6129","minimize","127","","531","646","0.010523","532","","10"
"Huub_vsids","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","382.11211815848947","","","73","4487353","70","","380.020839","complete","","","0","","","0","","results","","0","749630071","","","8","49","0","0.507223","1456","1456","4790001","minimize","608","","1521","365","0.024565","1529","","32"
"Huub_vsids","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","1.1734361629933119","","","77","1400","80","","0.421533","complete","","","0","","","0","","results","","0","968091","","","8","69","0","0.265243","1344","1344","146434","minimize","336","","1391","1834","0.020872","1399","","17"
"chuffed","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.5409358516335487","7506","36","36","9786","1","0.0","0.428","","0.004","14882","","7468","9786","1","","results","0.02","0","5588057","-143768380","5067","","","","0.226179","360","","","minimize","180","0.0","762","29","0.011","397","360","34"
"Huub_user","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.9548241440206766","","","26","9","1","","0.004081","complete","","","0","","","0","","results","","0","670","","","3","18","34","0.423043","80","80","90","minimize","20","","89","110","0.009538","92","","4"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","433.9860139731318","","","73","2598070","1","","431.89523","complete","","","0","","","95263","","results","","0","981573850","","","8","65","3081045","0.508169","1456","1456","1839568","minimize","608","","1521","1588","0.024638","1529","","32"
"Huub_free","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.6555256340652704","","","25","550","1","","0.025163","complete","","","0","","","31","","results","","0","73048","","","1","24","381","0.214671","254","254","613","minimize","127","","277","278","0.008896","278","","18"
"chuffed","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.7142580766230822","11446","76","76","3","2","0.0","0.009","","0.008","117","","11368","3","2","","results","0.04","0","22556","142443492","9","","","","0.220138","1288","","","minimize","336","0.0","2646","54","0.025","1349","1288","21"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","402.70290912128985","","","73","2537017","1","","400.608812","complete","","","0","","","100119","","results","","0","993213591","","","8","49","3117731","0.50925","1456","1456","1811032","minimize","608","","1521","1566","0.024585","1529","","32"
"Huub_free","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.264812381938","","","57","5271927","1","","1199.722709","complete","","","0","","","154302","","results","","0","1686813069","","","8","49","4975753","0.254846","1216","1216","3783693","minimize","608","","1281","1265","0.02081","1289","","34"
"Huub_user","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4487046431750059","","","48","169","3","","0.017472","complete","","","0","","","0","","results","","0","29027","","","1","24","678","0.185886","508","508","1773","minimize","127","","531","632","0.010706","532","","11"
"gecode","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","0.48107630759477615","105","","105","67","1","","0.00736","","","171","","","","0","1","results","","0","3189","","","","","","0.162397","","","","minimize","","","79","116","0.001892","75","","16"
"Huub_user","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","68.95676464028656","","","73","510339","1","","66.868812","complete","","","0","","","0","","results","","0","72123520","","","8","49","516849","0.509772","1456","1456","1514","minimize","608","","1521","1566","0.024586","1529","","32"
"chuffed","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.9027654100209475","5260","33","32","434","3","0.0","0.016","","0.008","720","","5225","434","3","","results","0.01","0","114538","-764126246","213","","","","0.190357","310","","","minimize","127","0.0","645","27","0.01","333","310","15"
