"configuration","problem","model","data_file","status","time","objective","baseMem","flatBoolConstraints","boolVariables","flatIntConstraints","trailMem","userDecisions","variables","eliminatedImplications","peakMem","solveTime","run","flatBoolVars","flatTime","evaluatedReifiedConstraints","method","peakDepth","propagations","failures","intVariables","blockType","flatIntVars","evaluatedHalfReifiedConstraints","nSolutions","restarts","objectiveBound","paths","propagators","oracleDecisions","unifiedVariables","extractedViews","intVars","randomSeed","solutions","initTime","backjumps","nogoods","nodes"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.6141245467588","","","156","","307","","","","104","","","results_rect","208","0.105026","","satisfy","","","","","","135","208","0","","","0","","","","","","","","","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","69.26278403773904","","","4956","","16839","","398242","","42","","68.18708","results_rect","15498","0.568933","10584","satisfy","21","15816542","397579","103","complete","5905","84","1","0","","0","447","0","0","16380","","","","0.155043","","",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","42.84361975081265","","","7975","","26792","","149053","","50","","41.233126","results_rect","25075","0.858825","16250","satisfy","605","32490465","193280","123","complete","8904","1300","1","4505","","0","1755","103557","0","25025","","","","0.255721","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","716.8872249899432","","","12296","","40639","","1919632","","58","","714.420327","results_rect","38222","1.33397","25984","satisfy","2542","133719370","2534035","151","complete","14077","116","1","57321","","0","723","1289846","0","39904","","","","0.401299","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","76.95355624333024","","","5214","","17603","","395513","","44","","75.719034","results_rect","16258","0.63628","11088","satisfy","21","15602022","394842","105","complete","6161","88","1","0","","0","453","0","0","17138","","","","0.169302","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","402.90620542503893","","","132","","259","","","289","88","","402.654","results_rect","176","0.091181","","satisfy","66","398103833","9735771","","","111","176","1","0","","0","393","","","","","","1","0.004157","","","19471712"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","736.092974579893","","","5764","","19460","","3372443","","44","","734.645221","results_rect","17996","0.6773","12276","satisfy","21","111745744","3368329","109","complete","6803","88","1","0","","0","484","0","0","18964","","","","0.181286","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.2335762055590749","","","2754","","9555","","2663","","34","","0.525503","results_rect","8636","0.3592","5916","satisfy","2761","242990","4482","79","complete","3383","68","1","73","","0","329","7673","0","9214","","","","0.092934","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","21.47542273066938","","","4420","","15053","","141890","","40","","20.402804","results_rect","13820","0.520624","9440","satisfy","21","5436794","141625","97","complete","5283","80","1","0","","0","421","0","0","14620","","","","0.142923","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.2513800403103","","0.0","602","32024","1844","0.05","","32206","56","0.0","1199.854","results_rect","1792","0.143048","1624","satisfy","20","3923837726","6416762","","","151","112","0","0","","0","3403","","","","180","656381995","","0.051","304277","6416762","6721053"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","34.03471826855093","","","5166","","17678","","134620","","42","","32.874394","results_rect","16338","0.625062","10584","satisfy","541","27359535","203489","103","complete","5905","924","1","4361","","0","1286","101640","0","16380","","","","0.168456","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","748.0898878434673","","","5764","","19460","","3364271","","44","","746.576158","results_rect","17996","0.741866","12276","satisfy","21","111062060","3360107","109","complete","6803","88","1","0","","0","484","0","0","18964","","","","0.179692","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.5984805235639215","","","4420","","15053","","2444","","40","","0.490655","results_rect","13820","0.558528","9440","satisfy","4420","191815","3880","97","complete","5283","80","1","27","","0","421","10545","0","14620","","","","0.140601","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.614010444842279","","","4662","","15769","","2443","","42","","0.506091","results_rect","14532","0.5921","9912","satisfy","4661","183818","3790","99","complete","5523","84","1","27","","0","427","10784","0","15330","","","","0.150282","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.429823502898216","","","114","","225","","","253","76","","4.2207","results_rect","152","0.085953","","satisfy","38","5893822","138426","","","97","152","1","0","","0","341","","","","","","1","0.001935","","","276878"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.6980554265901446","","","1965","","6903","","1197","","30","","0.111695","results_rect","6165","0.286233","4230","satisfy","1948","53265","1184","67","complete","2458","60","1","0","","0","276","1935","0","6615","","","","0.06675","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","75.6697972882539","","","5214","","17603","","395409","","44","","74.484428","results_rect","16258","0.627208","11088","satisfy","22","15623905","394753","105","complete","6161","88","1","0","","0","453","0","0","17138","","","","0.167225","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","89.20746497623622","","","7675","","25593","","314319","","50","","87.592635","results_rect","23875","0.846835","16250","satisfy","152","19139091","406240","123","complete","8904","100","1","7787","","0","556","180563","0","25025","","","","0.254742","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7534560365602374","","","2112","","7334","","1202","","32","","0.116765","results_rect","6592","0.300427","4512","satisfy","2094","53912","1188","69","complete","2603","64","1","0","","0","282","2080","0","7040","","","","0.070949","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.6188371209428","","","7675","","25593","","4629303","","50","","1198.853739","results_rect","23875","0.889798","16250","satisfy","16","153337354","4625573","123","complete","8904","100","0","0","","0","556","0","0","25025","","","","0.254267","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.68350700289","","","11312","","37440","","4241715","","56","","1198.361383","results_rect","35168","1.26117","23912","satisfy","18","167792342","4233631","145","complete","12975","112","0","0","","0","692","0","0","36736","","","","0.37516","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","750.9641654696316","","","6049","","20305","","3370866","","46","","749.603482","results_rect","18837","0.733196","12834","satisfy","22","111500823","3366626","111","complete","7086","92","1","0","","0","490","0","0","19803","","","","0.190302","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","64.0439543845132","","","5764","","19460","","233979","","44","","62.813663","results_rect","17996","0.65148","12276","satisfy","915","16650551","345799","109","complete","6803","88","1","11365","","0","484","220498","0","18964","","","","0.17853","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","22.916998703964055","","","4662","","15769","","141748","","42","","21.82527","results_rect","14532","0.568818","9912","satisfy","22","5451239","141478","99","complete","5523","84","1","0","","0","427","0","0","15330","","","","0.153718","","",""
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","9.292272887192667","","","6647","","22556","","32804","","46","","7.890725","results_rect","20976","0.753922","13616","satisfy","1100","8223595","49822","115","complete","7527","1104","1","1409","","0","1522","30013","0","21022","","","","0.210716","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.304831650108099","","0.0","225","6723","596","0.02","","6814","30","0.0","0.051","results_rect","570","0.098986","480","satisfy","12","483449","1089","","","73","60","1","0","","0","1037","","","","89","-534056838","","0.012","25","1089","1127"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","UNKNOWN","1200.4433905025944","","","138","","271","","","303","92","","1199.9","results_rect","184","0.099192","","satisfy","63","849493616","30704569","","","117","184","0","0","","0","411","","","","","","0","0.071376","","","61409374"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.8642334025353","","","11690","","38951","","4383928","","56","","1198.268235","results_rect","36680","1.33791","23912","satisfy","19","626501117","4375330","145","complete","12975","1624","0","0","","0","2203","0","0","36736","","","","0.389991","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.8091043336316943","","","2112","","7334","","1202","","32","","0.114165","results_rect","6592","0.309981","4512","satisfy","2094","53833","1188","69","complete","2603","64","1","0","","0","282","2080","0","7040","","","","0.077741","","",""
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.783083769492805","","","2400","","8350","","1356","","32","","0.119277","results_rect","7520","0.326173","5152","satisfy","2381","53437","1343","73","complete","2959","64","1","0","","0","306","2368","0","8032","","","","0.083063","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.775859103538096","","","3515","","11989","","22264","","38","","2.744086","results_rect","10963","0.432076","7486","satisfy","21","857576","22184","87","complete","4216","76","1","0","","0","368","0","0","11609","","","","0.119472","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8753979112952948","","","2400","","8350","","1356","","32","","0.122998","results_rect","7520","0.327922","5152","satisfy","2381","53437","1343","73","complete","2959","64","1","0","","0","306","2368","0","8032","","","","0.084792","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7634885963052511","","","2112","","7334","","1077","","32","","0.135532","results_rect","6592","0.297301","4512","satisfy","2108","66628","1360","69","complete","2603","64","1","83","","0","282","2614","0","7040","","","","0.073981","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","23.556656911969185","","","7344","","24610","","79649","","48","","21.853111","results_rect","22896","0.896298","15600","satisfy","203","5213890","101858","121","complete","8575","96","1","2003","","0","550","47485","0","24048","","","","0.241221","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","17.894776268862188","","0.0","350","14148","996","0.04","","14274","40","0.0","17.58","results_rect","960","0.116479","840","satisfy","20","55491142","132118","","","103","80","1","0","","0","1787","","","","124","-821550734","","0.024","4540","132118","136679"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.535881743766367","","","3980","","13545","","24695","","40","","3.527255","results_rect","12420","0.516653","8480","satisfy","21","1009780","24612","93","complete","4759","80","1","0","","0","393","0","0","13140","","","","0.129698","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","30.400264379568398","","","11312","","37440","","107630","","56","","28.078207","results_rect","35168","1.25345","23912","satisfy","98","7403550","130642","145","complete","12975","112","1","3875","","0","692","62609","0","36736","","","","0.378364","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","46.66049950290471","","","11312","","37440","","137315","","56","","44.252999","results_rect","35168","1.34534","23912","satisfy","1923","10540953","207471","145","complete","12975","112","1","3163","","0","692","108058","0","36736","","","","0.373088","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.8893460715189576","","","1965","","6903","","1076","","30","","0.131376","results_rect","6165","0.31915","4230","satisfy","1957","66248","1360","67","complete","2458","60","1","83","","0","276","2463","0","6615","","","","0.070229","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","48.28376539517194","","","126","","247","","","275","84","","48.0703","results_rect","168","0.089741","","satisfy","56","47449353","1426665","","","105","168","1","0","","0","375","","","","","","1","0.002087","","","2853398"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.4537192257121205","","","2754","","9555","","24728","","34","","2.649729","results_rect","8636","0.363946","5916","satisfy","18","904956","24671","79","complete","3383","68","1","0","","0","329","0","0","9214","","","","0.095147","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.352824074216187","","","2934","","10085","","2664","","36","","0.539218","results_rect","9162","0.38588","6264","satisfy","2940","244690","4482","81","complete","3561","72","1","73","","0","335","8032","0","9738","","","","0.098238","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.5490396451205015","","","3515","","11989","","10305","","38","","1.683971","results_rect","10963","0.450506","7486","satisfy","327","601825","14331","87","complete","4216","76","1","287","","0","368","5582","0","11609","","","","0.114158","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.33459437172859907","","","96","","189","","","211","64","","0.105675","results_rect","128","0.095315","","satisfy","29","205015","4093","","","79","128","1","0","","0","287","","","","","","1","0.001733","","","8209"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","ALL_SOLUTIONS","0.34127500373870134","0","","96","136","189","","","","64","","0.095803","results_rect","128","0.101669","","satisfy","","85732","1674","","","79","128","1","","0","0","","","","","","","","","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8448220770806074","","","2400","","8350","","1305","","32","","0.143161","results_rect","7520","0.331502","5152","satisfy","2381","69152","1606","73","complete","2959","64","1","86","","0","306","2931","0","8032","","","","0.085147","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","905.4448583172634","","0.0","468","20862","1386","0.05","","21012","48","0.0","904.999","results_rect","1344","0.132273","1200","satisfy","29","2690601105","5398849","","","123","96","1","0","","0","2527","","","","148","-201246740","","0.035","191738","5398849","5590612"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","2.590052622370422","","","2934","","10085","","9413","","36","","1.868414","results_rect","9162","0.363963","6264","satisfy","2937","720750","15989","81","complete","3561","72","1","437","","0","335","14925","0","9738","","","","0.0969","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7545426357537508","","","2112","","7334","","1087","","32","","0.121473","results_rect","6592","0.304243","4512","satisfy","2101","64767","1339","69","complete","2603","64","1","79","","0","282","2581","0","7040","","","","0.073982","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6348249232396","","","9585","","31769","","4232993","","54","","1198.504255","results_rect","29781","1.17073","20250","satisfy","19","157564133","4223490","135","complete","11022","108","0","0","","0","626","0","0","31131","","","","0.321161","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","58.61245821136981","","","12750","","41991","","149045","","60","","56.094006","results_rect","39570","1.33692","26880","satisfy","2005","11990915","230660","153","complete","14529","120","1","2385","","0","729","114641","0","41250","","","","0.407548","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.618780421093","","","8075","","27015","","4503627","","50","","1198.716123","results_rect","25175","1.016189","17150","satisfy","16","150411137","4497845","127","complete","9408","100","0","0","","0","578","0","0","26425","","","","0.264953","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5734189171344","","","8075","","27015","","4367719","","50","","1198.822944","results_rect","25175","0.913091","17150","satisfy","16","145885201","4362034","127","complete","9408","100","0","0","","0","578","0","0","26425","","","","0.261704","","",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.9183644764125347","","","2400","","8350","","1305","","32","","0.147413","results_rect","7520","0.333459","5152","satisfy","2381","69152","1606","73","complete","2959","64","1","86","","0","306","2931","0","8032","","","","0.083216","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.6218760106713","","","7975","","26792","","4927331","","50","","1198.824345","results_rect","25075","0.90097","16250","satisfy","16","570261613","4923480","123","complete","8904","1300","0","0","","0","1755","0","0","25025","","","","0.272458","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","44.524399355985224","","","120","","237","","","267","80","","44.2597","results_rect","160","0.093414","","satisfy","51","43906128","1386014","","","103","160","1","0","","0","359","","","","","","1","0.002101","","","2772093"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.5684017892927","","","6394","","21545","","5001095","","46","","1199.060529","results_rect","19964","0.732534","13616","satisfy","18","166345796","4997175","115","complete","7527","92","0","0","","0","511","0","0","21022","","","","0.204853","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.2793068569154","","","174","","345","","","393","116","","1199.88","results_rect","232","0.120975","","satisfy","61","1094498491","24937937","","","157","232","0","0","","0","521","","","","","","0","0.006983","","","49875885"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.2632025545463","","","150","","297","","","","100","","","results_rect","200","0.102597","","satisfy","","","","","","133","200","0","","","0","","","","","","","","","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.5131497988477","","","6394","","21545","","4954824","","46","","1199.063897","results_rect","19964","0.729361","13616","satisfy","18","164651297","4950939","115","complete","7527","92","0","0","","0","511","0","0","21022","","","","0.205369","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","7.390032169409096","","","9204","","30636","","15146","","52","","5.363287","results_rect","28652","1.12787","19500","satisfy","2543","1412195","20745","133","complete","10643","104","1","227","","0","620","10645","0","30004","","","","0.308492","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","UNKNOWN","1200.6589846797287","","","10444","","34575","","3814898","","56","","1198.478692","results_rect","32452","1.17484","22064","satisfy","16","152940754","3812403","141","complete","11991","112","0","0","","0","655","0","0","33908","","","","0.345387","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","11.732479779981077","","","11312","","37440","","35081","","56","","9.436123","results_rect","35168","1.22395","23912","satisfy","1662","2450286","44801","145","complete","12975","112","1","927","","0","692","21060","0","36736","","","","0.370513","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.2908225441352","","","180","","355","","","401","120","","1199.88","results_rect","240","0.118128","","satisfy","61","1105509157","25460421","","","159","240","0","0","","0","537","","","","","","0","0.008723","","","50920858"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.1693656602874","","","150","","295","","","331","100","","1199.9","results_rect","200","0.097231","","satisfy","55","806204655","27657983","","","129","200","0","0","","0","447","","","","","","0","0.003917","","","55316160"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.4910309771076","","","6647","","22556","","4959551","","46","","1198.942951","results_rect","20976","0.835042","13616","satisfy","19","552788588","4955510","115","complete","7527","1104","0","0","","0","1522","0","0","21022","","","","0.218207","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.5426016189158","","","8375","","28214","","4489956","","50","","1198.741239","results_rect","26375","0.980638","17150","satisfy","16","526427606","4484153","127","complete","9408","1300","0","0","","0","1777","0","0","26425","","","","0.275624","","",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.7707723388448","","","10044","","33385","","3890932","","54","","1198.484413","results_rect","31266","1.16055","21276","satisfy","16","155080049","3888423","139","complete","11593","108","0","0","","0","649","0","0","32724","","","","0.336494","","",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","8.796098883263767","","","11745","","38729","","12592","","58","","6.314567","results_rect","36453","1.36796","24766","satisfy","2345","1666493","20931","147","complete","13406","116","1","463","","0","698","16043","0","38019","","","","0.392136","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","13.061943515203893","","","10444","","34575","","37771","","56","","10.882483","results_rect","32452","1.20249","22064","satisfy","1968","2556983","47178","141","complete","11991","112","1","925","","0","655","20444","0","33908","","","","0.343449","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8882787534967065","","","2703","","9384","","1358","","34","","0.118453","results_rect","8551","0.392407","5474","satisfy","3155","145135","1343","75","complete","3124","612","1","0","","0","852","3140","0","8517","","","","0.094683","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.6336685474961996","","","3515","","11989","","22272","","38","","2.78954","results_rect","10963","0.432087","7486","satisfy","21","858129","22193","87","complete","4216","76","1","0","","0","368","0","0","11609","","","","0.117011","","",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.4693613052368164","","","3762","","12901","","2606","","38","","0.460069","results_rect","11780","0.500604","8056","satisfy","61","166819","3502","91","complete","4543","76","1","27","","0","387","1160","0","12502","","","","0.123852","","",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","12.907341439276934","","","9204","","30636","","39355","","52","","10.825184","results_rect","28652","1.14444","19500","satisfy","2481","3496740","48091","133","complete","10643","104","1","1577","","0","620","27724","0","30004","","","","0.304272","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","27.404243054799736","","","7344","","24610","","90666","","48","","25.762135","results_rect","22896","0.83998","15600","satisfy","125","6308236","117683","121","complete","8575","96","1","2821","","0","550","62322","0","24048","","","","0.241995","","",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.6184297716245","","","10044","","33385","","3865786","","54","","1198.552469","results_rect","31266","1.11164","21276","satisfy","16","154549813","3863283","139","complete","11593","108","0","0","","0","649","0","0","32724","","","","0.334048","","",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","11.182292932644486","","","8424","","28052","","36603","","52","","9.426749","results_rect","26208","0.970209","17836","satisfy","1536","2447121","51158","129","complete","9755","104","1","1027","","0","584","23644","0","27456","","","","0.273096","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.2553696697578","","","144","","285","","","323","96","","1199.89","results_rect","192","0.1067","","satisfy","55","864241681","29640136","","","127","192","0","0","","0","431","","","","","","0","0.007085","","","59280462"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.5723043754697","","","8075","","27015","","4891130","","50","","1198.791991","results_rect","25175","0.946173","17150","satisfy","16","163049651","4884925","127","complete","9408","100","0","0","","0","578","0","0","26425","","","","0.261189","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","10.831827524118125","","","8424","","28052","","34564","","52","","9.031835","results_rect","26208","0.974865","17836","satisfy","1536","2350588","46575","129","complete","9755","104","1","941","","0","584","22072","0","27456","","","","0.278534","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.7089955452829599","","","1965","","6903","","1097","","30","","0.12592","results_rect","6165","0.285005","4230","satisfy","1952","66446","1349","67","complete","2458","60","1","81","","0","276","2438","0","6615","","","","0.068193","","",""
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","10.435131656937301","","","9204","","30636","","24812","","52","","8.44251","results_rect","28652","1.07923","19500","satisfy","237","2576543","35816","133","complete","10643","104","1","1127","","0","620","22763","0","30004","","","","0.314433","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","4.828710025176406","","","3980","","13545","","25544","","40","","3.82258","results_rect","12420","0.519638","8480","satisfy","21","1095974","25464","93","complete","4759","80","1","0","","0","393","0","0","13140","","","","0.131169","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.0102916825562716","","","3515","","11989","","10303","","38","","1.999775","results_rect","10963","0.438009","7486","satisfy","121","634898","14697","87","complete","4216","76","1","285","","0","368","5848","0","11609","","","","0.119388","","",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","10.936653140932322","","","8424","","28052","","35456","","52","","9.138131","results_rect","26208","0.977586","17836","satisfy","1536","2321394","47662","129","complete","9755","104","1","1125","","0","584","22790","0","27456","","","","0.280564","","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","ALL_SOLUTIONS","12.65414922311902","0","","126","345","247","","","","84","","12.4314","results_rect","168","0.088175","","satisfy","","15942264","209023","","","105","168","1","","0","0","","","","","","","","","","",""
