"configuration","problem","model","data_file","status","time","objective","baseMem","flatBoolConstraints","boolVariables","flatIntConstraints","trailMem","userDecisions","variables","eliminatedImplications","peakMem","solveTime","run","flatBoolVars","flatTime","evaluatedReifiedConstraints","method","peakDepth","propagations","failures","intVariables","blockType","flatIntVars","evaluatedHalfReifiedConstraints","nSolutions","restarts","objectiveBound","paths","propagators","oracleDecisions","unifiedVariables","extractedViews","intVars","randomSeed","solutions","initTime","backjumps","nogoods","nodes"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.5994413122535","","","8424","","28052","","4513527","","52","","1198.723225","results_rect","26208","1.00133","17836","satisfy","16","152366393","4507494","129","complete","9755","104","0","0","","0","584","0","0","27456","","","","0.275478","","",""
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.5165663268417","","","6696","","22441","","4753057","","48","","1199.031759","results_rect","20856","0.749366","14208","satisfy","19","158501019","4749364","117","complete","7827","96","0","0","","0","517","0","0","21912","","","","0.214739","","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","1.5816237330436707","","0.0","297","10804","824","0.04","","10916","36","0.0","1.31","results_rect","792","0.108391","684","satisfy","19","7626606","20168","","","91","72","1","0","","0","1463","","","","110","-941250214","","0.018","727","20168","20914"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","ALL_SOLUTIONS","0.3242010436952114","0","","96","155","187","","","","64","","0.087348","results_rect","128","0.088707","","satisfy","","83708","1314","","","75","128","1","","0","0","","","","","","","","","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","3.4050904978066683","","","2754","","9555","","24732","","34","","2.676934","results_rect","8636","0.362561","5916","satisfy","18","903267","24676","79","complete","3383","68","1","0","","0","329","0","0","9214","","","","0.092352","","",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.674765529111","","","6972","","23544","","4976783","","48","","1198.942028","results_rect","21960","0.815268","14208","satisfy","19","575795400","4972779","117","complete","7827","1200","0","0","","0","1620","0","0","21912","","","","0.242424","","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.3969286391512","","","150","","297","","","","100","","","results_rect","200","0.111616","","satisfy","","","","","","133","200","0","","","0","","","","","","","","","","",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.4316138783469796","","","3762","","12901","","2606","","38","","0.468845","results_rect","11780","0.465475","8056","satisfy","62","161496","3446","91","complete","4543","76","1","27","","0","387","1104","0","12502","","","","0.124243","","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","ALL_SOLUTIONS","1.9773091720417142","0","","114","250","225","","","","76","","1.74074","results_rect","152","0.095609","","satisfy","","2211294","31980","","","97","152","1","","0","0","","","","","","","","","","",""
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","UNKNOWN","1200.551912107505","","","8075","","27015","","4718850","","50","","1198.777998","results_rect","25175","0.956224","17150","satisfy","16","157203765","4712793","127","complete","9408","100","0","0","","0","578","0","0","26425","","","","0.261653","","",""
