"configuration","problem","model","data_file","status","time","variables","failures","evaluatedHalfReifiedConstraints","restarts","intVariables","paths","baseMem","objectiveBound","nodes","flatBoolConstraints","blockType","method","eliminatedImplications","trailMem","extractedViews","nSolutions","run","objective","optTime","propagators","peakMem","error","solveTime","propagations","intVars","initTime","unifiedVariables","evaluatedReifiedConstraints","flatIntVars","flatIntConstraints","flatBoolVars","backjumps","nogoods","flatTime","randomSeed","boolVariables","userDecisions","peakDepth","solutions","oracleDecisions"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1201.057056288235","","63943","","0","13647","0","","","","21750","complete","minimize","2250","","15750","0","results_prod_new","","","30098","","","1196.837303","370871791","","0.642096","0","45150","13650","35349","36900","","","2.56192","","","0","6516","","5649003"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","19.966241909191012","","8765","","0","6097","0","","","","9000","complete","minimize","1000","","7000","6","results_prod_new","S(6)","","11958","","","17.935138","6306688","","0.331742","0","18200","6100","14959","15200","","","1.15488","","","0","26472","","769441"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","440.33001341391355","","265019","","3579","13647","0","","","","21750","complete","minimize","2250","","15750","16","results_prod_new","S(14)","","30098","","","436.37066","185104100","","0.614403","0","45150","13650","35349","36900","","","2.33766","","","0","29501","","6955295"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","7.732098399661481","","15434","","0","6097","0","","","","9800","complete","minimize","1000","","7000","5","results_prod_new","S(13)","","13726","","","5.84481","4963482","","0.249948","0","20440","6100","15927","16640","","","1.12342","","","0","3828","","180171"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.202106550335884","","2438","","0","1547","0","","","","2350","complete","minimize","250","","1750","5","results_prod_new","S(4)","","3250","","","0.528443","594211","","0.064411","0","4830","1550","3901","3980","","","0.31846","","","0","3386","","54089"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1201.0285097109154","","81128","","141","13647","0","","","","21000","complete","minimize","2250","","15750","10","results_prod_new","S(11)","","28443","","","1197.078731","282965623","","0.739982","0","43050","13650","34444","35550","","","2.22943","","","0","48657","","23763275"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","290.98930000606924","","114369","","0","13647","0","","","","21000","complete","minimize","2250","","15750","3","results_prod_new","S(8)","","28443","","","287.062586","62353507","","0.740329","0","43050","13650","34444","35550","","","2.2461","","","0","26992","","4774641"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","857.4305459111929","","56716","","85","6097","0","","","","9000","complete","minimize","1000","","7000","9","results_prod_new","S(6)","","11958","","","855.385326","146491276","","0.32963","0","18200","6100","14959","15200","","","1.16148","","","0","27035","","14570781"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","69.52623727824539","326540","8621","","8","","0","0.0","","333312","34300","","minimize","1000","0.42","","8","results_prod_new","13","49.976","305739","0.0","","50.052","192092258","6099","2.588","","160720","6099","161898","160760","300835","8621","13.4806","1616895681","320439","","3144","",""
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","27.654867028817534","","158418","","0","6097","0","","","","9600","complete","minimize","1000","","7000","1","results_prod_new","S(20)","","13284","","","25.799068","24551125","","0.237441","0","19880","6100","15685","16280","","","1.10909","","","0","2690","","543945"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.4153770562261343","","4986","","118","1547","0","","","","2250","complete","minimize","250","","1750","2","results_prod_new","S(9)","","3028","","","0.863433","709036","","0.058645","0","4550","1550","3779","3800","","","0.300994","","","0","3621","","67223"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","125.80068388953805","368180","40989","","13","","0","0.0","","986800","34000","","minimize","1000","0.63","","13","results_prod_new","8","106.033","305196","0.0","","106.117","430731918","6099","2.599","","160300","6099","161595","160400","884035","40989","13.4862","1324472706","362079","","5137","",""
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","6.123450261540711","","4269","","85","6097","0","","","","9800","complete","minimize","1000","","7000","8","results_prod_new","S(13)","","13726","","","4.270465","3133367","","0.250574","0","20440","6100","15927","16640","","","1.10745","","","0","12461","","170793"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","239.70730185415596","","59084","","0","6097","0","","","","9500","complete","minimize","1000","","7000","6","results_prod_new","S(15)","","13063","","","237.903291","123792875","","0.26301","0","19600","6100","15564","16100","","","1.04201","","","0","14679","","8957183"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","UNKNOWN","1201.1045171860605","","262103","","7","13647","0","","","","21750","complete","minimize","2250","","15750","0","results_prod_new","","","30098","","","1197.096875","393644714","","0.628181","0","45150","13650","35349","36900","","","2.33497","","","0","31021","","7251960"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","46.371629033237696","","147483","","4214","6097","0","","","","9600","complete","minimize","1000","","7000","1","results_prod_new","S(20)","","13284","","","44.574405","47088751","","0.234966","0","19880","6100","15685","16280","","","1.09193","","","0","11109","","1284528"
