"configuration","problem","model","data_file","status","time","paths","restarts","unifiedVariables","evaluatedHalfReifiedConstraints","propagators","peakDepth","run","flatBoolConstraints","flatBoolVars","flatIntConstraints","initTime","objective","flatTime","intVariables","flatIntVars","method","extractedViews","propagations","solveTime","nSolutions","failures","blockType","oracleDecisions","userDecisions"
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.4672125196084","0","0","0","","67","83","results_filter","","","75","0.007347","14","0.226765","97","105","minimize","8","80856661","1199.773799","2","6835457","complete","0","20207831"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.5951015204191208","0","0","0","672","719","707","results_filter","336","672","727","0.014117","28","0.221093","35","43","minimize","8","463341","0.112559","1","3490","complete","672","3639"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","57.85398024599999","0","21725","0","","67","183","results_filter","","","75","0.007768","16","0.18063","65","105","minimize","8","10576241","57.347006","3","736316","complete","497428","1120096"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4403993273153901","0","0","0","","25","39","results_filter","","","26","0.005656","11","0.172902","24","48","minimize","1","6222","0.030169","3","363","complete","0","2199"
"Huub_user_diffn","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","4.27414973732084","0","0","0","","35","46","results_filter","","","36","0.005693","18","0.171239","51","52","minimize","1","880336","3.8624","8","63263","complete","0","250746"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.6467085648328066","0","0","0","","49","54","results_filter","","","57","0.006257","21","0.174665","35","69","minimize","8","896","0.010334","2","5","complete","0","110"
"Huub_user_basic","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.47674009669572115","0","0","0","","25","27","results_filter","","","26","0.005626","15","0.182477","24","33","minimize","1","6016","0.020093","3","621","complete","0","724"
"Huub_free_basic","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.6488888468593359","0","0","0","","49","54","results_filter","","","57","0.008019","21","0.174366","35","69","minimize","8","885","0.009776","2","5","complete","0","110"
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.4655038472265005","0","0","0","","25","27","results_filter","","","26","0.005584","15","0.169275","24","33","minimize","1","6016","0.020338","3","621","complete","0","724"
"Huub_user_diffn","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.43852389696985483","0","0","0","","25","32","results_filter","","","26","0.005561","15","0.172948","32","33","minimize","1","6034","0.02025","3","621","complete","0","739"
