"configuration","problem","model","data_file","status","time","flatBoolVars","evaluatedReifiedConstraints","flatIntVars","eliminatedImplications","extractedViews","flatIntConstraints","peakDepth","objective","userDecisions","intVariables","nSolutions","oracleDecisions","restarts","method","failures","flatBoolConstraints","unifiedVariables","propagators","propagations","initTime","solveTime","run","flatTime","paths","blockType"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","5.90833161957562","16640","20440","6100","1000","7000","15927","13357","S(13)","0","6097","8","162816","0","minimize","14039","9800","0","13726","3235852","0.253138","3.93077","results_prod_new","1.20489","0","complete"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","518.1156137818471","84100","103600","30200","5000","35000","79747","14748","S(17)","0","30197","12","5522696","0","minimize","764222","49500","0","69246","286153482","1.317742","508.718173","results_prod_new","5.93948","0","complete"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","SATISFIED","1202.0575102195144","80500","98000","30200","5000","35000","77339","43660","S(24)","0","30197","3","10499767","0","minimize","54950","47500","0","64838","142376113","1.683347","1193.225619","results_prod_new","5.18485","0","complete"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.3466494344174862","3800","4550","1550","250","1750","3779","3587","S(9)","0","1547","2","63714","117","minimize","4352","2250","0","3028","670126","0.058778","0.706828","results_prod_new","0.331752","0","complete"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.0794080346823","82750","101500","30200","5000","35000","78844","11120","","0","30197","0","4733081","15","minimize","23153","48750","0","67593","275020902","1.440346","1193.023017","results_prod_new","5.63828","0","complete"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","5.297317761927843","3810","4620","1488","240","1680","3738","3166","S(5)","0","1485","4","162887","550","minimize","38861","2250","0","3107","3535051","0.060426","4.633135","results_prod_new","0.357771","0","complete"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","0.9382695956155658","3980","4830","1550","250","1750","3901","3294","S(4)","0","1547","5","27953","0","minimize","1383","2350","0","3250","298078","0.066498","0.254837","results_prod_new","0.321238","0","complete"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","11.596671191044152","37170","45570","13650","2250","15750","35530","27967","S(20)","0","13647","9","248098","0","minimize","6117","21900","0","30429","3519808","0.545113","7.336557","results_prod_new","2.51874","0","complete"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","832.5190990138799","35550","43050","13650","2250","15750","34444","48361","S(8)","0","13647","9","20565333","353","minimize","163998","21000","0","28443","231339334","0.747495","828.618151","results_prod_new","2.24431","0","complete"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","2.3922832971438766","3800","4550","1550","250","1750","3779","3486","S(9)","0","1547","2","123816","12","minimize","11980","2250","0","3028","1409476","0.058682","1.765812","results_prod_new","0.314049","0","complete"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.0003126375377178","3980","4830","1550","250","1750","3901","3459","S(4)","0","1547","6","35621","30","minimize","1149","2350","0","3250","342886","0.064337","0.305127","results_prod_new","0.33555","0","complete"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.610453764908","15200","18200","6100","1000","7000","14959","25671","S(7)","0","6097","2","24531318","0","minimize","869825","9000","0","11958","297770076","0.332157","1198.662711","results_prod_new","1.07883","0","complete"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","SATISFIED","1202.154290835373","83200","102200","30200","5000","35000","79145","20135","S(30)","0","30197","5","16145069","0","minimize","396391","49000","0","68144","471647287","1.504503","1192.918007","results_prod_new","5.67201","0","complete"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.3342002797872","83200","102200","30200","5000","35000","79145","61487","","0","30197","0","4894488","45","minimize","355080","49000","0","68144","267852245","1.4759","1192.96578","results_prod_new","5.66407","0","complete"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","887.2255531745031","84100","103600","30200","5000","35000","79747","56118","S(17)","0","30197","25","8433628","5232","minimize","377815","49500","0","69246","345024785","1.346531","878.108301","results_prod_new","5.69821","0","complete"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","SATISFIED","1201.9818687532097","82750","101500","30200","5000","35000","78844","61357","S(19)","0","30197","4","9468709","290","minimize","55310","48750","0","67593","174811729","1.444856","1192.679115","results_prod_new","5.93448","0","complete"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1200.98555094935","35550","43050","13650","2250","15750","34444","27725","S(9)","0","13647","2","15837924","0","minimize","249717","21000","0","28443","187817573","0.74533","1197.010513","results_prod_new","2.28786","0","complete"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","0.9435860449448228","3980","4830","1550","250","1750","3901","3294","S(4)","0","1547","5","27845","19","minimize","1140","2350","0","3250","278195","0.066006","0.228955","results_prod_new","0.344374","0","complete"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1201.2674942640588","36900","45150","13650","2250","15750","35349","10748","","0","13647","0","19422675","0","minimize","86588","21750","0","30098","327393663","0.644429","1196.830035","results_prod_new","2.58357","0","complete"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1200.9854453578591","36900","45150","13650","2250","15750","35349","16136","S(14)","0","13647","3","18514463","0","minimize","145605","21750","0","30098","302686345","0.617546","1197.120198","results_prod_new","2.30111","0","complete"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","OPTIMAL_SOLUTION","636.8579776408151","36900","45150","13650","2250","15750","35349","31162","S(13)","0","13647","7","10497875","768","minimize","124625","21750","0","30098","271327008","0.627156","632.93597","results_prod_new","2.36038","0","complete"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","SATISFIED","1202.230762206018","83200","102200","30200","5000","35000","79145","23873","S(26)","0","30197","8","15345631","0","minimize","395701","49000","0","68144","486042625","1.584134","1193.121236","results_prod_new","5.41334","0","complete"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","12.144621615298092","3810","4620","1488","240","1680","3738","3143","S(5)","0","1485","4","743265","0","minimize","80731","2250","0","3107","13067685","0.062249","11.349276","results_prod_new","0.358431","0","complete"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","4.197809022851288","3980","4830","1550","250","1750","3901","3371","S(4)","0","1547","6","294928","38","minimize","3417","2350","0","3250","3670212","0.060597","3.631855","results_prod_new","0.311071","0","complete"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.8738532392308116","3980","4830","1550","250","1750","3901","3004","S(6)","0","1547","5","22929","13","minimize","1109","2350","0","3250","242681","0.05833","0.196603","results_prod_new","0.341357","0","complete"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","63.00268614478409","83200","102200","30200","5000","35000","79145","13952","S(30)","0","30197","7","949079","0","minimize","37022","49000","0","68144","25522044","1.209132","54.551654","results_prod_new","5.22609","0","complete"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.1124886227772","82750","101500","30200","5000","35000","78844","25776","","0","30197","0","7714732","0","minimize","65260","48750","0","67593","307194784","1.628489","1192.754195","results_prod_new","5.72205","0","complete"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","62.049904726445675","15200","18200","6100","1000","7000","14959","27331","S(6)","0","6097","8","1623908","99","minimize","11871","9000","0","11958","16054991","0.327842","60.08214","results_prod_new","1.1609","0","complete"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","4.548435717821121","3810","4620","1488","240","1680","3738","3127","S(5)","0","1485","4","122648","0","minimize","31896","2250","0","3107","2485220","0.063431","3.865606","results_prod_new","0.362878","0","complete"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","7.743488861247897","37170","45570","13650","2250","15750","35530","27744","S(20)","0","13647","6","178616","0","minimize","5652","21900","0","30429","2455436","0.542984","3.580202","results_prod_new","2.54024","0","complete"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1201.0250111846253","36900","45150","13650","2250","15750","35349","10794","S(17)","0","13647","3","16205335","0","minimize","379225","21750","0","30098","269641493","0.632353","1197.042427","results_prod_new","2.40324","0","complete"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","21.753425538539886","16100","19600","6100","1000","7000","15564","14426","S(8)","0","6097","5","710477","0","minimize","28100","9500","0","13063","12097818","0.269162","19.84115","results_prod_new","1.05905","0","complete"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1200.9596389699727","37710","46410","13650","2250","15750","35892","26430","","0","13647","0","8024444","15","minimize","172676","22200","0","31091","473489705","0.562131","1197.222202","results_prod_new","2.25159","0","complete"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","25.36618605721742","16640","20440","6100","1000","7000","15927","14512","S(13)","0","6097","8","6377027","205","minimize","12952","9800","0","13726","24659091","0.251552","23.512797","results_prod_new","1.12116","0","complete"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1201.0919918715954","35550","43050","13650","2250","15750","34444","48693","S(9)","0","13647","8","19807506","160","minimize","164943","21000","0","28443","214969622","0.78864","1196.795487","results_prod_new","2.45894","0","complete"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","562.1585624525324","83200","102200","30200","5000","35000","79145","19653","S(24)","0","30197","5","3835154","0","minimize","318434","49000","0","68144","134311243","1.517339","552.80545","results_prod_new","5.63305","0","complete"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","3.2460974231362343","3810","4620","1488","240","1680","3738","3090","S(5)","0","1485","4","87170","0","minimize","22034","2250","0","3107","1975280","0.063716","2.476677","results_prod_new","0.36629","0","complete"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","SATISFIED","1200.6005094284192","16100","19600","6100","1000","7000","15564","15563","S(17)","0","6097","3","56029399","0","minimize","111927","9500","0","13063","646405608","0.26311","1198.714965","results_prod_new","1.04238","0","complete"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.4804447041824","15200","18200","6100","1000","7000","14959","26472","S(6)","0","6097","6","26515553","0","minimize","92572","9000","0","11958","250928283","0.329715","1198.636482","results_prod_new","1.06423","0","complete"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","UNKNOWN","1202.1035784650594","83200","102200","30200","5000","35000","79145","62124","","0","30197","0","532756884","120","minimize","18534","49000","0","68144","626673444","1.585113","1192.894004","results_prod_new","5.60515","0","complete"
