"configuration","problem","model","data_file","status","time","variables","evaluatedHalfReifiedConstraints","objectiveBound","flatTime","backjumps","method","trailMem","userDecisions","nSolutions","intVars","flatBoolVars","propagators","paths","evaluatedReifiedConstraints","initTime","restarts","objective","extractedViews","nogoods","solveTime","randomSeed","intVariables","optTime","flatBoolConstraints","flatIntVars","failures","blockType","propagations","unifiedVariables","flatIntConstraints","peakDepth","solutions","nodes","run","baseMem","peakMem","boolVariables","oracleDecisions"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6597667485476","","","","0.210907","","minimize","","0","31","","1728","2118","0","2688","0.04134","0","7098","600","","1199.839603","","605","","960","1205","152095","complete","7809937","0","1758","1845","","","results_container","","","","219475"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5429479023442","","","","0.198068","","minimize","","0","43","","1107","1359","0","1722","0.033495","4696","7452","390","","1199.785012","","395","","615","785","458820","complete","54917369","0","1134","1709","","","results_container","","","","1247781"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.1690292470157","","50310","","2.63348","","minimize","","0","52","","51417","51668","0","1722","0.565013","31475","7650","390","","1196.844542","","395","","9000","785","769153","complete","6732337455","0","51443","63414","","","results_container","","","","12612741"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.5427516028285","","","","0.227676","","minimize","","0","43","","1116","1370","0","1736","0.036294","2541","4692","390","","1199.745527","","395","","620","785","228131","complete","33482710","0","1140","2172","","","results_container","","","","904387"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.7678298261017","","29666","180","1.78181","","minimize","","","9","","30224","","0","651","","","6000","","","933.218","","","","5415","605","160717","","229945730","","30436","","","","results_container","","","32044",""
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.623297760263","","","","0.180891","","minimize","","0","29","","1026","1260","0","1596","0.032178","3200","5712","360","","1199.857021","","365","","570","725","240352","complete","34755313","0","1050","1565","","","results_container","","","","969403"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.0413828985766","","42835","180","2.41726","","minimize","","","2","","43524","","0","803","","","9216","","","19.8905","","","","7710","725","523","","4039105","","43775","","","","results_container","","","43066",""
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.9898953838274","","119400","","6.43813","","minimize","","0","38","","121128","121517","0","2688","1.445582","9898","12880","600","","1192.23534","","605","","20860","1205","318906","complete","5919555789","0","121157","155453","","","results_container","","","","11637249"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.5721804015338","","","","0.174625","","minimize","","0","45","","1026","1260","0","1596","0.032101","0","4860","360","","1199.837202","","365","","570","725","480807","complete","21210897","0","1050","878","","","results_container","","","","549837"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.98982620053","","","","0.170272","","minimize","","0","46","","846","1040","0","1316","0.031758","0","4950","300","","1199.815604","","305","","470","605","682252","complete","42695300","0","870","869","","","results_container","","","","756954"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.229420548305","","","","0.186656","","minimize","","0","37","","2178","2668","0","3388","0.058153","0","17400","750","","1199.812995","","755","","1210","1505","109712","complete","7146054","0","2208","4408","","","results_container","","","","303362"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0605435138568","","","","0.161603","","minimize","","0","33","","837","1029","0","1302","0.02874","0","3971","300","","1199.847203","","305","","465","605","512927","complete","34598562","0","864","595","","","results_container","","","","565434"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.545708771795","","","","0.175196","","minimize","","0","29","","1026","1260","0","1596","0.030973","2825","4992","360","","1199.817848","","365","","570","725","244193","complete","33733505","0","1050","1823","","","results_container","","","","895239"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.532171163708","","","","0.191657","","minimize","","0","44","","1107","1359","0","1722","0.033938","2776","7560","390","","1199.784679","","395","","615","785","213788","complete","29958618","0","1134","2174","","","results_container","","","","835039"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.5893043326214","","","","0.212824","","minimize","","0","25","","1728","2118","0","2688","0.041203","0","7392","600","","1199.7814","","605","","960","1205","185085","complete","13962297","0","1758","1478","","","results_container","","","","245106"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.899533610791","","119400","","6.46575","","minimize","","0","33","","121128","121517","0","2688","1.4551","10288","10868","600","","1192.192582","","605","","20860","1205","312691","complete","5379109761","0","121157","156024","","","results_container","","","","11569709"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5736271021888","","","","0.144372","","minimize","","0","42","","1026","1260","0","1596","0.032894","4190","5120","360","","1199.839528","","365","","570","725","336342","complete","38843601","0","1050","2299","","","results_container","","","","925732"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","UNKNOWN","1201.4518393613398","51095","50310","","2.87115","","minimize","","","0","","50310","59214","0","","0.461511","0","","","","1197.13","","","","8385","785","955457","","1661152046","","50829","273","0","1911137","results_container","","","",""
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5719762388617","","","","0.180036","","minimize","","0","55","","1026","1260","0","1596","0.032739","2439","5985","360","","1199.799487","","365","","570","725","274596","complete","27416375","0","1050","1567","","","results_container","","","","928578"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.5376958614215","","","","0.195124","","minimize","","0","47","","1107","1359","0","1722","0.033512","0","7560","390","","1199.783726","","395","","615","785","761467","complete","43713226","0","1134","886","","","results_container","","","","849486"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.551213933155","","","","0.253892","","minimize","","0","44","","1728","2118","0","2688","0.044077","660","8208","600","","1199.726403","","605","","960","1205","54923","complete","12520643","0","1758","4869","","","results_container","","","","472078"
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.6165058510378","","","","0.227939","","minimize","","0","40","","1116","1370","0","1736","0.035191","0","4536","390","","1199.820367","","395","","620","785","465321","complete","19378874","0","1140","2103","","","results_container","","","","538715"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.5564057305455","","","","0.213336","","minimize","","0","28","","1728","2118","0","2688","0.041006","608","8400","600","","1199.755473","","605","","960","1205","49336","complete","10995870","0","1758","3946","","","results_container","","","","412921"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.7735417066142","","29666","","1.69608","","minimize","","0","13","","30503","30694","0","1302","0.359692","0","3640","300","","1197.969024","","305","","5415","605","2365809","complete","1861092696","0","30529","35732","","","results_container","","","","3870545"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.4026442663744","","42828","","2.27477","","minimize","","0","39","","43854","44087","0","1596","0.481931","38280","4810","360","","1197.27706","","365","","7710","725","988770","complete","7170101648","0","43877","56489","","","results_container","","","","15684805"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.6774188000709","","29700","","1.67074","","minimize","","0","39","","30537","30728","0","1302","0.34493","0","3230","300","","1198.007935","","305","","5415","605","2170417","complete","1723078051","0","30563","10221","","","results_container","","","","4108276"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1201.23204515595","82756","","","1.7524","1446783","minimize","0.63","","53","899","30258","61137","0","30351","0.407","53","4032","","2143671","1198.244","1088558136","","1125.804","5415","899","2143671","","4362569597","","30764","633","","3616118","results_container","0.0","0.0","81855",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.0785384196788","","50310","180","3.06409","","minimize","","","2","","51048","","0","861","","","9918","","","21.3213","","","","9000","785","329","","4425545","","51320","","","","results_container","","","50379",""
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1204.3647924512625","","186701","","10.3458","","minimize","","0","61","","188861","189346","0","3360","2.289671","5382","18500","750","","1187.550198","","755","","32325","1505","177351","complete","5313205710","0","188896","244915","","","results_container","","","","18818867"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.2099004825577","","119378","144","6.9911","","minimize","","","1","","120552","","0","1366","","","8645","","","52.1588","","","","20860","1205","438","","2126830","","120965","","","","results_container","","","119462",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.4419106515124","","","","0.205321","","minimize","","0","33","","1728","2118","0","2688","0.042019","0","10150","600","","1199.768559","","605","","960","1205","178010","complete","13512441","0","1758","1479","","","results_container","","","","243767"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5826774314046","","","","0.181779","","minimize","","0","34","","1026","1260","0","1596","0.030754","0","5880","360","","1199.80131","","365","","570","725","765784","complete","44097541","0","1050","797","","","results_container","","","","852171"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.6525964448228","","","","0.227223","","minimize","","0","40","","1728","2118","0","2688","0.048855","799","10368","600","","1199.841408","","605","","960","1205","79754","complete","13098103","0","1758","2502","","","results_container","","","","364006"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5461456216872","","","","0.190897","","minimize","","0","44","","846","1040","0","1316","0.029549","4347","4950","300","","1199.790755","","305","","470","605","436887","complete","46832430","0","870","1641","","","results_container","","","","1223082"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1201.0354296788573","","","","0.170952","","minimize","","0","35","","846","1040","0","1316","0.029271","0","5016","300","","1199.821814","","305","","470","605","658276","complete","40263792","0","870","869","","","results_container","","","","724642"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.54944930505","102550","","","2.52554","1263353","minimize","0.94","","37","1079","43524","87786","0","43638","0.57","37","5850","","1962937","1197.471","-1372543787","","1187.758","7710","1079","1962937","","6586899576","","44129","715","","3246389","results_container","0.0","0.0","101469",""
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.560678806156","","","","0.146957","","minimize","","0","37","","1026","1260","0","1596","0.033231","3417","5376","360","","1199.83732","","365","","570","725","322953","complete","43180989","0","1050","1681","","","results_container","","","","1008105"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.4206763338298","","","","0.205033","","minimize","","0","32","","1728","2118","0","2688","0.042391","954","10350","600","","1199.789861","","605","","960","1205","53296","complete","12412457","0","1758","5055","","","results_container","","","","426065"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.4145099399611","","","","0.214392","","minimize","","0","53","","1728","2118","0","2688","0.044904","628","12096","600","","1199.765743","","605","","960","1205","54686","complete","11173883","0","1758","5657","","","results_container","","","","488229"
