"configuration","problem","model","data_file","status","time","variables","evaluatedHalfReifiedConstraints","objectiveBound","flatTime","backjumps","method","trailMem","userDecisions","nSolutions","intVars","flatBoolVars","propagators","paths","evaluatedReifiedConstraints","initTime","restarts","objective","extractedViews","nogoods","solveTime","randomSeed","intVariables","optTime","flatBoolConstraints","flatIntVars","failures","blockType","propagations","unifiedVariables","flatIntConstraints","peakDepth","solutions","nodes","run","baseMem","peakMem","boolVariables","oracleDecisions"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6130057498813","","","","0.21479","","minimize","","0","31","","1728","2118","0","2688","0.041393","681","7392","600","","1199.806046","","605","","960","1205","37978","complete","9281666","0","1758","3372","","","results_container","","","","378248"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.4603101490065","","","","0.147508","","minimize","","0","43","","1116","1370","0","1736","0.033114","0","4590","390","","1199.827176","","395","","620","785","463836","complete","31049791","0","1140","2491","","","results_container","","","","549005"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5832623559982","","","","0.180749","","minimize","","0","42","","1026","1260","0","1596","0.030706","4727","5824","360","","1199.806591","","365","","570","725","478969","complete","53767527","0","1050","1647","","","results_container","","","","1458239"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.5857719928026","","","","0.181238","","minimize","","0","35","","1026","1260","0","1596","0.032046","0","5760","360","","1199.81446","","365","","570","725","475031","complete","31145334","0","1050","832","","","results_container","","","","541146"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0683991983533","","","","0.156764","","minimize","","0","2","","837","1029","0","1302","0.028926","5710","3960","300","","1199.843266","","305","","465","605","636024","complete","37650019","0","864","1149","","","results_container","","","","1341663"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.7771074920893","123000","","","2.84711","617224","minimize","1.41","","23","1169","51054","102906","0","51178","0.675","23","16200","","1599676","1197.151","-1567562393","","497.87","9005","1169","1599676","","7895690690","","51709","791","","2232131","results_container","0.0","0.0","121829",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.5460709379986","","","","0.251099","","minimize","","0","41","","1728","2118","0","2688","0.044004","0","7280","600","","1199.719651","","605","","960","1205","151548","complete","10690369","0","1758","3373","","","results_container","","","","242535"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.5386949144304","","","","0.25885","","minimize","","0","37","","2160","2646","0","3360","0.061364","222","20672","750","","1199.701381","","755","","1200","1505","9114","complete","4584991","0","2196","5722","","","results_container","","","","344678"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.5904049538076","","","","0.225596","","minimize","","0","40","","1116","1370","0","1736","0.035229","2503","4788","390","","1199.794297","","395","","620","785","239841","complete","26550518","0","1140","2734","","","results_container","","","","888689"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.467990894802","","","","0.186419","","minimize","","0","45","","2178","2668","0","3388","0.059947","0","16170","750","","1199.970471","","755","","1210","1505","115426","complete","9897059","0","2208","7114","","","results_container","","","","367742"
