"configuration","problem","model","data_file","status","time","propagators","error","restarts","flatBoolConstraints","unifiedVariables","trailMem","variables","userDecisions","run","eliminatedImplications","paths","propagations","baseMem","flatIntVars","flatTime","randomSeed","backjumps","peakDepth","extractedViews","intVariables","objective","evaluatedReifiedConstraints","flatBoolVars","optTime","method","peakMem","solveTime","nodes","nogoods","evaluatedHalfReifiedConstraints","objectiveBound","boolVariables","failures","blockType","nSolutions","oracleDecisions","intVars","solutions","initTime","flatIntConstraints"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","316.4174201460555","68144","","0","49000","0","","","0","results_prod_shelf_new","5000","0","22465213","","30200","5.30489","","","52646","35000","30197","S(30)","102200","83200","","minimize","","307.904588","","","","","","39645","complete","7","648812","","","1.190199","79145"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1201.331690707244","30098","","0","21750","0","","","0","results_prod_shelf_new","2250","0","41377613","","13650","2.47057","","","16418","15750","13647","S(13)","45150","36900","","minimize","","1196.944821","","","","","","249868","complete","8","2084152","","","0.61579","35349"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","4.4289145190268755","3028","","0","2250","0","","","0","results_prod_shelf_new","250","0","1242587","","1550","0.323351","","","3429","1750","1547","S(9)","4550","3800","","minimize","","3.777044","","","","","","10215","complete","2","84474","","","0.060143","3779"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","SATISFIED","1200.9450019905344","31091","","0","22200","0","","","0","results_prod_shelf_new","2250","0","145320203","","13650","2.22693","","","6529","15750","13647","S(13)","46410","37710","","minimize","","1197.260353","","","","","","553595","complete","6","3354004","","","0.553522","35892"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","UNKNOWN","1200.524240422994","13726","","0","9800","0","","","0","results_prod_shelf_new","1000","0","499644832","","6100","1.03264","","","2944","7000","6097","","20440","16640","","minimize","","1198.777474","","","","","","715465","complete","0","5946693","","","0.236607","15927"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1201.2718247622252","30098","","0","21750","0","","","0","results_prod_shelf_new","2250","0","145411874","","13650","2.2633","","","10311","15750","13647","","45150","36900","","minimize","","1197.212685","","","","","","794932","complete","0","4978778","","","0.600829","35349"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1201.0032601226121","30098","","0","21750","0","","","0","results_prod_shelf_new","2250","0","80719145","","13650","2.30532","","","15361","15750","13647","S(13)","45150","36900","","minimize","","1197.118769","","","","","","85303","complete","5","3888597","","","0.607813","35349"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","79.5075962934643","30429","","0","21900","0","","","0","results_prod_shelf_new","2250","0","5531479","","13650","2.47178","","","27917","15750","13647","S(20)","45570","37170","","minimize","","75.581997","","","","","","11970","complete","5","362833","","","0.547116","35530"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","9.458158343099058","","","","5250","","","","","results_prod_shelf_new","250","0","5166326","","1550","1.65434","","","","","","9","3150","21200","","minimize","","6.88988","","","18000","9","21017","5398","","2","","","","","21569"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","61.8845226932317","30429","","0","21900","0","","","0","results_prod_shelf_new","2250","0","4399886","","13650","2.46173","","","6278","15750","13647","S(20)","45570","37170","","minimize","","57.978982","","","","","","11062","complete","4","190684","","","0.526967","35530"
