"configuration","problem","model","data_file","status","time","propagations","blockType","objective","nSolutions","peakDepth","paths","flatBoolConstraints","flatIntVars","flatTime","restarts","run","method","failures","unifiedVariables","evaluatedReifiedConstraints","extractedViews","flatIntConstraints","initTime","propagators","intVariables","evaluatedHalfReifiedConstraints","oracleDecisions","solveTime","userDecisions","flatBoolVars"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.6456681005657","9767680","complete","7315","45","6358","0","960","1205","0.177288","431","results_free_container","minimize","47634","0","2688","600","1758","0.044101","2118","605","","353354","1199.867931","0","1728"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2728907987475","21049702","complete","3360","38","1211","0","465","605","0.120401","2305","results_free_container","minimize","144171","0","1302","300","864","0.025651","1029","305","","649540","1199.862291","0","837"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.670893061906","6454264","complete","13608","48","5251","0","960","1205","0.204377","302","results_free_container","minimize","26030","0","2688","600","1758","0.047433","2118","605","","318788","1199.892444","0","1728"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.4084323467687","13305688","complete","8100","34","1728","0","615","785","0.13465","1484","results_free_container","minimize","103885","0","1722","390","1134","0.028784","1359","395","","444382","1199.866564","0","1107"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.565790633671","3045072","complete","29484","30","9881","0","1200","1505","0.224071","113","results_free_container","minimize","8676","0","3360","750","2196","0.065184","2646","755","","247701","1199.763117","0","2160"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.3813524032012","17870059","complete","5130","36","2172","0","620","785","0.15684","1612","results_free_container","minimize","104897","0","1736","390","1140","0.030259","1370","395","","535409","1199.841881","0","1116"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.498234450817","4931691","complete","7866","49","5569","0","960","1205","0.183341","261","results_free_container","minimize","14483","0","2688","600","1758","0.042375","2118","605","","289220","1199.766479","0","1728"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5173135716468","22843051","complete","5632","34","1681","0","570","725","0.153619","2147","results_free_container","minimize","155349","0","1596","360","1050","0.030143","1260","365","","596917","1199.829075","0","1026"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.5200997386128","2456455","complete","23850","43","10160","0","1200","1505","0.215766","55","results_free_container","minimize","3232","0","3360","750","2196","0.064484","2646","755","","246762","1199.7222","0","2160"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1201.0629622628912","6378521077","complete","4872","42","32104","0","5420","605","1.6741","43211","results_free_container","minimize","1178978","0","1316","300","30569","0.340323","30739","305","29700","15480960","1198.007543","0","30546"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1201.0429166611284","7180333445","complete","3870","37","37434","0","5415","605","1.68302","56000","results_free_container","minimize","1355143","0","1302","300","30529","0.342795","30694","305","29666","15524429","1197.993877","0","30503"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.5179371070117","10069884","complete","10500","38","2599","0","960","1205","0.18709","627","results_free_container","minimize","58969","0","2688","600","1758","0.041427","2118","605","","307410","1199.786199","0","1728"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.407520968467","22190263","complete","3420","36","1211","0","465","605","0.122156","2394","results_free_container","minimize","176574","0","1302","300","864","0.026574","1029","305","","655099","1199.870519","0","837"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.1954640271142","5909494","complete","12168","35","2627","0","960","1205","0.161222","473","results_free_container","minimize","25191","0","2688","600","1758","0.040369","2118","605","","212210","1199.809541","0","1728"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6338663157076","4609770","complete","8160","29","4048","0","960","1205","0.23287","268","results_free_container","minimize","19305","0","2688","600","1758","0.040458","2118","605","","257854","1199.760417","0","1728"
"Huub_free_diffn","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.1567644309253","16809282","complete","8100","44","2174","0","615","785","0.125053","1374","results_free_container","minimize","113612","0","1722","390","1134","0.027593","1359","395","","491922","1199.871817","0","1107"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.5636722035706","32243981","complete","4800","40","1312","0","470","605","0.195294","2746","results_free_container","minimize","362216","0","1316","300","870","0.02453","1040","305","","874442","1199.805759","0","846"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.5806261738762","3606929","complete","25056","36","4295","0","1210","1505","0.229906","188","results_free_container","minimize","14214","0","3388","750","2208","0.06005","2668","755","","265817","1199.764457","0","2178"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.1924464777112","6656371039","complete","5400","46","56102","0","7710","725","2.30479","34181","results_free_container","minimize","1042292","0","1596","360","43884","0.490037","44094","365","42835","12892372","1197.244618","0","43861"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.1367307472974","7159891857","complete","4590","59","54505","0","9005","785","2.73194","31520","results_free_container","minimize","702489","0","1736","390","51449","0.569037","51679","395","50310","11603553","1196.739376","0","51426"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.645805535838","6009976","complete","10500","31","2502","0","960","1205","0.234678","562","results_free_container","minimize","31034","0","2688","600","1758","0.041766","2118","605","","226855","1199.771706","0","1728"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.5797534650192","10571227","complete","12474","32","3389","0","960","1205","0.205288","666","results_free_container","minimize","61932","0","2688","600","1758","0.04647","2118","605","","388054","1199.793265","0","1728"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.5340960714966","33228978","complete","5472","46","1947","0","570","725","0.151447","2769","results_free_container","minimize","260448","0","1596","360","1050","0.031752","1260","365","","775119","1199.830347","0","1026"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.6094517065212","4617305","complete","11020","39","3983","0","960","1205","0.201521","326","results_free_container","minimize","20186","0","2688","600","1758","0.044207","2118","605","","192849","1199.839957","0","1728"
