"configuration","problem","model","data_file","status","time","nodes","evaluatedHalfReifiedConstraints","randomSeed","nSolutions","blockType","failures","intVars","peakDepth","variables","restarts","boolVariables","backjumps","oracleDecisions","nogoods","unifiedVariables","solveTime","flatBoolVars","propagators","flatBoolConstraints","flatTime","flatIntConstraints","baseMem","solutions","paths","flatIntVars","run","peakMem","propagations","objective","objectiveBound","extractedViews","userDecisions","initTime","trailMem","evaluatedReifiedConstraints","eliminatedImplications","intVariables","method"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6313847266138","","108","","0","complete","3760490","","19","","0","","","0","","0","1198.503939","29781","626","9585","1.17359","31769","","","0","11022","results_rect_new","","140804356","","","31131","3769085","0.3183","","20250","54","135","satisfy"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","UNKNOWN","1200.2620163010433","62806385","176","","0","","31403071","","57","295","0","","","","","","1199.9","176","395","132","0.101185","261","","0","0","115","results_rect_new","","866406751","","","","","0.008262","","","88","","satisfy"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.2422938747332","","208","","0","","","","","","","","","","","","","208","","156","0.095684","309","","","0","139","results_rect_new","","","","","","","","","","104","","satisfy"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.4717264641076","","96","","0","complete","4399063","","19","","0","","","0","","0","1199.008422","20856","517","6696","0.771314","22441","","","0","7827","results_rect_new","","147866108","","","21912","4402468","0.218576","","14208","48","117","satisfy"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","81.49650747608393","","84","","1","complete","395660","","20","","0","","","0","","0","80.237394","15498","447","4956","0.615115","16839","","","0","5905","results_rect_new","","15585746","","","16380","396284","0.16629","","10584","42","103","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.4759839940816","","92","","0","complete","4418789","","19","","0","","","0","","0","1199.051611","19964","511","6394","0.737778","21545","","","0","7527","results_rect_new","","148873330","","","21022","4422248","0.208789","","13616","46","115","satisfy"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","730.9622518820688","","1104","","1","complete","3343244","","157","","0","","","137","","0","729.529217","19849","1501","6302","0.738361","21316","","","0","7086","results_rect_new","","370994358","","","19803","3347556","0.204732","","12834","46","111","satisfy"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","46.72210913896561","2772093","160","","1","","1386014","","51","267","0","","","","","","46.305","160","359","120","0.109833","237","","1","0","103","results_rect_new","","43906128","","","","","0.006994","","","80","","satisfy"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","26.02192386984825","","84","","1","complete","141482","","22","","0","","","0","","0","24.961563","14532","427","4662","0.559668","15769","","","0","5523","results_rect_new","","5425034","","","15330","141755","0.152369","","9912","42","99","satisfy"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.501066815108","","96","","0","complete","4426274","","16","","0","","","0","","0","1198.866657","22896","550","7344","0.88523","24610","","","0","8575","results_rect_new","","147032423","","","24048","4429818","0.247115","","15600","48","121","satisfy"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.5989533830434","","1200","","0","complete","4960920","","16","","0","","","0","","0","1198.866908","24000","1653","7620","0.8702","25713","","","0","8575","results_rect_new","","557187462","","","24048","4964956","0.258506","","15600","48","121","satisfy"
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","79.41776810027659","","84","","1","complete","396337","","21","","0","","","0","","0","78.098844","15498","447","4956","0.633674","16839","","","0","5905","results_rect_new","","15719345","","","16380","396985","0.164842","","10584","42","103","satisfy"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.1604062505066","59880215","192","","0","","29940062","","57","317","0","","","","","","1199.91","192","429","144","0.091947","283","","0","0","123","results_rect_new","","819710628","","","","","0.003374","","","96","","satisfy"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.2792122513056","57684210","224","","0","","28842099","","60","379","0","","","","","","1199.88","224","503","168","0.113589","333","","0","0","151","results_rect_new","","841294244","","","","","0.007443","","","112","","satisfy"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.8018860761076212","","64","","1","complete","1188","","2094","","0","","","2080","","0","0.1235","6592","282","2112","0.309309","7334","","","0","2603","results_rect_new","","53833","","","7040","1202","0.074538","","4512","32","69","satisfy"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.2368010748178","60616326","200","","0","","30308063","","54","337","0","","","","","","1199.89","200","449","150","0.109662","297","","0","0","133","results_rect_new","","667317097","","","","","0.002525","","","100","","satisfy"
"Huub_user_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","836.1495482493192","","92","","1","complete","3363995","","22","","0","","","0","","0","834.840458","18837","490","6049","0.693894","20305","","","0","7086","results_rect_new","","111655245","","","19803","3368335","0.193753","","12834","46","111","satisfy"
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","3.5034066205844283","","760","","1","complete","22056","","98","","0","","","77","","0","2.620665","11647","1049","3686","0.453681","12672","","","0","4216","results_rect_new","","2496056","","","11609","22157","0.125786","","7486","38","87","satisfy"
