"configuration","problem","model","data_file","status","time","solveTime","objective","flatIntVars","userDecisions","paths","initTime","peakDepth","oracleDecisions","flatIntConstraints","restarts","flatBoolVars","nSolutions","propagations","run","propagators","failures","method","flatTime","intVariables","evaluatedHalfReifiedConstraints","unifiedVariables","flatBoolConstraints","extractedViews","blockType"
"Huub_free_decomp","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.0703665632754564","0.30707","28","43","8002","0","0.012802","707","5901","727","417","672","1","1830027","results_free_filter","719","7273","minimize","0.257758","35","672","0","336","8","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.5872769691050053","0.016236","17","77","180","0","0.0082","67","0","57","0","","2","772","results_free_filter","49","19","minimize","0.172191","69","","0","","8","complete"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.618599308654666","0.62436","28","43","6419","0","0.005608","35","3922","57","339","","1","102870","results_free_filter","49","5601","minimize","0.224063","35","","0","","8","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","41.796766442246735","40.88986","16","105","843850","0","0.036502","3087","487449","2505","28347","2432","6","175875287","results_free_filter","2497","603499","minimize","0.283896","65","2432","0","608","8","complete"
"Huub_free_diffn","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","104.41139283683151","104.003387","16","105","1120096","0","0.007222","183","497428","75","21725","","3","10576241","results_free_filter","67","736316","minimize","0.165853","65","","0","","8","complete"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.9436323521658778","0.013088","21","69","110","0","0.005756","54","0","57","0","","2","896","results_free_filter","49","5","minimize","0.175396","35","","0","","8","complete"
"Huub_free_basic","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.9755481583997607","0.012469","21","69","110","0","0.005908","54","0","57","0","","2","885","results_free_filter","49","5","minimize","0.260946","35","","0","","8","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.5498212277889252","0.003575","4","26","32","0","0.00604","111","91","92","0","80","1","607","results_free_filter","89","7","minimize","0.186685","18","80","0","20","3","complete"
"Huub_free_decomp","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.6276222486048937","0.084219","18","52","5096","0","0.015535","1037","4864","788","10","754","5","312309","results_free_filter","787","1613","minimize","0.206244","51","754","0","241","1","complete"
"Huub_free_s+o","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.5838135648518801","0.017814","17","77","180","0","0.010103","67","0","57","0","","2","772","results_free_filter","49","19","minimize","0.171672","69","","0","","8","complete"
