"configuration","problem","model","data_file","status","time","randomSeed","flatBoolConstraints","optTime","trailMem","evaluatedReifiedConstraints","intVariables","failures","oracleDecisions","nogoods","solutions","nodes","peakDepth","flatTime","flatIntVars","objective","userDecisions","evaluatedHalfReifiedConstraints","initTime","propagations","solveTime","variables","intVars","backjumps","propagators","extractedViews","blockType","flatIntConstraints","objectiveBound","nSolutions","unifiedVariables","flatBoolVars","paths","baseMem","run","peakMem","boolVariables","method","restarts"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.1995344981551","","465","","","1302","305","412639","465480","","","","651","0.115642","605","3306","0","","0.022737","26111802","1199.876443","","","","1029","300","complete","864","","34","0","837","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.2988477041945","","570","","","1596","365","396628","449875","","","","836","0.128575","725","4968","0","","0.025757","22158063","1199.88743","","","","1260","360","complete","1050","","36","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.2571253320202","","570","","","1596","365","378191","438702","","","","769","0.122796","725","5040","0","","0.026105","24575953","1199.858441","","","","1260","360","complete","1050","","32","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.160485908389","","570","","","1596","365","403678","460156","","","","905","0.122695","725","5376","0","","0.026391","25820585","1199.868694","","","","1260","360","complete","1050","","34","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2474459921941","","960","","","2688","605","93811","147722","","","","1300","0.161724","1205","7560","0","","0.039775","6981405","1199.881837","","","","2118","600","complete","1758","","27","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.2512515960261","","465","","","1302","305","290288","333758","","","","672","0.120562","605","4131","0","","0.025021","18069306","1199.860683","","","","1029","300","complete","864","","34","0","837","0","","results_container_new","","","minimize","0"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.2259370191023","","620","","","1736","395","245324","310777","","","","2491","0.137048","785","4864","0","","0.029684","17470002","1199.87763","","","","1370","390","complete","1140","","41","0","1116","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.2286101402715","","570","","","1596","365","304269","358954","","","","832","0.123414","725","5890","0","","0.026095","19637145","1199.873341","","","","1260","360","complete","1050","","34","0","1026","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.7771074920893","-1567562393","9005","497.87","1.41","51178","","1599676","","1599676","","2232131","791","2.84711","1169","16200","","","0.675","7895690690","1197.151","123000","1169","617224","102906","","","51709","","23","","51054","0","0.0","results_container_new","0.0","121829","minimize","23"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.5276409704238","","960","","","2688","605","106769","191336","","","","3373","0.173641","1205","7280","0","","0.043543","7806349","1199.968549","","","","2118","600","complete","1758","","41","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3267175350338","","1210","","","3388","755","62057","295322","","","","7114","0.180157","1505","16848","0","","0.057967","5515229","1199.849613","","","","2668","750","complete","2208","","44","0","2178","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2329791830853","","20860","","","120744","","","","","","","","7.03916","1799","","","","","","","","","","","","","121559","","0","","120552","0","","results_container_new","","","minimize",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.1670816754922","","570","","","1596","365","404777","469170","","","","725","0.123433","725","5400","0","","0.027538","27089933","1199.864563","","","","1260","360","complete","1050","","37","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.2692771097645","","960","","","2688","605","91700","137594","","","","1135","0.158617","1205","9996","0","","0.041526","6226973","1199.852113","","","","2118","600","complete","1758","","25","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.2258756672964","","960","","","2688","605","72299","115222","","","","1176","0.171804","1205","11088","0","","0.040948","5992897","1199.843355","","","","2118","600","complete","1758","","25","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.964870840311","","7710","","","1596","365","1709468","3516861","","","","15289","2.27634","725","5760","0","42840","0.488597","1713336876","1197.271765","","","","44099","360","complete","43889","","36","0","43866","0","","results_container_new","","","minimize","0"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","UNKNOWN","1203.269948859699","","19900","","","","","","","","","","","6.89239","1205","","","119400","","","","","","","","","","120197","","0","","119400","0","","results_container_new","","","minimize",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.192246175371","","20860","","","1344","","843","","","","","","6.89914","1205","9975","","119400","","7253091","85.0851","","","","","","","120965","180","2","","120552","0","","results_container_new","","119543","minimize",""
"Huub_user_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.342692735605","","615","","","1722","395","223658","274775","","","","802","0.12773","785","7400","0","","0.0279","9523775","1199.884686","","","","1359","390","complete","1134","","39","0","1107","0","","results_container_new","","","minimize","0"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.1850745268166","","19900","","","","","","","","","","","6.91725","1205","","","119400","","","","","","","","","","120197","","0","","119400","0","","results_container_new","","","minimize",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","UNKNOWN","1201.3662195708603","","7140","","","","","700524","","","0","1401195","209","2.44965","725","","","42840","0.391168","1645927352","1197.55","43565","","","50459","","","43319","","0","","42840","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.2609876710922","","570","","","1596","365","392893","453790","","","","758","0.125196","725","6076","0","","0.026292","25818995","1199.865783","","","","1260","360","complete","1050","","31","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.1950164707378","","960","","","2688","605","83392","188863","","","","3384","0.157567","1205","7722","0","","0.041945","7639003","1199.831834","","","","2118","600","complete","1758","","50","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.3926321920007","","960","","","2688","605","162155","260831","","","","3557","0.176959","1205","7500","0","","0.043878","12901875","1199.857901","","","","2118","600","complete","1758","","45","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.206149496138","","960","","","2688","605","151524","211998","","","","1506","0.1598","1205","9800","0","","0.041569","12642983","1199.836404","","","","2118","600","complete","1758","","29","0","1728","0","","results_container_new","","","minimize","0"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNKNOWN","1204.4974208241329","","31125","","","","","","","","","","","11.1583","1505","","","186750","","","","","","","","","","187745","","0","","186750","0","","results_container_new","","","minimize",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.1785609666258","","570","","","1596","365","287293","337701","","","","982","0.123392","725","4800","0","","0.027277","17540260","1199.881651","","","","1260","360","complete","1050","","33","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2812674650922","","465","","","1302","305","524935","577959","","","","677","0.114762","605","3480","0","","0.022418","30041096","1199.883647","","","","1029","300","complete","864","","29","0","837","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.2997051477432","","960","","","2688","605","119460","217659","","","","3429","0.169979","1205","7623","0","","0.04213","9367373","1199.85457","","","","2118","600","complete","1758","","49","0","1728","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","UNKNOWN","1203.3713928209618","","20860","","","120744","","","","","","","","7.13778","1799","","","","","","","","","","","","","121559","","0","","120552","0","","results_container_new","","","minimize",""
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.7078575668857","","20860","","","2688","605","1128902","5015301","","","","40846","6.61814","1205","11340","0","119400","1.463887","1955546264","1192.07296","","","","121517","600","complete","121157","","65","0","121128","0","","results_container_new","","","minimize","0"
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.163514064625","","465","","","1302","305","386157","432128","","","","539","0.117745","605","4032","0","","0.022405","23088254","1199.869642","","","","1029","300","complete","864","","39","0","837","0","","results_container_new","","","minimize","0"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1203.1708169775084","","20860","","","120744","","","","","","","","7.00769","1799","35910","","","","","","","","","","","","121559","","9","","120552","0","","results_container_new","","","minimize",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1834128880873","","570","","","1596","365","340807","391261","","","","724","0.123258","725","5760","0","","0.026726","19825283","1199.8811","","","","1260","360","complete","1050","","33","0","1026","0","","results_container_new","","","minimize","0"
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2979582175612","","960","","","2688","605","110124","284977","","","","3620","0.164524","1205","12160","0","","0.045289","9901480","1199.805977","","","","2118","600","complete","1758","","44","0","1728","0","","results_container_new","","","minimize","0"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","UNKNOWN","1203.1527636591345","","19900","","","","","","","","","","","6.81761","1205","","","119400","","","","","","","","","","120197","","0","","119400","0","","results_container_new","","","minimize",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.301008800976","","960","","","2688","605","159585","212394","","","","1502","0.15998","1205","10962","0","","0.041412","11437089","1199.878172","","","","2118","600","complete","1758","","23","0","1728","0","","results_container_new","","","minimize","0"
"Huub_user_decomp","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1204.012716870755","","32335","","","3388","755","930638","5263381","","","","61024","10.4128","1505","15750","0","186750","2.268758","2252251817","1187.553183","","","","189417","750","complete","188957","","50","0","188928","0","","results_container_new","","","minimize","0"
"Huub_user_basic","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.2324112625793","","470","","","1316","305","493460","555085","","","","630","0.116307","605","5265","0","","0.023276","30861030","1199.881208","","","","1040","300","complete","870","","40","0","846","0","","results_container_new","","","minimize","0"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2026816820726","","615","","","1722","395","191670","236241","","","","914","0.126607","785","7776","0","","0.02818","11247899","1199.894099","","","","1359","390","complete","1134","","30","0","1107","0","","results_container_new","","","minimize","0"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.7494443897158","","5415","","","651","","328","","","","","","1.74756","605","5568","","29700","","2660720","11.54","","","","","","","30470","90","2","","30258","0","","results_container_new","","30122","minimize",""
