"configuration","problem","model","data_file","status","time","solveTime","oracleDecisions","eliminatedImplications","flatIntConstraints","unifiedVariables","restarts","evaluatedHalfReifiedConstraints","initTime","evaluatedReifiedConstraints","propagations","method","flatBoolVars","flatTime","userDecisions","failures","objective","blockType","paths","peakDepth","flatBoolConstraints","nSolutions","intVariables","extractedViews","run","propagators","flatIntVars"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.5174258099868894","0.92023","38421","250","3779","0","0","","0.058015","4550","556058","minimize","3800","0.321618","0","5391","S(9)","complete","0","3501","2250","2","1547","1750","results_free_prod_new","3028","1550"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","89.4798962045461","80.852313","988322","5000","79145","0","0","","1.232051","102200","27283066","minimize","83200","5.42388","0","51244","S(30)","complete","0","13708","49000","8","30197","35000","results_free_prod_new","68144","30200"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","476.480117934756","474.68328","10458699","1000","15564","0","0","","0.265883","19600","163725533","minimize","16100","1.05298","0","317134","S(8)","complete","0","13932","9500","13","6097","7000","results_free_prod_new","13063","6100"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","21.664570862427354","2.560812","595901","1000","162907","0","0","147000","2.287852","20440","19462760","minimize","163640","12.5278","0","1225","S(13)","complete","0","285557","34300","2","6097","7000","results_free_prod_new","160706","6100"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","61.43348333891481","52.669806","638026","5000","79145","0","0","","1.235993","102200","18584112","minimize","83200","5.46553","0","24237","S(30)","complete","0","52646","49000","7","30197","35000","results_free_prod_new","68144","30200"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1200.9755317391828","1197.049757","5813566","2250","35349","0","0","","0.614404","45150","105506217","minimize","36900","2.3687","0","90464","S(13)","complete","0","11313","21750","4","13647","15750","results_free_prod_new","30098","13650"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","4.279939230531454","3.728397","84474","250","3779","0","0","","0.058313","4550","1242587","minimize","3800","0.302479","0","10215","S(9)","complete","0","3429","2250","2","1547","1750","results_free_prod_new","3028","1550"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","SATISFIED","1201.0877671865746","1197.161908","10074362","2250","35892","0","0","","0.578227","46410","380046790","minimize","37710","2.29359","0","816255","S(14)","complete","0","6630","22200","7","13647","15750","results_free_prod_new","31091","13650"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","UNKNOWN","1200.5656843204051","1198.654376","6084699","1000","15927","0","0","","0.251183","20440","511555149","minimize","16640","1.12252","0","726998","","complete","0","2944","9800","0","6097","7000","results_free_prod_new","13726","6100"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","139.37641705572605","74.198478","1747869","2250","535362","0","0","499500","8.053952","46410","266347246","minimize","537210","43.8367","0","80285","S(13)","complete","0","438163","105450","3","13647","15750","results_free_prod_new","530561","13650"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","UNKNOWN","1201.0293890060857","1197.131938","4827550","2250","35349","0","0","","0.625178","45150","143749451","minimize","36900","2.32068","0","767703","","complete","0","10311","21750","0","13647","15750","results_free_prod_new","30098","13650"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1200.9735435210168","1197.079347","7653006","2250","35349","0","0","","0.622537","45150","101399944","minimize","36900","2.32433","0","183229","S(13)","complete","0","12711","21750","8","13647","15750","results_free_prod_new","30098","13650"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","79.03036984987557","75.115413","362833","2250","35530","0","0","","0.542488","45570","5531479","minimize","37170","2.463","0","11970","S(20)","complete","0","27917","21900","5","13647","15750","results_free_prod_new","30429","13650"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","14.266535089351237","10.302867","173745","2250","35530","0","0","","0.542539","45570","3998311","minimize","37170","2.48873","0","10927","S(20)","complete","0","6278","21900","4","13647","15750","results_free_prod_new","30429","13650"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","0.8410059940069914","0.269604","18758","250","3901","0","0","","0.059726","4830","162831","minimize","3980","0.316834","0","902","S(6)","complete","0","2959","2350","5","1547","1750","results_free_prod_new","3250","1550"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","0.9672897597774863","0.371184","20705","250","3718","0","0","","0.060942","4410","224338","minimize","3710","0.317913","0","1369","S(10)","complete","0","3756","2200","1","1547","1750","results_free_prod_new","2917","1550"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","487.26895448565483","297.114521","10697091","5000","1564697","0","0","1485000","24.516965","103600","1192332658","minimize","1569100","127.167","0","182581","S(17)","complete","0","1111379","297000","8","30197","35000","results_free_prod_new","1554196","30200"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","43.44142086151987","42.805006","736770","250","3901","0","0","","0.060413","4830","43291654","minimize","3980","0.321308","0","160316","S(6)","complete","0","3161","2350","5","1547","1750","results_free_prod_new","3250","1550"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","1.0161505416035652","0.263811","22365","250","3901","0","0","","0.061325","4830","254073","minimize","3980","0.321622","0","1256","S(6)","complete","0","3012","2350","5","1547","1750","results_free_prod_new","3250","1550"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","705.9885742794722","704.02548","18427086","1000","15564","0","0","","0.265939","19600","233880226","minimize","16100","1.11301","0","46208","S(16)","complete","0","14854","9500","5","6097","7000","results_free_prod_new","13063","6100"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.9166228473186","1198.52211","13691324","1000","14959","0","0","","0.35403","18200","121782256","minimize","15200","1.15215","0","143431","S(7)","complete","0","26137","9000","4","6097","7000","results_free_prod_new","11958","6100"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","2.81774771399796","0.317371","188627","250","21891","0","0","18000","0.2988","4830","1693623","minimize","21980","1.57024","0","586","S(6)","complete","0","36450","5350","5","1547","1750","results_free_prod_new","21240","1550"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","190.34302443731576","188.421191","3809391","1000","15564","0","0","","0.266244","19600","49298024","minimize","16100","1.06221","0","27919","S(16)","complete","0","13596","9500","5","6097","7000","results_free_prod_new","13063","6100"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","1.5026685446500778","0.886215","46377","250","3779","0","0","","0.059518","4550","655092","minimize","3800","0.308016","0","5341","S(9)","complete","0","3538","2250","2","1547","1750","results_free_prod_new","3028","1550"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","8.134831327013671","6.034225","162816","1000","15927","0","0","","0.251354","20440","3235852","minimize","16640","1.11588","0","14039","S(13)","complete","0","13357","9800","8","6097","7000","results_free_prod_new","13726","6100"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","298.1678393892944","296.294495","7550163","1000","15927","0","0","","0.255882","20440","119561688","minimize","16640","1.12748","0","698358","S(13)","complete","0","3136","9800","6","6097","7000","results_free_prod_new","13726","6100"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1202.1526101483032","1192.987929","4918387","5000","79747","0","0","","1.322181","103600","217424882","minimize","84100","5.77863","0","631994","S(22)","complete","0","14754","49500","4","30197","35000","results_free_prod_new","69246","30200"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","SATISFIED","1201.9959721537307","1192.970751","4444792","5000","77339","0","0","","1.681664","98000","60324018","minimize","80500","5.43332","0","69265","S(14)","complete","0","92950","47500","8","30197","35000","results_free_prod_new","64838","30200"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","OPTIMAL_SOLUTION","330.27670356445014","139.005891","6318460","5000","1563794","0","0","1485000","24.959224","101500","463814626","minimize","1567750","126.94","0","34909","S(16)","complete","0","1337055","296250","4","30197","35000","results_free_prod_new","1552543","30200"
"Huub_user_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.1083348989486694","0.33934","27953","250","3901","0","0","","0.061805","4830","298078","minimize","3980","0.331722","0","1383","S(4)","complete","0","3294","2350","5","1547","1750","results_free_prod_new","3250","1550"
"Huub_user_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","18.699073440395296","14.542484","248098","2250","35530","0","0","","0.538034","45570","3519808","minimize","37170","2.57778","0","6117","S(20)","complete","0","27967","21900","9","13647","15750","results_free_prod_new","30429","13650"
"Huub_user_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.9221194684505","1198.53688","9418880","1000","14959","0","0","","0.350773","18200","91183316","minimize","15200","1.14394","0","532666","S(7)","complete","0","25633","9000","2","6097","7000","results_free_prod_new","11958","6100"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","OPTIMAL_SOLUTION","710.7566795740277","702.00872","4348101","5000","79145","0","0","","1.50474","102200","148239289","minimize","83200","5.24178","0","195875","S(24)","complete","0","20995","49000","9","30197","35000","results_free_prod_new","68144","30200"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","OPTIMAL_SOLUTION","360.52071257680655","168.595443","12512574","5000","1562289","0","0","1485000","24.603916","98000","823855194","minimize","1565500","129.208","0","34451","S(11)","complete","0","1374029","295000","10","30197","35000","results_free_prod_new","1549788","30200"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","2.721363602206111","2.130231","93909","250","3779","0","0","","0.057605","4550","1472484","minimize","3800","0.314857","0","15772","S(9)","complete","0","3452","2250","2","1547","1750","results_free_prod_new","3028","1550"
"Huub_user_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1200.9274985836819","1197.061916","6866104","2250","34444","0","0","","0.746557","43050","128172244","minimize","35550","2.23608","0","392040","S(9)","complete","0","29953","21000","3","13647","15750","results_free_prod_new","28443","13650"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1201.0739183751866","1197.232683","5581530","2250","35892","0","0","","0.569752","46410","325773289","minimize","37710","2.29468","0","760599","","complete","0","6127","22200","0","13647","15750","results_free_prod_new","31091","13650"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1201.449160631746","1196.930519","8668127","2250","35349","0","0","","0.644901","45150","146099703","minimize","36900","2.46143","0","200064","S(17)","complete","0","14389","21750","4","13647","15750","results_free_prod_new","30098","13650"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","SATISFIED","1201.447274708189","1196.963643","9991783","2250","35349","0","0","","0.640193","45150","279397911","minimize","36900","2.44597","0","205458","S(16)","complete","0","11011","21750","2","13647","15750","results_free_prod_new","30098","13650"
"Huub_user_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1201.013067414984","1197.089567","13729796","2250","35349","0","0","","0.619124","45150","246726159","minimize","36900","2.33745","0","225858","S(15)","complete","0","11681","21750","2","13647","15750","results_free_prod_new","30098","13650"
"Huub_user_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","171.9377098819241","104.266808","3261192","2250","534819","0","0","499500","8.091895","45150","348759750","minimize","536400","46.1706","0","65238","S(14)","complete","0","422810","105000","5","13647","15750","results_free_prod_new","529568","13650"
"Huub_user_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","629.4655943680555","627.62448","11153313","1000","15564","0","0","","0.270459","19600","173832302","minimize","16100","1.07367","0","487611","S(8)","complete","0","13640","9500","13","6097","7000","results_free_prod_new","13063","6100"
