"configuration","problem","model","data_file","status","time","unifiedVariables","userDecisions","initTime","flatIntConstraints","backjumps","flatBoolVars","intVars","optTime","propagations","peakMem","randomSeed","variables","peakDepth","trailMem","boolVariables","solutions","nSolutions","evaluatedReifiedConstraints","nogoods","solveTime","intVariables","objective","method","paths","objectiveBound","failures","flatTime","flatBoolConstraints","restarts","oracleDecisions","flatIntVars","evaluatedHalfReifiedConstraints","nodes","propagators","blockType","run","extractedViews","baseMem","error"
"Huub_user_m+o","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1207.1875414717942","0","","7.633035","325738","","245773","","","","","","","","","","","0","169687","","","44537","","minimize","0","","","9.87303","76177","","","151903","20","","81277","init","results_carpet_new","204783","",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.19.dzn","SATISFIED","1202.7836244972423","0","","1.498415","86602","","44546","","","","","","","","","","","39","35193","","","9312","4646","minimize","0","","","2.24625","9453","","","50479","4","","31567","init","results_carpet_new","35322","",""
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1203.192284161225","0","","1.811195","107170","","60917","","","","","","","","","","","0","44962","","","13238","","minimize","0","","","3.30311","14622","","","59252","1868","","38852","init","results_carpet_new","46305","",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.04.dzn","UNKNOWN","1206.56806743145","0","","7.527699","325738","","245773","","","","","","","","","","","0","169687","","","44537","","minimize","0","","","10.0126","76177","","","151903","20","","81277","init","results_carpet_new","204783","",""
"Huub_user_no_gen_bounds","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1202.912268335931","0","","1.692401","115268","","70999","","","","","","","","","","","0","52993","","","13179","","minimize","0","","","3.55431","18147","","","61253","30","","37893","init","results_carpet_new","58995","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","UNKNOWN","1206.8117322847247","0","","8.368604","309206","","225713","","","","","","","","","","","0","156366","","","46927","","minimize","0","","","9.31992","69431","","","148741","14","","84320","init","results_carpet_new","181484","",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.16.dzn","UNKNOWN","1205.980592883192","0","","8.906953","313494","","218571","","","","","","","","","","","0","151926","","","55219","","minimize","0","","","8.97621","66723","","","157346","6","","95500","init","results_carpet_new","164987","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.06.dzn","UNKNOWN","1202.98161521554","0","","1.757734","105311","","59057","","","","","","","","","","","0","44962","","","13238","","minimize","0","","","2.92722","14157","","","59252","8","","37107","init","results_carpet_new","46305","",""
"Huub_user_decomp","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.16.dzn","UNKNOWN","1206.1305837277323","0","","8.929213","314333","","219411","","","","","","","","","","","0","151926","","","55219","","minimize","0","","","9.50502","66933","","","157346","846","","96277","init","results_carpet_new","164987","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.13.dzn","UNKNOWN","1204.6259352080524","0","","5.350923","221760","","171756","","","","","","","","","","","0","117688","","","31949","","minimize","0","","","6.92948","54148","","","100973","16","","80190","init","results_carpet_new","143756","",""
"Huub_user_m+s","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.09.dzn","UNKNOWN","1202.9383531846106","0","","1.647651","115268","","70999","","","","","","","","","","","0","52993","","","13179","","minimize","0","","","3.38053","18147","","","61253","30","","37893","init","results_carpet_new","58995","",""
"Huub_user_basic","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.20.dzn","UNKNOWN","1203.2959007648751","0","","2.403514","134708","","71098","","","","","","","","","","","0","55753","","","14686","","minimize","0","","","3.79821","15505","","","78023","10","","50653","init","results_carpet_new","55872","",""
"cp-sat","","../carpet-cutting/cc_base-fixed.mzn","../carpet-cutting/mzn_rnd_test.05.dzn","SATISFIED","1200.7713980190456","","","","171","","58","","","153719","","","","","","680","","13","56","","0.335629","","1385","minimize","0","1050","1367","0.179255","51","","","103","15","","","","results_carpet_new","","",""
