"configuration","problem","model","data_file","status","time","extractedViews","flatIntVars","propagators","method","evaluatedReifiedConstraints","userDecisions","objective","eliminatedImplications","evaluatedHalfReifiedConstraints","blockType","solveTime","nSolutions","restarts","intVariables","failures","unifiedVariables","run","flatBoolConstraints","flatTime","flatIntConstraints","initTime","flatBoolVars","peakDepth","oracleDecisions","paths","propagations"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","4.823811310343444","1750","1550","2917","minimize","4410","0","S(10)","250","","complete","4.266588","1","20","1547","2685","0","results_free_prod_shelf","2200","0.304019","3718","0.058884","3710","3870","90742","0","1362494"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","175.7233022172004","7000","6100","13284","minimize","19880","0","S(20)","1000","","complete","173.872711","1","5652","6097","158184","0","results_free_prod_shelf","9600","1.14923","15685","0.226391","16280","11153","1084859","0","48968210"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.6662599323317","7000","6100","11958","minimize","18200","0","S(8)","1000","","complete","1198.580228","5","37","6097","19839","0","results_free_prod_shelf","9000","1.10426","14959","0.334947","15200","26569","8729692","0","80552647"
"Huub_free_diffn","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","1.4727719398215413","1750","1550","3250","minimize","4830","0","S(4)","250","","complete","0.905803","6","30","1547","1142","0","results_free_prod_shelf","2350","0.30975","3901","0.058889","3980","3458","35585","0","342903"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","497.57544928137213","7000","6100","11958","minimize","18200","0","S(6)","1000","","complete","495.605066","7","77","6097","47068","0","results_free_prod_shelf","9000","1.12222","14959","0.325553","15200","26569","3655470","0","33862726"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","820.1331559838727","35000","30200","1554196","minimize","103600","0","S(17)","5000","1485000","complete","631.666984","24","3411","30197","115072","0","results_free_prod_shelf","297000","125.218","1564697","24.218437","1569100","2941603","90917754","0","2442887530"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1202.1003916906193","35000","30200","69246","minimize","103600","0","S(32)","5000","","complete","1192.956436","7","439","30197","44285","0","results_free_prod_shelf","49500","5.80129","79747","1.310711","84100","69702","2720437","0","96633051"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","282.3082983708009","7000","6100","13063","minimize","19600","0","S(8)","1000","","complete","280.556235","8","242","6097","35969","0","results_free_prod_shelf","9500","1.03298","15564","0.264447","16100","15031","1534700","0","23310203"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","UNKNOWN","1200.528715246357","7000","6100","13063","minimize","19600","0","","1000","","complete","1198.742159","0","2","6097","458866","0","results_free_prod_shelf","9500","1.04221","15564","0.269554","16100","3258","9016225","0","487566826"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","214.7642394034192","15750","13650","529568","minimize","45150","0","S(14)","2250","499500","complete","150.998317","4","1437","13647","56020","0","results_free_prod_shelf","105000","42.3518","534819","8.09582","536400","984982","21583174","0","566436178"
