"configuration","problem","model","data_file","status","time","peakDepth","propagations","solveTime","extractedViews","method","flatBoolVars","flatIntVars","propagators","paths","run","eliminatedImplications","flatBoolConstraints","nSolutions","flatIntConstraints","userDecisions","intVariables","evaluatedHalfReifiedConstraints","restarts","blockType","unifiedVariables","evaluatedReifiedConstraints","failures","flatTime","oracleDecisions","initTime"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","4.419855545274913","5769","1044929","3.01835","18964","satisfy","17996","6803","484","0","results_free_rect","44","5764","1","19460","9255","109","88","563","complete","0","12276","17994","0.698949","24456","0.175575"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","2.140828195028007","74","204507","0.794851","17138","satisfy","16258","6161","453","0","results_free_rect","44","5214","1","17603","2587","105","88","83","complete","0","11088","4252","0.63719","2453","0.167009"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","4.385933765210211","5769","1044929","2.974949","18964","satisfy","17996","6803","484","0","results_free_rect","44","5764","1","19460","9255","109","88","563","complete","0","12276","17994","0.702504","24456","0.177415"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","6.66012361086905","2631","4047117","4.51595","31131","satisfy","31185","11022","2029","0","results_free_rect","54","9936","1","33172","15311","135","1512","155","complete","0","20250","21751","1.13946","12382","0.323528"
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.4773964900523424","65","170255","0.544314","13140","satisfy","12420","4759","393","0","results_free_rect","40","3980","1","13545","2606","93","80","27","complete","0","8480","3519","0.493364","1185","0.132008"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","6.427046112716198","1873","3416484","4.216972","32724","satisfy","32670","11593","2052","0","results_free_rect","54","10395","1","34788","14601","139","1512","85","complete","0","21276","19403","1.14501","7842","0.340363"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","230.77386215794832","1062","45102047","229.26705","21022","satisfy","19964","7527","511","0","results_free_rect","46","6394","1","21545","650223","115","92","14983","complete","0","13616","991053","0.726314","533751","0.203376"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","13.686174158938229","1873","2721760","11.59059","32724","satisfy","31266","11593","649","0","results_free_rect","54","10044","1","33385","37652","139","108","925","complete","0","21276","47567","1.12799","21073","0.3323"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8060987452045083","2939","176506","0.136238","8032","satisfy","8000","2959","782","0","results_free_rect","32","2520","1","8829","1305","73","544","86","complete","0","5152","1606","0.3405","3489","0.086374"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.844659024849534","2381","69152","0.158667","8032","satisfy","7520","2959","306","0","results_free_rect","32","2400","1","8350","1305","73","64","86","complete","0","5152","1606","0.323591","2931","0.081984"
