"configuration","problem","model","data_file","status","time","propagators","failures","intVariables","userDecisions","method","solutions","objectiveBound","flatTime","variables","optTime","trailMem","initTime","flatIntVars","propagations","randomSeed","oracleDecisions","flatBoolConstraints","evaluatedHalfReifiedConstraints","intVars","restarts","nogoods","paths","unifiedVariables","flatBoolVars","peakDepth","run","backjumps","baseMem","flatIntConstraints","nSolutions","extractedViews","blockType","objective","nodes","evaluatedReifiedConstraints","solveTime","boolVariables","peakMem"
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","55.38763512484729","35","230298","34","230832","minimize","","","0.172169","","","","0.005911","35","1556572","","0","","","","0","","0","0","","34","results_filter_new","","","36","6","1","complete","35","","","54.963421","",""
"chuffed","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","28.01136127486825","4936","181377","","","minimize","","","0.29569","15694","1.362","0.05","0.04","112","152697181","-1637242744","","606","","111","2","181377","0","","2424","83","results_filter_new","864081","0.0","2503","2","","","11","1045618","2424","27.228","15581","0.0"
"Huub_user_diffn","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.0139530058950186","49","123","35","954","minimize","","","0.264443","","","","0.006132","77","3168","","0","","","","0","","0","0","","57","results_filter_new","","","57","3","8","complete","18","","","0.052672","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.5086507759988308","751","1202","45","5143","minimize","","","0.20129","","","","0.014639","61","213467","","1697","180","720","","0","","0","0","720","911","results_filter_new","","","755","2","4","complete","15","","","0.040531","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","1.148503940552473","25","2016","24","2046","minimize","","","0.26893","","","","0.006452","25","18179","","0","","","","0","","0","0","","24","results_filter_new","","","26","1","1","complete","18","","","0.102485","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","49.007796788588166","1521","333554","65","337451","minimize","","","0.273664","","","","0.025667","73","49698618","","1556","608","1456","","0","","0","0","1456","1616","results_filter_new","","","1529","1","8","complete","32","","","48.029246","",""
"gecode","","../filters/filter.mzn","../filters/dct_1_3.dzn","SATISFIED","1200.3206726145","78","344526837","","","minimize","1","","0.170377","137","","","0.000894","73","3052574787","","","","","","0","","0","","","64","results_filter_new","","","75","1","","","32","689053727","","1199.83","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.7058737799525","67","3594765","97","15416667","minimize","","","0.268347","","","","0.00884","105","39602226","","0","","","","0","","0","0","","87","results_filter_new","","","75","4","8","complete","10","","","1199.723626","",""
"cp-sat","","../filters/filter.mzn","../filters/ewf_1_2.dzn","OPTIMAL_SOLUTION","0.5659957695752382","","4","","","minimize","","28","0.267195","","","","","51","453","","","","","","","","0","","","","results_filter_new","","","57","1","","","28","","","0.009234","44",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4204916153103113","11","14","18","44","minimize","","","0.18005","","","","0.004732","26","134","","0","","","","0","","0","0","","20","results_filter_new","","","14","1","3","complete","6","","","0.003749","",""
"cp-sat","","../filters/filter.mzn","../filters/dct_4_4.dzn","OPTIMAL_SOLUTION","9.776256875135005","","138452","","","minimize","","10","0.173189","","","","","105","3787786","","","","","","","","0","","","","results_filter_new","","","75","2","","","10","","","9.34105","179",""
"gecode","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.8083586674183607","41","17","","","minimize","2","","0.177616","61","","","0.000655","61","552","","","","","","0","","0","","","46","results_filter_new","","","37","2","","","11","101","","0.007366","",""
"cp-sat","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","248.63391525577754","","3031283","","","minimize","","11","0.172304","","","","","105","88181021","","","","","","","","0","","","","results_filter_new","","","75","2","","","11","","","248.193","224",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","1.250172859057784","25","2354","24","2385","minimize","","","0.265182","","","","0.005395","25","20606","","0","","","","0","","0","0","","24","results_filter_new","","","26","1","1","complete","18","","","0.083718","",""
"chuffed","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.9832795653492212","1041","146","","","minimize","","","0.237207","5560","0.009","0.01","0.011","47","50620","-547753804","","127","","47","1","146","0","","508","38","results_filter_new","1004","0.0","531","1","","","10","1188","508","0.009","5511","0.0"
"cp-sat","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.9184076953679323","","3","","","minimize","","17","0.184323","","","","","77","431","","","","","","","","0","","","","results_filter_new","","","57","2","","","17","","","0.039908","72",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_4_4.dzn","SATISFIED","1200.3856231169775","67","3633429","97","15344300","minimize","","","0.179457","","","","0.008386","105","39680790","","0","","","","0","","0","0","","87","results_filter_new","","","75","4","8","complete","10","","","1199.813622","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.4259435851126909","25","621","32","739","minimize","","","0.165481","","","","0.005455","33","6034","","0","","","","0","","0","0","","32","results_filter_new","","","26","3","1","complete","15","","","0.029815","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.4567378433421254","531","366","32","1800","minimize","","","0.184265","","","","0.010874","48","68965","","1790","127","508","","0","","0","0","508","634","results_filter_new","","","532","3","1","complete","10","","","0.02573","",""
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","32.91810226161033","2497","603321","65","660975","minimize","","","0.255464","","","","0.034371","105","68742315","","3720","608","2432","","0","","0","0","2432","2954","results_filter_new","","","2505","3","8","complete","16","","","32.348669","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.7199186403304338","33","5589","45","8602","minimize","","","0.174888","","","","0.006676","61","20165","","0","","","","0","","0","0","","47","results_filter_new","","","37","2","4","complete","11","","","0.227289","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.4930878961458802","49","5","35","110","minimize","","","0.17179","","","","0.006164","69","856","","0","","","","0","","0","0","","54","results_filter_new","","","57","2","8","complete","21","","","0.012691","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","1.200443240813911","33","10626","29","35153","minimize","","","0.167461","","","","0.005806","49","212303","","0","","","","0","","0","0","","37","results_filter_new","","","37","4","4","complete","18","","","0.797001","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.4451235616579652","11","14","18","44","minimize","","","0.183314","","","","0.005669","26","135","","0","","","","0","","0","0","","20","results_filter_new","","","14","1","3","complete","6","","","0.00385","",""
"Huub_user_diffn","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.7157914564013481","49","19","69","180","minimize","","","0.168291","","","","0.007806","77","772","","0","","","","0","","0","0","","67","results_filter_new","","","57","2","8","complete","17","","","0.016747","",""
"Huub_user_basic","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.5834492323920131","49","5","35","110","minimize","","","0.175207","","","","0.007063","69","885","","0","","","","0","","0","0","","54","results_filter_new","","","57","2","8","complete","21","","","0.012821","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.48482642881572247","25","529","32","2371","minimize","","","0.181882","","","","0.005577","48","5874","","0","","","","0","","0","0","","39","results_filter_new","","","26","3","1","complete","10","","","0.055173","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","1.0926636150106788","49","123","35","954","minimize","","","0.263581","","","","0.006697","77","3261","","0","","","","0","","0","0","","57","results_filter_new","","","57","3","8","complete","18","","","0.054563","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","19.30322095286101","35","90998","34","540687","minimize","","","0.170857","","","","0.00715","52","2711878","","0","","","","0","","0","0","","43","results_filter_new","","","36","12","1","complete","19","","","18.808092","",""
"cp-sat","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.6293980097398162","","0","","","minimize","","21","0.178801","","","","","69","416","","","","","","","","0","","","","results_filter_new","","","57","2","","","21","","","0.013029","64",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","63.50748372171074","67","332297","49","336966","minimize","","","0.189162","","","","0.007387","73","2232610","","0","","","","0","","0","0","","55","results_filter_new","","","75","1","8","complete","32","","","62.795913","",""
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.4161171093583107","49","5","35","110","minimize","","","0.167943","","","","0.007251","69","896","","0","","","","0","","0","0","","54","results_filter_new","","","57","2","8","complete","21","","","0.013609","",""
