"configuration","problem","model","data_file","status","time","peakDepth","method","propagators","optTime","failures","solveTime","flatIntConstraints","propagations","error","userDecisions","boolVariables","nogoods","flatIntVars","restarts","peakMem","flatBoolConstraints","blockType","initTime","nodes","nSolutions","unifiedVariables","evaluatedHalfReifiedConstraints","evaluatedReifiedConstraints","paths","flatTime","baseMem","variables","objectiveBound","eliminatedImplications","run","flatBoolVars","backjumps","intVars","intVariables","solutions","oracleDecisions","extractedViews","objective","randomSeed","trailMem"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","398.4538838211447","5738","minimize","1025067","332.697","35011","332.909","532796","1007093557","","","700499","35011","13649","9","0.0","105150","","8.589","1004733","9","","","530160","0","45.566","0.0","714150","","2250","results_prod_shelf","530280","923676","13649","","","","","20","-1477578393","0.94"
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","27.454007264226675","273952","minimize","160706","","3425","7.373076","162907","27454827","","0","","","6100","0","","34300","complete","2.438152","","6","0","147000","20440","0","13.1571","","","","1000","results_prod_shelf","163640","","","6097","","1759319","7000","S(13)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","OPTIMAL_SOLUTION","488.81676823832095","992454","minimize","529568","","111717","419.431854","534819","953284850","","0","","","13650","224","","105000","complete","8.682629","","2","0","499500","45150","0","45.9786","","","","2250","results_prod_shelf","536400","","","13647","","87633151","15750","S(13)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","9.377233544364572","","minimize","","","5398","6.78844","21569","5166326","","","21017","","1550","","","5250","","","","2","","18000","3150","0","1.64477","","","9","250","results_prod_shelf","21200","","","","","","","9","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","4.753862399607897","35481","minimize","21018","","5066","1.810405","21769","8179523","","0","","","1550","0","","5250","complete","0.31204","","2","0","18000","4550","0","1.84469","","","","250","results_prod_shelf","21800","","","1547","","322476","1750","S(9)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1231.1299018412828","","minimize","","","","","1559797","","","","","","30200","","","297000","","","","0","","1485000","69300","0","145.478","","","","5000","results_prod_shelf","1554400","","","","","","","","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","26.45072846673429","273952","minimize","160706","","3425","6.877336","162907","27454827","","0","","","6100","0","","34300","complete","2.37523","","6","0","147000","20440","0","12.6932","","","","1000","results_prod_shelf","163640","","","6097","","1759319","7000","S(13)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","26.887221775949","286305","minimize","160706","","3397","7.395563","162907","32106185","","0","","","6100","129","","34300","complete","2.468928","","4","0","147000","20440","0","12.7138","","","","1000","results_prod_shelf","163640","","","6097","","1306846","7000","S(13)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","3.4700306933373213","33729","minimize","19657","","12518","1.187619","20288","3921259","","0","","","1488","0","","5010","complete","0.27556","","4","0","16560","4620","0","1.42476","","","","240","results_prod_shelf","20370","","","1485","","184356","1680","S(5)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","37.767913741990924","283940","minimize","160043","","4663","17.538393","162544","89352068","","0","","","6100","28","","34000","complete","2.450547","","1","0","147000","19600","0","13.3452","","","","1000","results_prod_shelf","163100","","","6097","","1208480","7000","S(15)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","232.98762723058462","388541","minimize","529899","","45565","161.800435","535000","556185890","","0","","","13650","0","","105150","complete","8.908911","","7","0","499500","45570","0","46.8941","","","","2250","results_prod_shelf","536670","","","13647","","6253856","15750","S(20)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","225.4891804549843","1004668","minimize","527913","","33184","151.943059","533914","644645440","","0","","","13650","122","","104250","complete","9.04715","","4","0","499500","43050","0","48.5752","","","","2250","results_prod_shelf","535050","","","13647","","30306967","15750","S(8)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1243.284186879173","1650373","minimize","1554196","","289141","1039.299119","1564697","1852281191","","0","","","30200","1141","","297000","complete","25.54187","","8","0","1485000","103600","0","135.155","","","","5000","results_prod_shelf","1569100","","","30197","","43415321","35000","S(23)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","561.1132966093719","994340","minimize","529568","","151536","491.488047","534819","1131547825","","0","","","13650","2415","","105000","complete","8.800177","","4","0","499500","45150","0","45.9726","","","","2250","results_prod_shelf","536400","","","13647","","54721179","15750","S(14)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","UNKNOWN","1210.4303874708712","","minimize","","","","","532870","","","","","","13650","","","105150","","","","0","","499500","30660","0","46.627","","","","2250","results_prod_shelf","530280","","","","","","","","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","OPTIMAL_SOLUTION","211.71361798420548","435208","minimize","529568","","35893","139.566358","534819","525202734","","0","","","13650","0","","105000","complete","8.593377","","1","0","499500","45150","0","48.6849","","","","2250","results_prod_shelf","536400","","","13647","","4431395","15750","S(13)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","75.70716468431056","5321","minimize","305196","55.11","14284","56.386","161595","226352133","","","362079","14284","6099","6","0.0","34000","","2.673","601625","6","","","160300","0","13.2993","0.0","368180","","1000","results_prod_shelf","160400","558606","6099","","","","","15","-1299873250","0.63"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1230.8334395233542","","minimize","","","","","1559698","","","","","","30199","","","297000","","","","1","","","1554300","0","136.448","","","","5000","results_prod_shelf","1554400","","","","","","","S(50)","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","SATISFIED","1230.6239128764719","","minimize","","","","","1557690","","","","","","30199","","","295000","","","","1","","","1551500","0","135.948","","","","5000","results_prod_shelf","1552000","","","","","","","S(50)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","OPTIMAL_SOLUTION","1012.72714808397","1350031","minimize","1552543","","96156","805.797333","1563794","3001122492","","0","","","30200","0","","296250","complete","25.61598","","3","0","1485000","101500","0","137.568","","","","5000","results_prod_shelf","1567750","","","30197","","20838506","35000","S(16)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-08.dzn","OPTIMAL_SOLUTION","717.9603462982923","","minimize","","","25845","698.556","161947","134704904","","","159615","","6100","","","34300","","","","8","","147000","13720","0","13.2616","","","13","1000","results_prod_shelf","160760","","","","","","","13","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","151.18353197537363","103141","minimize","160264","","144434","130.604098","162665","453092691","","0","","","6100","0","","34100","complete","2.539588","","1","0","147000","19880","0","13.3806","","","","1000","results_prod_shelf","163280","","","6097","","4288088","7000","S(20)","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","342.48576826788485","422753","minimize","529568","","93933","272.574613","534819","983235085","","0","","","13650","0","","105000","complete","8.834711","","3","0","499500","45150","0","45.9133","","","","2250","results_prod_shelf","536400","","","13647","","8840483","15750","S(14)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","4.037016933783889","33729","minimize","19657","","10780","1.431485","20288","5953557","","0","","","1488","472","","5010","complete","0.27553","","3","0","16560","4620","0","1.68128","","","","240","results_prod_shelf","20370","","","1485","","207411","1680","S(5)","",""
"Huub_free","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","31.848026927560568","284954","minimize","160043","","3544","11.994197","162544","60897387","","0","","","6100","30","","34000","complete","2.402671","","5","0","147000","19600","0","13.0266","","","","1000","results_prod_shelf","163100","","","6097","","1949888","7000","S(8)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-02.dzn","OPTIMAL_SOLUTION","12.706587640568614","","minimize","","","5845","10.0802","21671","15368168","","","21661","","1550","","","5350","","","","5","","18000","3290","0","1.64984","","","6","250","results_prod_shelf","21320","","","","","","","6","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-05.dzn","OPTIMAL_SOLUTION","3.723076570779085","36575","minimize","20907","","2255","1.314604","21708","8619056","","0","","","1550","0","","5200","complete","0.300807","","1","0","18000","4410","0","1.50788","","","","250","results_prod_shelf","21710","","","1547","","265160","1750","S(10)","",""
"Huub_user","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","33.07233374752104","287526","minimize","160043","","4684","12.448631","162544","60018483","","0","","","6100","0","","34000","complete","2.561668","","4","0","147000","19600","0","13.3555","","","","1000","results_prod_shelf","163100","","","6097","","1724822","7000","S(8)","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","UNKNOWN","1203.1477894559503","","minimize","","","","","161644","","","","","","6100","","","34000","","","","0","","147000","13300","0","13.6568","","","","1000","results_prod_shelf","160400","","","","","","","","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","UNKNOWN","1204.335967304185","","minimize","","","","","158004","","","","","","6100","","","29500","","","","0","","147000","7000","0","13.582","","","","1000","results_prod_shelf","155000","","","","","","","","",""
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","44.158933602273464","","minimize","","","89566","41.5838","20078","64346459","","","20433","","1488","","","5010","","","","6","","16560","3150","0","1.60318","","","5","240","results_prod_shelf","19740","","","","","","","5","",""
"Huub_vsids","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","40.75766886211932","277101","minimize","160043","","3681","20.01704","162544","70514002","","0","","","6100","0","","34000","complete","2.486055","","1","0","147000","19600","0","13.5915","","","","1000","results_prod_shelf","163100","","","6097","","1092473","7000","S(15)","",""
"gecode","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","UNKNOWN","1200.577258374542","210","minimize","22489","","1710722","1198.67","19220","994362980","","","","","1488","0","","3960","","0.167328","3421623","0","","16560","1680","0","1.33101","","19968","","240","results_prod_shelf","18480","","","","0","","","","",""
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","SATISFIED","1211.6705779451877","","minimize","","","","","533098","","","","","","13649","","","105450","","","","3","","","530580","0","47.2724","","","","2250","results_prod_shelf","530640","","","","","","","S(28)","",""
