"configuration","problem","model","data_file","status","time","flatBoolVars","failures","propagations","run","nSolutions","eliminatedImplications","flatBoolConstraints","evaluatedReifiedConstraints","trailMem","intVariables","blockType","userDecisions","peakMem","backjumps","solutions","flatIntConstraints","objective","evaluatedHalfReifiedConstraints","objectiveBound","paths","extractedViews","method","baseMem","initTime","flatIntVars","variables","solveTime","nodes","restarts","peakDepth","flatTime","intVars","nogoods","randomSeed","oracleDecisions","unifiedVariables","boolVariables","propagators"
"Huub_user_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6656710961834","29781","4173679","155747512","results_rect","0","54","9585","20250","","135","complete","4183120","","","","31769","","108","","0","31131","satisfy","","0.316773","11022","","1198.608094","","0","19","1.07116","","","","0","0","","626"
"Huub_user_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.536307554692","22896","4842472","161539424","results_rect","0","48","7344","15600","","121","complete","4846292","","","","24610","","96","","0","24048","satisfy","","0.248859","8575","","1198.889938","","0","16","0.86034","","","","0","0","","550"
"Huub_free_diffn","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","25.665885742753744","15498","154559","6968071","results_rect","1","42","4956","10584","","103","complete","121115","","","","16839","","84","","0","16380","satisfy","","0.157752","5905","","24.529192","","4181","114","0.569139","","","","62971","0","","447"
"Huub_user_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.5374478558078","25175","4549436","152077015","results_rect","0","50","8075","17150","","127","complete","4555212","","","","27015","","100","","0","26425","satisfy","","0.259282","9408","","1198.733866","","0","16","1.00472","","","","0","0","","578"
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","46.77947000414133","25175","221111","11349172","results_rect","1","50","8075","17150","","127","complete","148844","","","","27015","","100","","0","26425","satisfy","","0.264597","9408","","45.068184","","6669","1047","0.938886","","","","134947","0","","578"
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.577117403037846","12420","3492","167109","results_rect","1","40","3980","8480","","93","complete","2606","","","","13545","","80","","0","13140","satisfy","","0.131169","4759","","0.474692","","27","69","0.527025","","","","1171","0","","393"
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.8788991579785943","6165","1337","64404","results_rect","1","30","1965","4230","","67","complete","1086","","","","6903","","60","","0","6615","satisfy","","0.0686","2458","","0.119041","","79","1955","0.324178","","","","2433","0","","276"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","486.54339043051004","1144","3185175","1416483095","results_rect","1","44","407","1012","0.05","","","","0.0","135910","","1184","","88","","0","","satisfy","0.0","0.03","115","18264","486.066","3321103","0","21","0.134242","138","3185175","-162960166","","","18124","2143"
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","60.34522469807416","28652","226801","15223401","results_rect","1","52","9204","19500","","133","complete","169299","","","","30636","","104","","0","30004","satisfy","","0.30862","10643","","58.168171","","7133","738","1.14623","","","","145262","0","","620"
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.6849824599922","29781","4252340","159576693","results_rect","0","54","9585","20250","","135","complete","4261782","","","","31769","","108","","0","31131","satisfy","","0.322911","11022","","1198.596004","","0","19","1.07728","","","","0","0","","626"
