"configuration","problem","model","data_file","status","time","flatTime","intVars","peakDepth","method","baseMem","boolVariables","blockType","oracleDecisions","nogoods","paths","evaluatedReifiedConstraints","peakMem","evaluatedHalfReifiedConstraints","objectiveBound","backjumps","userDecisions","objective","nodes","initTime","trailMem","flatIntVars","flatBoolVars","flatBoolConstraints","failures","propagations","run","extractedViews","flatIntConstraints","variables","randomSeed","solveTime","restarts","propagators","nSolutions","optTime","intVariables","unifiedVariables","solutions"
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.2512515960261","0.120562","","672","minimize","","","complete","333758","","0","1302","","","","","0","4131","","0.025021","","605","837","465","290288","18069306","results_container_new","300","864","","","1199.860683","0","1029","34","","305","0",""
"Huub_user_diffn","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.2259370191023","0.137048","","2491","minimize","","","complete","310777","","0","1736","","","","","0","4864","","0.029684","","785","1116","620","245324","17470002","results_container_new","390","1140","","","1199.87763","0","1370","41","","395","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.2286101402715","0.123414","","832","minimize","","","complete","358954","","0","1596","","","","","0","5890","","0.026095","","725","1026","570","304269","19637145","results_container_new","360","1050","","","1199.873341","0","1260","34","","365","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1201.7771074920893","2.84711","1169","791","minimize","0.0","121829","","","1599676","0","51178","0.0","","","617224","","16200","2232131","0.675","1.41","1169","51054","9005","1599676","7895690690","results_container_new","","51709","123000","-1567562393","1197.151","23","102906","23","497.87","","",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.5276409704238","0.173641","","3373","minimize","","","complete","191336","","0","2688","","","","","0","7280","","0.043543","","1205","1728","960","106769","7806349","results_container_new","600","1758","","","1199.968549","0","2118","41","","605","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.3267175350338","0.180157","","7114","minimize","","","complete","295322","","0","3388","","","","","0","16848","","0.057967","","1505","2178","1210","62057","5515229","results_container_new","750","2208","","","1199.849613","0","2668","44","","755","0",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","UNKNOWN","1203.2329791830853","7.03916","","","minimize","","","","","","0","120744","","","","","","","","","","1799","120552","20860","","","results_container_new","","121559","","","","","","0","","","",""
"Huub_user_s+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.1670816754922","0.123433","","725","minimize","","","complete","469170","","0","1596","","","","","0","5400","","0.027538","","725","1026","570","404777","27089933","results_container_new","360","1050","","","1199.864563","0","1260","37","","365","0",""
"Huub_user_m+s","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.2692771097645","0.158617","","1135","minimize","","","complete","137594","","0","2688","","","","","0","9996","","0.041526","","1205","1728","960","91700","6226973","results_container_new","600","1758","","","1199.852113","0","2118","25","","605","0",""
"Huub_user_m+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.2258756672964","0.171804","","1176","minimize","","","complete","115222","","0","2688","","","","","0","11088","","0.040948","","1205","1728","960","72299","5992897","results_container_new","600","1758","","","1199.843355","0","2118","25","","605","0",""
