"configuration","problem","model","data_file","status","time","flatTime","nSolutions","nogoods","extractedViews","propagations","boolVariables","evaluatedHalfReifiedConstraints","oracleDecisions","userDecisions","run","flatBoolConstraints","nodes","intVars","failures","intVariables","unifiedVariables","evaluatedReifiedConstraints","flatIntConstraints","paths","baseMem","backjumps","peakDepth","restarts","flatIntVars","solutions","variables","method","randomSeed","initTime","trailMem","flatBoolVars","eliminatedImplications","propagators","blockType","peakMem","objective","solveTime","objectiveBound"
"Huub_free_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","4.516663352027535","0.974542","1","","26425","2386879","","1300","7764","9964","results_rect","8375","","","14661","127","0","17150","28214","0","","","1466","203","9408","","","satisfy","","0.274352","","26375","50","1777","complete","","","2.735764",""
"Huub_vsids_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","2.3768686214461923","1.23297","1","","33908","342687","","1624","20524","0","results_rect","10822","","","254","141","0","22064","36086","0","","","12428","2","11991","","","satisfy","","0.359599","","33964","56","2166","complete","","","0.114137",""
"Huub_vsids_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","1.6758962981402874","0.601334","1","","16380","195286","","84","8312","0","results_rect","4956","","","2748","103","0","10584","16839","0","","","4962","4","5905","","","satisfy","","0.160766","","15498","42","447","complete","","","0.545523",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","2.2065653521567583","0.40992","1","","11016","433288","","72","3240","7909","results_rect","3312","","","10042","85","0","7092","11390","0","","","73","257","4015","","","satisfy","","0.110835","","10368","36","362","complete","","","1.396791",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","186.87516253441572","1.07301","1","","31131","44607582","","108","427337","558585","results_rect","9585","","","682701","135","0","20250","31769","0","","","1710","22021","11022","","","satisfy","","0.31321","","29781","54","626","complete","","","184.895453",""
"Huub_vsids_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","2.7685171831399202","0.948953","1","","26425","323487","","100","21348","0","results_rect","8075","","","3463","127","0","17150","27015","0","","","8109","13","9408","","","satisfy","","0.262089","","25175","50","578","complete","","","1.043198",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.2422938747332","0.095684","0","","","","","208","","","results_rect","156","","","","","","","309","0","","","","","139","","","satisfy","","","","208","104","","","","","",""
"Huub_vsids_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","SATISFIED","2.455365253612399","1.26465","1","","32724","290541","","1512","19269","0","results_rect","10395","","","273","139","0","21276","34788","0","","","11750","2","11593","","","satisfy","","0.34705","","32670","54","2052","complete","","","0.094584",""
"Huub_user_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.466677762568","0.749892","0","","21912","159165772","","96","0","4777095","results_rect","6696","","","4773340","117","0","14208","22441","0","","","19","0","7827","","","satisfy","","0.22161","","20856","48","517","complete","","","1199.027565",""
"Huub_vsids_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","2.5518684294074774","1.08843","1","","30004","139763","","104","17138","0","results_rect","9204","","","779","133","0","19500","30636","0","","","9287","12","10643","","","satisfy","","0.302744","","28652","52","620","complete","","","0.38323",""
"Huub_vsids_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","1.5397883774712682","0.574482","1","","16380","214191","","84","12616","0","results_rect","4956","","","2414","103","0","10584","16839","0","","","4983","2","5905","","","satisfy","","0.156985","","15498","42","447","complete","","","0.455515",""
"Huub_free_m+s","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","2.226199470460415","0.374544","1","","9214","633620","","68","13177","7965","results_rect","2754","","","12719","79","0","5916","9555","0","","","2755","539","3383","","","satisfy","","0.087154","","8636","34","329","complete","","","1.507608",""
"Huub_free_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","58.71757132560015","1.38853","1","","41250","11884399","","120","114250","149043","results_rect","12750","","","230236","153","0","26880","41991","0","","","2005","2385","14529","","","satisfy","","0.411633","","39570","60","729","complete","","","56.18923",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.204360168427229","0.953606","1","","26425","2730122","","100","27884","37548","results_rect","8075","","","52222","127","0","17150","27015","0","","","1191","1419","9408","","","satisfy","","0.26888","","25175","50","578","complete","","","9.450113",""
"Huub_free_basic","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","1.5966849634423852","0.554609","1","","14620","192002","","80","10561","2444","results_rect","4420","","","3898","97","0","9440","15053","0","","","4420","27","5283","","","satisfy","","0.143085","","13820","40","421","complete","","","0.486697",""
"Huub_vsids_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","1.5755586083978415","0.653371","1","","16380","482224","","924","20267","0","results_rect","5166","","","2440","103","0","10584","17678","0","","","5967","3","5905","","","satisfy","","0.171672","","16338","42","1286","complete","","","0.347226",""
"Huub_vsids_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","2.5773817421868443","1.27358","1","","36736","75555","","112","20583","0","results_rect","11312","","","321","145","0","23912","37440","0","","","11469","4","12975","","","satisfy","","0.374046","","35168","56","692","complete","","","0.248689",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","UNKNOWN","1200.4374913377687","0.746742","0","","21022","165719338","","92","0","4990320","results_rect","6394","","","4986371","115","0","13616","21545","0","","","19","0","7527","","","satisfy","","0.206436","","19964","46","511","complete","","","1199.045943",""
"Huub_free_s+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.080675977282226","0.936443","1","","26425","2487437","","100","28771","33394","results_rect","8075","","","49480","127","0","17150","27015","0","","","512","1421","9408","","","satisfy","","0.265062","","25175","50","578","complete","","","9.374021",""
"Huub_user_decomp","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","716.46938699577","0.803285","1","","19803","370994358","","1104","137","3347556","results_rect","6302","","","3343244","111","0","12834","21316","0","","","157","0","7086","","","satisfy","","0.205141","","19849","46","1501","complete","","","714.910447",""
"Huub_free_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","4.493904926814139","0.363157","1","","9214","1255334","","68","16287","19450","results_rect","2754","","","28112","79","0","5916","9555","0","","","2755","868","3383","","","satisfy","","0.090585","","8636","34","329","complete","","","3.781971",""
"Huub_vsids_m+o","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","SATISFIED","2.777310896664858","0.91822","1","","25025","344030","","100","11772","0","results_rect","7675","","","3519","123","0","16250","25593","0","","","7687","3","8904","","","satisfy","","0.252432","","23875","50","556","complete","","","1.085901",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","46.72210913896561","0.109833","1","","","43906128","","160","","","results_rect","120","2772093","","1386014","","","","237","0","","","51","0","103","1","267","satisfy","","0.006994","","160","80","359","","","","46.305",""
"Huub_user_no_gen_bounds","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","22.505676940083504","0.615329","1","","15330","5447182","","84","0","141859","results_rect","4662","","","141598","99","0","9912","15769","0","","","22","0","5523","","","satisfy","","0.152166","","14532","42","427","complete","","","21.358299",""
