"configuration","problem","model","data_file","status","time","restarts","propagators","evaluatedReifiedConstraints","unifiedVariables","failures","flatTime","evaluatedHalfReifiedConstraints","intVariables","extractedViews","peakDepth","solveTime","method","flatIntConstraints","nSolutions","paths","eliminatedImplications","objective","run","initTime","flatBoolConstraints","flatIntVars","oracleDecisions","propagations","blockType","flatBoolVars","userDecisions"
"Huub_vsids_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","12.033744433894753","154","13063","19600","0","7117","1.06091","","6097","7000","15079","10.14503","minimize","15564","6","0","1000","S(15)","results_prod_shelf","0.252193","9500","6100","464196","5228467","complete","16100","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","52.822807071730494","4268","13284","19880","0","149174","1.14202","","6097","7000","11645","50.97582","minimize","15685","1","0","1000","S(20)","results_prod_shelf","0.233596","9600","6100","1034860","39952375","complete","16280","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","UNKNOWN","1201.1503022136167","32","31091","46410","0","165979","2.55055","","13647","15750","26367","1196.902789","minimize","35892","0","0","2250","","results_prod_shelf","0.58717","22200","13650","47437728","1688098516","complete","37710","0"
"Huub_free_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","OPTIMAL_SOLUTION","287.2790589481592","242","13063","19600","0","35969","1.07841","","6097","7000","15031","285.467225","minimize","15564","8","0","1000","S(8)","results_prod_shelf","0.271618","9500","6100","1534700","23310203","complete","16100","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-07.dzn","UNKNOWN","1200.5279122730717","5","13063","19600","0","643638","1.08828","","6097","7000","3258","1198.711518","minimize","15564","0","0","1000","","results_prod_shelf","0.273892","9500","6100","13233343","715022011","complete","16100","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","UNKNOWN","1202.2283053444698","6","64838","98000","0","80866","6.0049","","30197","35000","42871","1192.435529","minimize","77339","0","0","5000","","results_prod_shelf","1.723412","47500","30200","2001784","170550485","complete","80500","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","OPTIMAL_SOLUTION","521.4708917625248","5488","69246","103600","0","255959","5.38059","","30197","35000","57184","512.706043","minimize","79747","28","0","5000","S(17)","results_prod_shelf","1.278371","49500","30200","5918171","220973858","complete","84100","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-12.dzn","OPTIMAL_SOLUTION","295.1541213719174","2424","529568","45150","0","64599","42.3899","499500","13647","15750","993654","231.051502","minimize","534819","16","0","2250","S(14)","results_prod_shelf","8.151301","105000","13650","23904400","815948905","complete","536400","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","27.123229912482202","60","11958","18200","0","3775","1.00835","","6097","7000","26804","25.278576","minimize","14959","6","0","1000","S(6)","results_prod_shelf","0.311854","9000","6100","1790972","13512565","complete","15200","0"
"Huub_vsids_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","5.880080321803689","615","3107","4620","0","46404","0.329177","","1485","1680","3228","5.207606","minimize","3738","2","0","240","S(5)","results_prod_shelf","0.058752","2250","1488","138622","2909616","complete","3810","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","116.99812965746969","2897","31091","46410","0","105076","2.47572","","13647","15750","26133","112.76819","minimize","35892","9","0","2250","S(13)","results_prod_shelf","0.586773","22200","13650","1644679","55043032","complete","37710","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","UNKNOWN","1200.9544146927074","8","30098","45150","0","149086","2.46762","","13647","15750","31028","1196.96444","minimize","35349","0","0","2250","","results_prod_shelf","0.615863","21750","13650","73405102","805161673","complete","36900","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","161.58176667336375","3930","160264","19880","0","113196","13.0119","147000","6097","7000","272511","142.038424","minimize","162665","1","0","1000","S(20)","results_prod_shelf","2.309112","34100","6100","4435226","607768661","complete","163280","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","26.579739428125322","64","11958","18200","0","3810","0.995697","","6097","7000","27119","24.740048","minimize","14959","6","0","1000","S(6)","results_prod_shelf","0.306524","9000","6100","908444","7218911","complete","15200","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","207.99687233753502","1277","68144","102200","0","79987","5.53931","","30197","35000","52754","199.244369","minimize","79145","16","0","5000","S(30)","results_prod_shelf","1.218797","49000","30200","3013708","86382219","complete","83200","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","OPTIMAL_SOLUTION","106.59508650191128","648","30098","45150","0","57602","2.59227","","13647","15750","31457","102.388847","minimize","35349","9","0","2250","S(13)","results_prod_shelf","0.628194","21750","13650","1705743","31848073","complete","36900","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","SATISFIED","1200.88324099686","141","28443","43050","0","81043","2.23346","","13647","15750","48657","1197.07188","minimize","34444","10","0","2250","S(11)","results_prod_shelf","0.740678","21000","13650","23732640","282568323","complete","35550","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.0633420795202","8","67593","101500","0","71935","5.5209","","30197","35000","11076","1193.097596","minimize","78844","0","0","5000","","results_prod_shelf","1.493699","48750","30200","1586388","344388143","complete","82750","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","5.7953566163778305","615","3107","4620","0","46404","0.302993","","1485","1680","3228","5.136929","minimize","3738","2","0","240","S(5)","results_prod_shelf","0.056661","2250","1488","138622","2909616","complete","3810","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1202.1804745281115","39","69246","103600","0","54722","5.3756","","30197","35000","56776","1193.458452","minimize","79747","0","0","5000","","results_prod_shelf","1.274821","49500","30200","35850929","565051440","complete","84100","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","2.318275257013738","12","3028","4550","0","11980","0.304753","","1547","1750","3486","1.764866","minimize","3779","2","0","250","S(9)","results_prod_shelf","0.057337","2250","1550","123816","1409476","complete","3800","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","SATISFIED","1202.3068618979305","40","68144","102200","0","586224","5.59745","","30197","35000","65641","1193.240665","minimize","79145","1","0","5000","S(49)","results_prod_shelf","1.395923","49000","30200","3574805","131865111","complete","83200","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","17.356830730102956","134","30429","45570","0","2684","2.51238","","13647","15750","25308","13.289407","minimize","35530","8","0","2250","S(20)","results_prod_shelf","0.55203","21900","13650","383199","6605094","complete","37170","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","0.799737436696887","19","3250","4830","0","774","0.324849","","1547","1750","3319","0.213159","minimize","3901","5","0","250","S(4)","results_prod_shelf","0.061782","2350","1550","23815","210120","complete","3980","0"
