"configuration","problem","model","data_file","status","time","flatIntConstraints","flatIntVars","restarts","backjumps","nSolutions","nogoods","blockType","flatTime","optTime","userDecisions","randomSeed","evaluatedHalfReifiedConstraints","boolVariables","baseMem","flatBoolConstraints","initTime","objective","nodes","intVars","objectiveBound","unifiedVariables","trailMem","intVariables","peakMem","failures","oracleDecisions","propagators","flatBoolVars","peakDepth","run","variables","propagations","method","paths","extractedViews","evaluatedReifiedConstraints","solutions","solveTime"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.8152056280524","51704","1169","50","1234685","50","1775765","","2.87232","473.841","","-189350259","","122852","0.0","9000","0.684","9180","3042047","1169","","","1.41","","0.0","1775765","","102897","51048","862","results_container","124023","7345065913","minimize","0","","51171","","1197.125"
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.657446444966","1050","725","3860","","55","","complete","0.254461","","0","","","","","570","0.033468","5376","","","","0","","365","","273277","970421","1260","1026","2526","results_container","","42158525","minimize","0","360","1596","","1199.727779"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.3469191491604","864","605","4010","","41","","complete","0.132374","","0","","","","","465","0.023698","3952","","","","0","","305","","384155","1016966","1029","837","1334","results_container","","30384941","minimize","0","300","1302","","1199.879383"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.1901966948062","2208","1505","606","","36","","complete","0.179125","","0","","","","","1210","0.057845","18768","","","","0","","755","","65120","554389","2668","2178","4508","results_container","","14038270","minimize","0","750","3388","","1199.786082"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1204.300901407376","189427","2249","","","9","","","10.9237","","","","","","","32325","","73206","","","","","","","","","","","188168","","results_container","","","minimize","0","","188408","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.966454334557","43775","725","","","1","","","2.48835","","","","42828","42740","","7710","","7410","","","150","","","","","247","","","43524","","results_container","","908925","minimize","0","","810","","10.3164"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.6163808573037","1758","1205","584","","33","","complete","0.258405","","0","","","","","960","0.041495","8064","","","","0","","605","","38013","399278","2118","1728","6817","results_container","","9946342","minimize","0","600","2688","","1199.716308"
"Huub_free_basic","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2987065911293","1134","785","4634","","43","","complete","0.154221","","0","","","","","615","0.028908","7452","","","","0","","395","","457069","1236570","1359","1107","1709","results_container","","54531931","minimize","0","390","1722","","1199.836896"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.0839780857787","51443","785","34064","","53","","complete","2.72668","","0","","50310","","","9000","0.575867","7560","","","","0","","395","","851377","13530893","51668","51417","63414","results_container","","7303355857","minimize","0","390","1722","","1196.74022"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","SATISFIED","1200.258562293835","1140","785","3032","","33","","complete","0.127346","","0","","","","","620","0.028486","4760","","","","0","","395","","196527","863970","1370","1116","1648","results_container","","27162048","minimize","0","390","1736","","1199.85563"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","SATISFIED","1200.7678298261017","30436","605","","","9","","","1.78181","","","","29666","32044","","5415","","6000","","","180","","","","","160717","","","30224","","results_container","","229945730","minimize","0","","651","","933.218"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1551343072206","1050","725","2919","","36","","complete","0.119555","","0","","","","","570","0.026177","6048","","","","0","","365","","197481","950995","1260","1026","1735","results_container","","26447527","minimize","0","360","1596","","1199.870367"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1201.0413828985766","43775","725","","","2","","","2.41726","","","","42835","43066","","7710","","9216","","","180","","","","","523","","","43524","","results_container","","4039105","minimize","0","","803","","19.8905"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.6016603996977","121157","1205","9876","","38","","complete","6.43845","","0","","119400","","","20860","1.484485","12880","","","","0","","605","","318765","11625149","121517","121128","155453","results_container","","5907961403","minimize","0","600","2688","","1192.190805"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.3501934651285","1050","725","2522","","42","","complete","0.159781","","0","","","","","570","0.027868","4576","","","","0","","365","","263122","872829","1260","1026","2799","results_container","","28476141","minimize","0","360","1596","","1199.819221"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.3532449044287","1134","785","2660","","34","","complete","0.138779","","0","","","","","615","0.028536","7524","","","","0","","395","","220500","769009","1359","1107","1622","results_container","","25795012","minimize","0","390","1722","","1199.846729"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2455225428566","1758","1205","1260","","29","","complete","0.160466","","0","","","","","960","0.041567","7540","","","","0","","605","","112812","685599","2118","1728","5758","results_container","","18540483","minimize","0","600","2688","","1199.813905"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.2831746945158","1758","1205","1043","","46","","complete","0.159696","","0","","","","","960","0.042389","7980","","","","0","","605","","112398","745135","2118","1728","5094","results_container","","17950914","minimize","0","600","2688","","1199.817652"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1202.6747737126425","121157","1205","10826","","33","","complete","6.64803","","0","","119400","","","20860","1.47857","10868","","","","0","","605","","362624","12091561","121517","121128","156024","results_container","","5711107361","minimize","0","600","2688","","1192.00333"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.7526178937405","1758","1205","770","","36","","complete","0.280704","","0","","","","","960","0.042427","11016","","","","0","","605","","49693","364564","2118","1728","2626","results_container","","11435595","minimize","0","600","2688","","1199.813002"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.2603014847264","1050","725","3537","","47","","complete","0.123023","","0","","","","","570","0.026553","5280","","","","0","","365","","299743","891236","1260","1026","2676","results_container","","28904661","minimize","0","360","1596","","1199.860025"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","UNKNOWN","1201.4518393613398","50829","785","0","","0","","","2.87115","","","","50310","","","8385","0.461511","","1911137","","","","","","","955457","","59214","50310","273","results_container","51095","1661152046","minimize","0","","","0","1197.13"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.1517388094217","1050","725","1500","","52","","complete","0.122276","","0","","","","","570","0.025929","6300","","","","0","","365","","116455","526022","1260","1026","1567","results_container","","14631988","minimize","0","360","1596","","1199.861061"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.1620820779353","1758","1205","618","","29","","complete","0.157482","","0","","","","","960","0.04006","8100","","","","0","","605","","32451","351058","2118","1728","3323","results_container","","8355689","minimize","0","600","2688","","1199.816355"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1200.9500775756314","43877","725","40408","","39","","complete","2.29624","","0","","42828","","","7710","0.49112","4810","","","","0","","365","","1008966","16282554","44087","43854","56489","results_container","","7508543871","minimize","0","360","1596","","1197.24187"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.5699796965346","121157","1205","9963","","38","","complete","6.36982","","0","","119400","","","20860","1.436168","12880","","","","0","","605","","319602","11668907","121517","121128","155453","results_container","","5951489003","minimize","0","600","2688","","1192.320678"
"Huub_vsids_m+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.665952667594","1758","1205","799","","31","","complete","0.260181","","0","","","","","960","0.04253","7560","","","","0","","605","","42652","385353","2118","1728","6817","results_container","","11532281","minimize","0","600","2688","","1199.756114"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.614032397978","1758","1205","1384","","25","","complete","0.253847","","0","","","","","960","0.04222","11220","","","","0","","605","","172970","724629","2118","1728","2754","results_container","","50235764","minimize","0","600","2688","","1199.723823"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1201.23204515595","30764","899","53","1446783","53","2143671","","1.7524","1125.804","","1088558136","","81855","0.0","5415","0.407","4032","3616118","899","","","0.63","","0.0","2143671","","61137","30258","633","results_container","82756","4362569597","minimize","0","","30351","","1198.244"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1201.0785384196788","51320","785","","","2","","","3.06409","","","","50310","50379","","9000","","9918","","","180","","","","","329","","","51048","","results_container","","4425545","minimize","0","","861","","21.3213"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1200.6453473316506","2196","1505","274","","46","","complete","0.305956","","0","","","","","1200","0.061511","19404","","","","0","","755","","19183","421176","2646","2160","9881","results_container","","6077877","minimize","0","750","3360","","1199.661871"
"Huub_free_decomp","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","SATISFIED","1203.9472226891667","188896","1505","5665","","62","","complete","10.3492","","0","","186701","","","32325","2.239851","18228","","","","0","","755","","192865","19168567","189346","188861","244915","results_container","","5587873299","minimize","0","750","3360","","1187.609175"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1202.2099004825577","120965","1205","","","1","","","6.9911","","","","119378","119462","","20860","","8645","","","144","","","","","438","","","120552","","results_container","","2126830","minimize","0","","1366","","52.1588"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.1650216467679","1758","1205","1259","","21","","complete","0.157046","","0","","","","","960","0.041324","10773","","","","0","","605","","170251","622397","2118","1728","2491","results_container","","19872927","minimize","0","600","2688","","1199.815946"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2137157348916","1758","1205","585","","40","","complete","0.158673","","0","","","","","960","0.041331","10469","","","","0","","605","","67957","315707","2118","1728","2451","results_container","","8544773","minimize","0","600","2688","","1199.860354"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.1655366569757","870","605","4615","","31","","complete","0.118033","","0","","","","","470","0.022909","4950","","","","0","","305","","366409","1291858","1040","846","1242","results_container","","36827298","minimize","0","300","1316","","1199.874038"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.54944930505","44129","1079","37","1263353","37","1962937","","2.52554","1187.758","","-1372543787","","101469","0.0","7710","0.57","5850","3246389","1079","","","0.94","","0.0","1962937","","87786","43524","715","results_container","102550","6586899576","minimize","0","","43638","","1197.471"
"Huub_vsids_m+s","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.6178288040683","1758","1205","804","","31","","complete","0.252168","","0","","","","","960","0.042048","10500","","","","0","","605","","64083","345461","2118","1728","2502","results_container","","9973138","minimize","0","600","2688","","1199.748433"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1202.5277192490175","121157","1205","12122","","41","","complete","6.4263","","0","","119400","","","20860","1.448934","10560","","","","0","","605","","314535","13393132","121517","121128","156576","results_container","","6255950954","minimize","0","600","2688","","1192.238329"
"Huub_free_m+o","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.349987681955","1050","725","3629","","48","","complete","0.132129","","0","","","","","570","0.026642","5415","","","","0","","365","","243332","964660","1260","1026","1889","results_container","","32936102","minimize","0","360","1596","","1199.855184"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.6496769739315","1758","1205","1494","","28","","complete","0.281255","","0","","","","","960","0.048037","10868","","","","0","","605","","115168","699422","2118","1728","2626","results_container","","24489552","minimize","0","600","2688","","1199.687521"
"Huub_free_m+s","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.1856941599399","1758","1205","569","","50","","complete","0.159536","","0","","","","","960","0.043019","11907","","","","0","","605","","57161","421467","2118","1728","4268","results_container","","8261779","minimize","0","600","2688","","1199.829676"
