"configuration","problem","model","data_file","status","time","flatIntConstraints","flatIntVars","restarts","backjumps","nSolutions","nogoods","blockType","flatTime","optTime","userDecisions","randomSeed","evaluatedHalfReifiedConstraints","boolVariables","baseMem","flatBoolConstraints","initTime","objective","nodes","intVars","objectiveBound","unifiedVariables","trailMem","intVariables","peakMem","failures","oracleDecisions","propagators","flatBoolVars","peakDepth","run","variables","propagations","method","paths","extractedViews","evaluatedReifiedConstraints","solutions","solveTime"
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","UNKNOWN","1201.26806762442","43319","725","0","","0","","","2.48097","","","","42840","","","7140","0.388401","","1750436","","","","","","","875140","","50459","42840","209","results_container","43565","2906352221","minimize","0","","","0","1197.52"
"Huub_vsids_basic","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.6101695373654","1758","1205","1467","","35","","complete","0.263494","","0","","","","","960","0.044822","12240","","","","0","","605","","147058","743538","2118","1728","3389","results_container","","23716135","minimize","0","600","2688","","1199.734745"
"Huub_vsids_decomp","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","SATISFIED","1201.014969916083","43877","725","39754","","39","","complete","2.46799","","0","","42828","","","7710","0.489266","4810","","","","0","","365","","999295","16099554","44087","43854","56489","results_container","","7402298171","minimize","0","360","1596","","1197.078742"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.1650929320604","870","605","5438","","31","","complete","0.114373","","0","","","","","470","0.022366","4960","","","","0","","305","","662419","1736316","1040","846","1540","results_container","","52171453","minimize","0","300","1316","","1199.887142"
"Huub_free_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.428687363863","1758","1205","245","","48","","complete","0.190752","","0","","","","","960","0.043026","13398","","","","0","","605","","20471","308103","2118","1728","3734","results_container","","4313912","minimize","0","600","2688","","1199.860423"
"Huub_vsids_s+o","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.5916359340772","1758","1205","1384","","30","","complete","0.25101","","0","","","","","960","0.041078","7560","","","","0","","605","","107980","721942","2118","1728","3554","results_container","","21990265","minimize","0","600","2688","","1199.723664"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.54394548852","1050","725","3700","","58","","complete","0.212244","","0","","","","","570","0.03449","5168","","","","0","","365","","261082","972993","1260","1026","2526","results_container","","40878722","minimize","0","360","1596","","1199.7931"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1202.1916411770508","120965","1205","","","1","","","6.93572","","","","119400","119554","","20860","","12852","","","225","","","","","478","","","120552","","results_container","","2170267","minimize","0","","1344","","52.2656"
"Huub_free_s+o","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","SATISFIED","1200.151817101054","1050","725","4955","","30","","complete","0.122282","","0","","","","","570","0.026178","6090","","","","0","","365","","400158","1511874","1260","1026","1565","results_container","","44196611","minimize","0","360","1596","","1199.858381"
"Huub_vsids_no_gen_bounds","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.58141334448","1758","1205","695","","53","","complete","0.263133","","0","","","","","960","0.044428","13104","","","","0","","605","","36613","484874","2118","1728","3594","results_container","","11705568","minimize","0","600","2688","","1199.705192"
