"configuration","problem","model","data_file","status","time","baseMem","optTime","restarts","evaluatedHalfReifiedConstraints","randomSeed","variables","boolVariables","peakMem","initTime","flatBoolVars","solutions","objective","solveTime","nSolutions","intVariables","flatIntConstraints","blockType","nogoods","nodes","oracleDecisions","intVars","method","error","propagators","unifiedVariables","flatBoolConstraints","propagations","peakDepth","failures","eliminatedImplications","flatIntVars","extractedViews","userDecisions","run","trailMem","evaluatedReifiedConstraints","flatTime","backjumps","objectiveBound","paths"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-13.dzn","OPTIMAL_SOLUTION","41.86291442718357","","","1700","","","","","","0.56748","37710","","S(13)","37.767836","3","13647","35892","complete","","","578909","","minimize","","31091","0","22200","24837895","26291","70454","2250","13650","15750","0","results_prod_new","","46410","2.45133","","","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","SATISFIED","1201.203723916784","","","62","","","","","","0.616026","36900","","S(23)","1197.165746","6","13647","35349","complete","","","1217045","","minimize","","30098","0","21750","32037305","30972","728199","2250","13650","15750","0","results_prod_new","","45150","2.4893","","","0"
"Huub_vsids_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","160.96948049310595","","","3930","147000","","","","","2.314966","163280","","S(20)","141.315847","1","6097","162665","complete","","","4435226","","minimize","","160264","0","34100","607768661","272511","113196","1000","6100","7000","0","results_prod_new","","19880","13.0986","","","0"
"cp-sat","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","UNKNOWN","1210.598353006877","","","","499500","","","","","","530280","","","","0","","532870","","","","","","minimize","","","","105150","","","","2250","13650","","","results_prod_new","","30660","44.8713","","","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","OPTIMAL_SOLUTION","6.558688702993095","","","37","","","","","","0.324628","15200","","S(6)","4.713252","6","6097","14959","complete","","","429178","","minimize","","11958","0","9000","2955547","26122","1855","1000","6100","7000","0","results_prod_new","","18200","1.05507","","","0"
"Huub_vsids_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-19.dzn","OPTIMAL_SOLUTION","42.00414623878896","","","74","","","","","","1.234197","83200","","S(30)","32.811364","5","30197","79145","complete","","","2462272","","minimize","","68144","0","49000","21406492","68540","15956","5000","30200","35000","0","results_prod_new","","102200","5.8273","","","0"
"Huub_vsids_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-11.dzn","OPTIMAL_SOLUTION","30.874481827951968","","","172","","","","","","0.613685","36900","","S(13)","26.661819","3","13647","35349","complete","","","571349","","minimize","","30098","0","21750","12836869","29670","33872","2250","13650","15750","0","results_prod_new","","45150","2.60037","","","0"
"Huub_vsids_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-15.dzn","OPTIMAL_SOLUTION","34.97182450257242","","","107","","","","","","0.750956","35550","","S(8)","30.99545","5","13647","34444","complete","","","1321316","","minimize","","28443","0","21000","14271765","46839","22071","2250","13650","15750","0","results_prod_new","","43050","2.33057","","","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-16.dzn","UNKNOWN","1202.1469486244023","","","8","","","","","","1.479104","82750","","","1193.036797","0","30197","78844","complete","","","1603614","","minimize","","67593","0","48750","348427579","11076","72739","5000","30200","35000","0","results_prod_new","","101500","5.61859","","","0"
"Huub_free_m+s","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-01.dzn","OPTIMAL_SOLUTION","5.610670980997384","","","615","","","","","","0.053528","3810","","S(5)","5.027601","2","1485","3738","complete","","","138622","","minimize","","3107","0","2250","2909616","3228","46404","240","1488","1680","0","results_prod_new","","4620","0.303591","","","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","UNKNOWN","1202.1371425474063","","","39","","","","","","1.265233","84100","","","1193.479034","0","30197","79747","complete","","","35866780","","minimize","","69246","0","49500","566079967","56776","54860","5000","30200","35000","0","results_prod_new","","103600","5.35329","","","0"
"Huub_free_basic","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-04.dzn","OPTIMAL_SOLUTION","2.389391797594726","","","12","","","","","","0.057853","3800","","S(9)","1.757282","2","1547","3779","complete","","","123816","","minimize","","3028","0","2250","1409476","3486","11980","250","1550","1750","0","results_prod_new","","4550","0.33847","","","0"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-06.dzn","OPTIMAL_SOLUTION","77.21355565544218","0.0","56.506","6","","38958265","368180","362079","0.0","2.575","160400","","15","58.032","6","","161595","","14284","601625","","6099","minimize","","305196","","34000","226352133","5321","14284","1000","6099","","","results_prod_new","0.63","160300","13.0964","558606","","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-17.dzn","SATISFIED","1202.4672883283347","","","40","","","","","","1.398674","83200","","S(49)","1193.27608","1","30197","79145","complete","","","3570306","","minimize","","68144","0","49000","131645495","65641","581724","5000","30200","35000","0","results_prod_new","","102200","5.55939","","","0"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-18.dzn","SATISFIED","1230.1352625172585","","","","","","","","","","1554400","","S(50)","","1","","1559698","","","","","","minimize","","","","297000","","","","5000","30199","","","results_prod_new","","1554300","134.178","","","0"
"Huub_vsids_no_gen_bounds","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-75-14.dzn","OPTIMAL_SOLUTION","9.361313153989613","","","65","","","","","","0.537736","37170","","S(20)","5.407124","4","13647","35530","complete","","","210314","","minimize","","30429","0","21900","4952239","24739","2066","2250","13650","15750","0","results_prod_new","","45570","2.52003","","","0"
"Huub_free_m+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-25-03.dzn","OPTIMAL_SOLUTION","0.7542641116306186","","","19","","","","","","0.057045","3980","","S(4)","0.206614","5","1547","3901","complete","","","23815","","minimize","","3250","0","2350","210120","3319","774","250","1550","1750","0","results_prod_new","","4830","0.306047","","","0"
"Huub_free_s+o","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-10.dzn","SATISFIED","1200.6764943329617","","","8","","","","","","0.317919","15200","","S(8)","1198.861714","3","6097","14959","complete","","","19505301","","minimize","","11958","0","9000","231601382","26177","1972867","1000","6100","7000","0","results_prod_new","","18200","1.02861","","","0"
"Huub_free_decomp","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-50-09.dzn","OPTIMAL_SOLUTION","158.35661571659148","","","3930","147000","","","","","2.290997","163280","","S(20)","139.446997","1","6097","162665","complete","","","4435226","","minimize","","160264","0","34100","607768661","272511","113196","1000","6100","7000","0","results_prod_new","","19880","12.637","","","0"
"chuffed","","../products-and-shelves/product-and-shelves.mzn","../products-and-shelves/ps-100-20.dzn","SATISFIED","1231.424511168152","","","","","","","","","","1552000","","S(50)","","1","","1557690","","","","","","minimize","","","","295000","","","","5000","30199","","","results_prod_new","","1551500","138.597","","","0"
