"configuration","problem","model","data_file","status","time","nSolutions","flatIntVars","nodes","flatBoolVars","solutions","run","solveTime","randomSeed","baseMem","method","objective","intVars","flatIntConstraints","unifiedVariables","variables","boolVariables","nogoods","flatBoolConstraints","initTime","blockType","trailMem","oracleDecisions","propagations","userDecisions","intVariables","backjumps","evaluatedReifiedConstraints","propagators","paths","evaluatedHalfReifiedConstraints","optTime","peakMem","failures","flatTime","restarts","peakDepth","objectiveBound","extractedViews"
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.5007230248302","2","105","","","","results_filter","1199.817992","","","minimize","14","","75","0","","","","","0.008856","complete","","0","78268827","19586668","97","","","67","0","","","","6604309","0.174737","0","83","","8"
"Huub_free_decomp","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","44.07410204876214","6","105","","2432","","results_filter","43.147076","","","minimize","16","","2505","0","","","","608","0.03591","complete","","487449","175875287","843850","65","","","2497","0","2432","","","603499","0.266796","28347","3087","","8"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.6798006370663643","1","43","","672","","results_filter","0.11167","","","minimize","28","","727","0","","","","336","0.012925","complete","","672","463341","3639","35","","","719","0","672","","","3490","0.250583","0","707","","8"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.63804149068892","2","33","","","","results_filter","0.047952","","","minimize","15","","26","0","","","","","0.005732","complete","","2687","20586","0","32","","","25","0","","","","1825","0.207352","90","120","","1"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.48821957781910896","1","25","","","","results_filter","0.018318","","","minimize","18","","26","0","","","","","0.005441","complete","","624","10758","0","24","","","25","0","","","","323","0.183978","6","112","","1"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.8097470076754689","4","48","","","","results_filter","0.028404","","","minimize","11","","26","0","","","","","0.006539","complete","","0","5288","1847","24","","","25","0","","","","285","0.177114","0","39","","1"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.4539667181670666","1","61","","","","results_filter","0.006579","","","minimize","11","","37","0","","","","","0.005668","complete","","126","3346","0","45","","","33","0","","","","0","0.178456","0","127","","4"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.44372493866831064","2","69","","","","results_filter","0.013652","","","minimize","21","","57","0","","","","","0.007228","complete","","0","896","110","35","","","49","0","","","","5","0.176612","0","54","","8"
"Huub_user_basic","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.6472896598279476","3","33","","","","results_filter","0.019987","","","minimize","15","","26","0","","","","","0.005229","complete","","0","6016","724","24","","","25","0","","","","621","0.173042","0","27","","1"
"Huub_free_basic","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.5496602989733219","2","69","","","","results_filter","0.009657","","","minimize","21","","57","0","","","","","0.006026","complete","","0","885","110","35","","","49","0","","","","5","0.178969","0","54","","8"
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.6395191820338368","3","33","","","","results_filter","0.020238","","","minimize","15","","26","0","","","","","0.005342","complete","","0","6016","724","24","","","25","0","","","","621","0.20732","0","27","","1"
"chuffed","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.7311688670888543","4","52","4341","600","","results_filter","0.045","-1446500655","0.0","minimize","18","52","637","","7842","7788","2065","180","0.014","","0.02","","435665","","","2147","600","1242","0","","0.02","0.0","2065","0.210659","4","37","",""
"Huub_vsids_basic","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.5406068274751306","1","26","","","","results_filter","0.004147","","","minimize","6","","14","0","","","","","0.005177","complete","","116","1207","0","18","","","11","0","","","","4","0.185983","0","113","","3"
"cp-sat","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.6805472960695624","1","52","","","","results_filter","0.010863","","","minimize","19","","36","","","178","","","","","","","647","","","","","","0","","","","129","0.215705","","","19",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","47.06484637595713","1","73","","","","results_filter","46.236803","","","minimize","32","","75","0","","","","","0.007152","complete","","0","2223041","331650","49","","","67","0","","","","327232","0.19224","0","55","","8"
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.5190300410613418","3","33","","310","","results_filter","0.022272","","","minimize","15","","334","0","","","","127","0.008899","complete","","990","56842","723","24","","","333","0","310","","","623","0.244927","0","357","","1"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.8545995056629181","1","43","","","","results_filter","0.426578","","","minimize","28","","57","0","","","","","0.006238","complete","","14644","185290","0","35","","","49","0","","","","9804","0.171102","520","94","","8"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","37.02333647944033","7","105","","","","results_filter","36.057759","","","minimize","16","","75","0","","","","","0.007276","complete","","823622","7514579","0","65","","","67","0","","","","603988","0.167773","18785","182","","8"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.7286063777282834","11","77","","1344","","results_filter","0.055237","","","minimize","17","","1399","0","","","","336","0.021133","complete","","17918","184607","0","69","","","1391","0","1344","","","55","0.258325","1","1716","","8"
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6301506832242012","3","33","","","","results_filter","0.020078","","","minimize","15","","26","0","","","","","0.005606","complete","","0","6034","739","32","","","25","0","","","","621","0.206896","0","32","","1"
"Huub_free_decomp","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.44141948968172073","1","26","","80","","results_filter","0.003712","","","minimize","4","","92","0","","","","20","0.008158","complete","","91","607","32","18","","","89","0","80","","","7","0.167661","0","111","","3"
