"configuration","problem","model","data_file","status","time","nSolutions","flatIntVars","nodes","flatBoolVars","solutions","run","solveTime","randomSeed","baseMem","method","objective","intVars","flatIntConstraints","unifiedVariables","variables","boolVariables","nogoods","flatBoolConstraints","initTime","blockType","trailMem","oracleDecisions","propagations","userDecisions","intVariables","backjumps","evaluatedReifiedConstraints","propagators","paths","evaluatedHalfReifiedConstraints","optTime","peakMem","failures","flatTime","restarts","peakDepth","objectiveBound","extractedViews"
"Huub_free_m+s","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.7649838840588927","1","26","","","","results_filter","0.003458","","","minimize","4","","14","0","","","","","0.004187","complete","","0","95","32","18","","","11","0","","","","7","0.160625","0","20","","3"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.4779370687901974","6","52","","","","results_filter","0.033408","","","minimize","18","","36","0","","","","","0.005719","complete","","626","8249","0","51","","","35","0","","","","181","0.171627","1","135","","1"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","0.5542877223342657","4","26","","80","","results_filter","0.008823","","","minimize","4","","92","0","","","","20","0.007622","complete","","525","6891","0","18","","","89","0","80","","","19","0.177052","0","200","","3"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","240.91076126229018","1","73","","","","results_filter","240.509414","","","minimize","32","","75","0","","","","","0.007162","complete","","3930508","30784821","0","49","","","67","0","","","","2462497","0.167572","88607","149","","8"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","177.65046422649175","3","105","","","","results_filter","177.168967","","","minimize","14","","75","0","","","","","0.007976","complete","","3890053","14924778","0","97","","","67","0","","","","3033257","0.185641","56261","177","","8"
"Huub_user_m+o","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.6244762344285846","2","61","","","","results_filter","0.166664","","","minimize","15","","37","0","","","","","0.006096","complete","","0","72064","21239","45","","","33","0","","","","4769","0.182212","0","52","","4"
"Huub_free_basic","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","37.19609629455954","2","105","","","","results_filter","36.62353","","","minimize","11","","75","0","","","","","0.00729","complete","","419528","6519364","942006","97","","","67","0","","","","481406","0.198438","13989","172","","8"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1200.32938479539","3","105","","","","results_filter","1199.805114","","","minimize","11","","75","0","","","","","0.007737","complete","","0","85716121","28275397","97","","","67","0","","","","8062942","0.191565","0","83","","8"
"Huub_user_m+o","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.8156015174463391","4","48","","","","results_filter","0.026869","","","minimize","11","","26","0","","","","","0.005573","complete","","0","5288","1847","24","","","25","0","","","","285","0.19951","0","39","","1"
"Huub_free_s+o","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.7381583824753761","4","52","","","","results_filter","0.03993","","","minimize","19","","36","0","","","","","0.007178","complete","","253","9336","1453","34","","","35","0","","","","222","0.17335","1","116","","1"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","155.0262953005731","1","73","","","","results_filter","152.89366","","","minimize","32","","75","0","","","","","0.009039","complete","","532797","15266839","859112","49","","","67","0","","","","624609","0.342049","32467","105","","8"
"Huub_free_decomp","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.7211374966427684","2","77","","1344","","results_filter","0.011795","","","minimize","17","","1399","0","","","","336","0.020861","complete","","3432","18688","179","69","","","1391","0","1344","","","19","0.276372","0","1780","","8"
"chuffed","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","0.930706337094307","1","36","14882","360","","results_filter","0.439","2141290027","0.0","minimize","34","36","397","","7506","7468","9786","180","0.011","","0.02","","5588057","","","5067","360","762","0","","0.005","0.0","9786","0.240258","1","29","",""
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.665533997118473","1","49","","","","results_filter","0.015025","","","minimize","16","","37","0","","","","","0.005749","complete","","655","15091","0","45","","","33","0","","","","45","0.221421","1","125","","4"
"Huub_user_decomp","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.8442336460575461","5","48","","508","","results_filter","0.025397","","","minimize","11","","532","0","","","","127","0.011572","complete","","2961","55307","1338","24","","","531","0","508","","","245","0.202169","0","631","","1"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","20.883142350241542","13","52","","","","results_filter","20.199683","","","minimize","19","","36","0","","","","","0.005956","complete","","0","6373808","1397497","34","","","35","0","","","","227190","0.21563","0","43","","1"
"Huub_user_basic","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.6164493970573","2","105","","","","results_filter","1199.794179","","","minimize","16","","75","0","","","","","0.009835","complete","","0","64586323","11999462","65","","","67","0","","","","9556097","0.197985","0","76","","8"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.5410629892721772","1","25","","","","results_filter","0.041043","","","minimize","18","","26","0","","","","","0.005073","complete","","0","16751","1764","24","","","25","0","","","","1738","0.174174","0","24","","1"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.6143201673403","2","105","","","","results_filter","1199.819529","","","minimize","16","","75","0","","","","","0.007971","complete","","0","66508742","12877187","65","","","67","0","","","","8957676","0.173372","0","76","","8"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","1.0054819770157337","8","52","","","","results_filter","0.115403","","","minimize","19","","36","0","","","","","0.006725","complete","","620","15471","1393","34","","","35","0","","","","327","0.651833","7","128","","1"
"Huub_free_s+o","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.46493173111230135","3","61","","","","results_filter","0.029396","","","minimize","11","","37","0","","","","","0.006081","complete","","233","4211","1046","45","","","33","0","","","","641","0.170565","9","47","","4"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.7324866717681289","3","49","","","","results_filter","0.098455","","","minimize","16","","37","0","","","","","0.00631","complete","","375","20157","2750","45","","","33","0","","","","745","0.217766","3","136","","4"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","1.034524828195572","2","49","","","","results_filter","0.163862","","","minimize","18","","37","0","","","","","0.007175","complete","","4854","55846","0","29","","","33","0","","","","3093","0.20772","99","99","","4"
"chuffed","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.7210872564464808","2","76","117","1288","","results_filter","0.009","1015355717","0.0","minimize","21","76","1349","","11446","11368","3","336","0.024","","0.04","","22556","","","9","1288","2646","0","","0.009","0.0","3","0.231307","2","54","",""
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.872350512072444","3","48","","","","results_filter","0.050685","","","minimize","11","","26","0","","","","","0.006398","complete","","0","6222","2199","24","","","25","0","","","","363","0.178889","0","39","","1"
"Huub_free_basic","","../filters/filter.mzn","../filters/fir_2_2.dzn","OPTIMAL_SOLUTION","0.4670155644416809","4","48","","","","results_filter","0.0323","","","minimize","11","","26","0","","","","","0.005569","complete","","0","6778","2436","24","","","25","0","","","","389","0.199317","0","39","","1"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.2907691188156605","1","33","","","","results_filter","0.889983","","","minimize","34","","37","0","","","","","0.005804","complete","","8283","177947","11964","29","","","33","0","","","","11972","0.164391","689","50","","4"
"Huub_free_s+o","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","143.47408901713789","6","35","","","","results_filter","142.768122","","","minimize","35","","36","0","","","","","0.006391","complete","","287765","4763368","359528","34","","","35","0","","","","478829","0.208656","14376","85","","1"
"Huub_vsids_basic","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.4636433878913522","1","52","","","","results_filter","0.009921","","","minimize","19","","36","0","","","","","0.006094","complete","","181","3788","0","34","","","35","0","","","","66","0.178713","0","100","","1"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.9214889463037252","2","33","","","","results_filter","1.398506","","","minimize","34","","37","0","","","","","0.005788","complete","","53182","396610","0","29","","","33","0","","","","34669","0.176703","1574","90","","4"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.4884932143613696","1","77","","","","results_filter","0.008515","","","minimize","17","","57","0","","","","","0.00613","complete","","157","4649","0","69","","","49","0","","","","0","0.186561","0","158","","8"
"Huub_user_m+s","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6164097310975194","3","33","","","","results_filter","0.020226","","","minimize","15","","26","0","","","","","0.005546","complete","","0","6034","739","32","","","25","0","","","","621","0.206186","0","32","","1"
"Huub_free_basic","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","124.2053578114137","6","35","","","","results_filter","123.566005","","","minimize","35","","36","0","","","","","0.005684","complete","","324120","4897221","337182","34","","","35","0","","","","449043","0.227457","16808","102","","1"
"Huub_free_basic","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.6316533759236336","1","25","","","","results_filter","0.019615","","","minimize","18","","26","0","","","","","0.006923","complete","","302","8290","401","24","","","25","0","","","","562","0.188564","29","24","","1"
"gecode","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","0.45961300283670425","1","105","171","","1","results_filter","0.007435","","","minimize","16","","75","","105","","","","0.00092","","","","3189","","","","","79","0","","","","67","0.16517","0","116","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.5278365518898","1","57","","","","results_filter","1199.834098","","","minimize","34","","75","0","","","","","0.007668","complete","","0","51359968","4877727","49","","","67","0","","","","4797448","0.175581","0","49","","8"
"cp-sat","","../filters/filter.mzn","../filters/dct_2_3.dzn","SATISFIED","1200.3614295599982","1","105","","","","results_filter","0.007943","","","minimize","16","","75","","","158","","","","","","","852","","","","","","0","","","","67","0.169394","","","7",""
"Huub_free_m+s","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","57.88245535083115","3","105","","","","results_filter","57.464167","","","minimize","16","","75","0","","","","","0.007794","complete","","483309","11056583","1212338","65","","","67","0","","","","717702","0.170123","22787","180","","8"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.46122437808662653","1","69","","","","results_filter","0.010188","","","minimize","21","","57","0","","","","","0.006196","complete","","217","9100","0","35","","","49","0","","","","10","0.178669","0","109","","8"
"chuffed","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.7060368554666638","3","32","720","310","","results_filter","0.016","937103506","0.0","minimize","15","33","333","","5260","5225","434","127","0.009","","0.01","","114538","","","213","310","645","0","","0.008","0.0","434","0.190835","3","27","",""
"Huub_user_s+o","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.46150112990289927","3","77","","","","results_filter","0.024289","","","minimize","18","","57","0","","","","","0.006299","complete","","0","2821","816","35","","","49","0","","","","99","0.172318","0","57","","8"
"Huub_free_basic","","../filters/filter.mzn","../filters/fir16_1_2.dzn","OPTIMAL_SOLUTION","0.5061666369438171","10","52","","","","results_filter","0.069166","","","minimize","19","","36","0","","","","","0.005634","complete","","655","17365","2210","34","","","35","0","","","","411","0.175292","7","116","","1"
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1201.1440538512543","3","105","","","","results_filter","1199.821959","","","minimize","14","","75","0","","","","","0.007395","complete","","0","80954347","19868057","97","","","67","0","","","","6816827","0.176954","0","83","","8"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.5183274177834392","2","33","","","","results_filter","1.070262","","","minimize","34","","37","0","","","","","0.0058","complete","","40645","304253","0","29","","","33","0","","","","27188","0.18169","977","96","","4"
"Huub_user_m+s","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.637568116188","4","105","","","","results_filter","1199.823208","","","minimize","18","","75","0","","","","","0.007107","complete","","0","54736207","8800858","49","","","67","0","","","","7097055","0.18615","0","75","","8"
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.7294688569382","3","105","","","","results_filter","1199.77876","","","minimize","18","","75","0","","","","","0.007191","complete","","0","48271094","7984927","49","","","67","0","","","","6505875","0.222955","0","74","","8"
"Huub_user_s+o","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","1.1419751923531294","4","49","","","","results_filter","0.270505","","","minimize","18","","37","0","","","","","0.006247","complete","","0","121505","19817","29","","","33","0","","","","7393","0.192235","0","37","","4"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dct_2_3.dzn","OPTIMAL_SOLUTION","49.76313028950244","2","105","","","","results_filter","49.130056","","","minimize","16","","75","0","","","","","0.007773","complete","","417408","9221645","956145","65","","","67","0","","","","628592","0.21935","19088","193","","8"
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","163.1064492436126","4","105","","2432","","results_filter","162.525336","","","minimize","11","","2505","0","","","","608","0.035175","complete","","4527","322700971","3067341","97","","","2497","0","2432","","","1851577","0.262471","0","3060","","8"
"gecode","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.083703076466918","1","26","22","","1","results_filter","0.003807","","","minimize","4","","14","","26","","","","0.00048","","","","98","","","","","18","0","","","","5","0.268857","0","20","",""
"Huub_free_s+o","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.47474784776568413","2","69","","","","results_filter","0.010369","","","minimize","21","","57","0","","","","","0.005875","complete","","0","864","109","35","","","49","0","","","","5","0.183932","0","54","","8"
"Huub_user_basic","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.46520441211760044","2","77","","","","results_filter","0.010967","","","minimize","17","","57","0","","","","","0.006007","complete","","0","772","180","69","","","49","0","","","","19","0.189493","0","67","","8"
"gecode","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","10.221430617384613","3","33","4646003","","3","results_filter","9.68075","","","minimize","15","","26","","63","","","","0.000632","","","","27202243","","","","","29","0","","","","2322990","0.17213","0","31","",""
"cp-sat","","../filters/filter.mzn","../filters/dct_2_2.dzn","SATISFIED","1200.6657537305728","1","105","","","","results_filter","0.033239","","","minimize","18","","75","","","197","","","","","","","1193","","","","","","0","","","","101","0.179505","","","7",""
"Huub_user_m+s","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.5306399744004011","2","77","","","","results_filter","0.011155","","","minimize","17","","57","0","","","","","0.006036","complete","","0","772","180","69","","","49","0","","","","19","0.175037","0","67","","8"
"Huub_free_basic","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.5405687596648932","1","26","","","","results_filter","0.003849","","","minimize","6","","14","0","","","","","0.005186","complete","","0","134","44","18","","","11","0","","","","14","0.186145","0","20","","3"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.7335981372743845","2","61","","","","results_filter","0.118079","","","minimize","11","","37","0","","","","","0.005815","complete","","0","18466","7788","45","","","33","0","","","","5109","0.213676","0","47","","4"
"gecode","","../filters/filter.mzn","../filters/ewf_1_2.dzn","SATISFIED","1200.6468748636544","1","51","636871409","","1","results_filter","1199.71","","","minimize","28","","57","","103","","","","0.016202","","","","3435760072","","","","","60","0","","","","318435688","0.289177","0","52","",""
"gecode","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","0.922813368961215","2","105","399","","2","results_filter","0.019479","","","minimize","11","","75","","105","","","","0.014014","","","","4128","","","","","79","0","","","","161","0.194708","0","104","",""
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.46877485048025846","1","26","","","","results_filter","0.004064","","","minimize","6","","14","0","","","","","0.004461","complete","","116","1207","0","18","","","11","0","","","","4","0.186405","0","113","","3"
"Huub_user_decomp","","../filters/filter.mzn","../filters/ewf_4_3.dzn","OPTIMAL_SOLUTION","0.7238860409706831","2","77","","1344","","results_filter","0.011645","","","minimize","17","","1399","0","","","","336","0.020788","complete","","3432","18688","179","69","","","1391","0","1344","","","19","0.278354","0","1780","","8"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","52.36097529530525","2","35","","","","results_filter","51.72973","","","minimize","35","","36","0","","","","","0.005618","complete","","992907","4508181","0","34","","","35","0","","","","723520","0.219625","24182","97","","1"
"Huub_user_m+s","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.5379422772675753","1","43","","","","results_filter","0.124388","","","minimize","28","","57","0","","","","","0.005939","complete","","0","28811","3351","35","","","49","0","","","","3231","0.169803","0","35","","8"
"Huub_free_m+o","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.44528045132756233","5","52","","","","results_filter","0.040832","","","minimize","18","","36","0","","","","","0.005764","complete","","530","9857","1105","51","","","35","0","","","","299","0.169182","5","135","","1"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/ar_2_4.dzn","OPTIMAL_SOLUTION","0.6944571519270539","3","61","","","","results_filter","0.082262","","","minimize","11","","37","0","","","","","0.006468","complete","","387","8163","2400","45","","","33","0","","","","1553","0.213491","37","47","","4"
"Huub_user_decomp","","../filters/filter.mzn","../filters/dct_1_1.dzn","SATISFIED","1200.6622183145955","1","57","","1216","","results_filter","1199.712522","","","minimize","34","","1289","0","","","","608","0.022739","complete","","1216","1060337471","4816961","49","","","1281","0","1216","","","4745720","0.276656","0","1265","","8"
"Huub_user_s+o","","../filters/filter.mzn","../filters/dct_3_4.dzn","SATISFIED","1200.412760021165","3","105","","","","results_filter","1199.804513","","","minimize","11","","75","0","","","","","0.007941","complete","","0","83320919","27788447","97","","","67","0","","","","7764181","0.189933","0","83","","8"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.46890103071928024","1","26","","","","results_filter","0.003805","","","minimize","6","","14","0","","","","","0.004496","complete","","0","134","44","18","","","11","0","","","","14","0.185839","0","20","","3"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","1.034215584397316","1","43","","","","results_filter","0.540016","","","minimize","28","","57","0","","","","","0.006349","complete","","16832","200761","0","35","","","49","0","","","","11906","0.196862","532","94","","8"
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.5261121662333608","1","25","","","","results_filter","0.057319","","","minimize","18","","26","0","","","","","0.005613","complete","","0","21234","2481","24","","","25","0","","","","2450","0.18903","0","24","","1"
"Huub_user_s+o","","../filters/filter.mzn","../filters/fir_1_2.dzn","OPTIMAL_SOLUTION","0.4756320817396045","3","33","","","","results_filter","0.021195","","","minimize","15","","26","0","","","","","0.005519","complete","","0","6016","724","24","","","25","0","","","","621","0.16695","0","27","","1"
"Huub_free_m+s","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6391093144193292","4","49","","","","results_filter","0.02681","","","minimize","16","","37","0","","","","","0.005898","complete","","406","6803","542","45","","","33","0","","","","191","0.214921","1","147","","4"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/dct_3_4.dzn","OPTIMAL_SOLUTION","2.816127131693065","7","105","","2432","","results_filter","2.227118","","","minimize","11","","2505","0","","","","608","0.033747","complete","","180587","13271085","0","97","","","2497","0","2432","","","53930","0.267711","1604","3152","","8"
"Huub_vsids_no_gen_bounds","","../filters/filter.mzn","../filters/fir_2_3.dzn","OPTIMAL_SOLUTION","0.9888922674581409","1","48","","","","results_filter","0.006175","","","minimize","10","","26","0","","","","","0.005414","complete","","144","2645","0","32","","","25","0","","","","26","0.220941","0","116","","1"
"Huub_user_no_gen_bounds","","../filters/filter.mzn","../filters/ewf_1_1.dzn","OPTIMAL_SOLUTION","0.9253057260066271","1","43","","","","results_filter","0.127833","","","minimize","28","","57","0","","","","","0.005678","complete","","0","29289","3493","35","","","49","0","","","","3353","0.176886","0","35","","8"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/dfq_1_1.dzn","OPTIMAL_SOLUTION","1.1243402753025293","1","26","","","","results_filter","0.003812","","","minimize","4","","14","0","","","","","0.004337","complete","","111","1211","0","18","","","11","0","","","","0","0.249509","0","112","","3"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.6420003557577729","17","61","","720","","results_filter","0.060016","","","minimize","15","","755","0","","","","180","0.01358","complete","","15723","148906","0","45","","","751","0","720","","","270","0.321168","1","918","","4"
"gecode","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","536.5354552064091","4","49","184164774","","4","results_filter","536.082","","","minimize","16","","37","","73","","","","0.000657","","","","1133161167","","","","","40","0","","","","92082365","0.169971","0","49","",""
"Huub_vsids_basic","","../filters/filter.mzn","../filters/ewf_2_2.dzn","OPTIMAL_SOLUTION","0.6014501545578241","1","77","","","","results_filter","0.007763","","","minimize","18","","57","0","","","","","0.007652","complete","","109","4707","0","35","","","49","0","","","","5","0.175865","0","106","","8"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","0.907360122539103","3","49","","","","results_filter","0.208142","","","minimize","18","","37","0","","","","","0.005806","complete","","5335","62616","0","29","","","33","0","","","","4328","0.207559","17","110","","4"
"Huub_free_no_gen_bounds","","../filters/filter.mzn","../filters/fir_1_1.dzn","OPTIMAL_SOLUTION","0.5261502601206303","1","25","","","","results_filter","0.068527","","","minimize","18","","26","0","","","","","0.005108","complete","","145","12424","1194","24","","","25","0","","","","1245","0.171975","16","24","","1"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/dct_3_3.dzn","OPTIMAL_SOLUTION","191.59412888530642","3","105","","","","results_filter","191.156526","","","minimize","14","","75","0","","","","","0.007793","complete","","3794169","14595472","0","97","","","67","0","","","","2952579","0.177345","57315","187","","8"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/ar_1_1.dzn","OPTIMAL_SOLUTION","1.426269007846713","4","33","","","","results_filter","0.964118","","","minimize","34","","37","0","","","","","0.006125","complete","","36554","280814","0","29","","","33","0","","","","25649","0.184082","812","97","","4"
"chuffed","","../filters/filter.mzn","../filters/ar_2_3.dzn","OPTIMAL_SOLUTION","0.504172739572823","2","64","3546","720","","results_filter","0.021","-2001602409","0.0","minimize","15","63","757","","8062","7997","383","180","0.016","","0.02","","159073","","","3062","720","1482","0","","0.02","0.0","383","0.210808","2","52","",""
"Huub_user_m+o","","../filters/filter.mzn","../filters/dct_1_3.dzn","OPTIMAL_SOLUTION","46.20661411527544","1","73","","","","results_filter","45.500178","","","minimize","32","","75","0","","","","","0.007264","complete","","0","2260729","338625","65","","","67","0","","","","334746","0.159535","0","60","","8"
"Huub_free_m+s","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.4652228057384491","3","33","","","","results_filter","0.023001","","","minimize","15","","26","0","","","","","0.005716","complete","","282","8306","824","32","","","25","0","","","","746","0.195814","40","41","","1"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ar_1_2.dzn","OPTIMAL_SOLUTION","1.0694981012493372","3","49","","","","results_filter","0.197837","","","minimize","18","","37","0","","","","","0.00563","complete","","2312","76980","8594","29","","","33","0","","","","5264","0.19202","50","131","","4"
"Huub_free_m+o","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.4447538033127785","3","33","","","","results_filter","0.022563","","","minimize","15","","26","0","","","","","0.005614","complete","","282","8309","824","32","","","25","0","","","","746","0.170685","40","41","","1"
"Huub_vsids_s+o","","../filters/filter.mzn","../filters/fir_1_3.dzn","OPTIMAL_SOLUTION","0.6301682228222489","3","33","","","","results_filter","0.047524","","","minimize","15","","26","0","","","","","0.005715","complete","","2317","19309","0","32","","","25","0","","","","1591","0.212834","56","122","","1"
"Huub_free_m+o","","../filters/filter.mzn","../filters/ar_1_3.dzn","OPTIMAL_SOLUTION","0.6445402726531029","4","49","","","","results_filter","0.034899","","","minimize","16","","37","0","","","","","0.005789","complete","","202","11732","1772","45","","","33","0","","","","486","0.210347","4","48","","4"
"Huub_user_basic","","../filters/filter.mzn","../filters/fir16_1_1.dzn","OPTIMAL_SOLUTION","25.331805869936943","6","35","","","","results_filter","24.816065","","","minimize","35","","36","0","","","","","0.006609","complete","","0","1480120","216154","34","","","35","0","","","","215678","0.17546","0","34","","1"
"Huub_vsids_decomp","","../filters/filter.mzn","../filters/dfq_1_2.dzn","OPTIMAL_SOLUTION","0.5846314085647464","8","26","","80","","results_filter","0.015946","","","minimize","6","","92","0","","","","20","0.005602","complete","","1123","9138","0","18","","","89","0","80","","","64","0.214856","0","211","","3"
"Huub_free_basic","","../filters/filter.mzn","../filters/fir16_1_3.dzn","OPTIMAL_SOLUTION","0.5862090606242418","17","52","","","","results_filter","0.162631","","","minimize","18","","36","0","","","","","0.006163","complete","","1587","26020","6745","51","","","35","0","","","","3172","0.174255","5","160","","1"
"Huub_free_m+o","","../filters/filter.mzn","../filters/dct_3_3.dzn","SATISFIED","1200.2961428230628","1","105","","","","results_filter","1199.802342","","","minimize","14","","75","0","","","","","0.007384","complete","","6281793","116761301","17226249","97","","","67","0","","","","7660592","0.194006","293398","197","","8"
"Huub_free_s+o","","../filters/filter.mzn","../filters/fir_1_4.dzn","OPTIMAL_SOLUTION","0.4889378687366843","3","33","","","","results_filter","0.02387","","","minimize","15","","26","0","","","","","0.005244","complete","","282","8309","824","32","","","25","0","","","","746","0.177211","40","41","","1"
"Huub_vsids_m+s","","../filters/filter.mzn","../filters/dct_1_2.dzn","OPTIMAL_SOLUTION","195.13320542499423","1","73","","","","results_filter","194.526299","","","minimize","32","","75","0","","","","","0.007633","complete","","3345677","26277859","0","49","","","67","0","","","","2064414","0.211458","78924","156","","8"
"Huub_vsids_m+o","","../filters/filter.mzn","../filters/ewf_2_1.dzn","OPTIMAL_SOLUTION","0.5239303503185511","1","69","","","","results_filter","0.012142","","","minimize","21","","57","0","","","","","0.006017","complete","","261","9612","0","35","","","49","0","","","","50","0.183136","0","112","","8"
"gecode","","../filters/filter.mzn","../filters/ewf_1_1.dzn","SATISFIED","1200.22035847418","1","43","598581135","","1","results_filter","1199.82","","","minimize","28","","57","","111","","","","0.000773","","","","3343656624","","","","","59","0","","","","299290551","0.176832","0","53","",""
