"configuration","problem","model","data_file","status","time","run","objective"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","103.757","results_container","10044"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","174.283","results_container","9900"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","175.818","results_container","9570"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","304.123","results_container","9568"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","335.978","results_container","9424"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","480.195","results_container","9216"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","613.103","results_container","8640"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","1027.626","results_container","8352"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","","1127.569","results_container","8265"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","","115.786","results_container","79380"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","","130.419","results_container","78498"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","","142.925","results_container","77616"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","","160.758","results_container","76734"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","","193.746","results_container","75852"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","","206.883","results_container","74970"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","","228.775","results_container","74088"
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","","312.436","results_container","73206"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","","135.377","results_container","20286"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","","14.616","results_container","6048"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","","23.933","results_container","5880"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","","27.474","results_container","5712"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl12.dzn","","31.223","results_container","5376"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","6.365","results_container","17550"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","6.441","results_container","17160"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","6.545","results_container","15840"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","6.622","results_container","15480"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","6.701","results_container","15120"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","6.781","results_container","14760"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","6.877","results_container","13530"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","6.976","results_container","13079"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","7.059","results_container","12760"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","7.21","results_container","11600"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","7.29","results_container","11310"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","7.648","results_container","10179"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","7.79","results_container","10080"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","7.91","results_container","8960"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","7.996","results_container","8736"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","8.469","results_container","7644"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","8.575","results_container","7448"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","8.74","results_container","7371"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","8.9","results_container","7182"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","9.234","results_container","7128"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","9.317","results_container","6966"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","9.409","results_container","6960"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","15.941","results_container","6696"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","25.726","results_container","6528"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","25.938","results_container","6324"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","26.585","results_container","6144"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","26.678","results_container","5952"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","42.758","results_container","5760"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","43.159","results_container","5400"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","64.68","results_container","5280"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","204.793","results_container","5148"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","268.311","results_container","4950"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","489.475","results_container","4800"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","732.509","results_container","4732"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","","1183.627","results_container","4680"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","8.259","results_container","27456"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","8.356","results_container","25740"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","8.48","results_container","25245"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","8.608","results_container","24750"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","8.719","results_container","24255"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","8.819","results_container","24000"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","9.023","results_container","22400"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","9.125","results_container","20800"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","9.227","results_container","20150"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","9.38","results_container","19500"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","9.481","results_container","19227"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","9.607","results_container","19208"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","9.807","results_container","18522"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","9.914","results_container","18144"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","10.11","results_container","17472"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","10.225","results_container","17108"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","10.334","results_container","16800"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","10.436","results_container","16450"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","10.572","results_container","15792"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","10.693","results_container","14664"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","10.84","results_container","14352"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","11.234","results_container","13754"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","11.36","results_container","13455"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","11.471","results_container","13156"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","11.577","results_container","12870"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","11.763","results_container","12831"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","11.867","results_container","12558"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","11.982","results_container","12285"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","12.118","results_container","12012"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","14.26","results_container","12000"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","14.365","results_container","11760"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","14.485","results_container","11520"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","","14.907","results_container","10800"
