"configuration","problem","model","data_file","status","time","variables","method","failures","propagations","propagators","flatTime","initTime","backjumps","baseMem","flatIntVars","peakMem","flatIntConstraints","restarts","flatBoolVars","evaluatedHalfReifiedConstraints","paths","peakDepth","solveTime","objective","nodes","intVars","trailMem","flatBoolConstraints","error","solutions","randomSeed","nogoods","run","nSolutions","boolVariables","optTime","evaluatedReifiedConstraints"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","ERROR","12.893026418983936","","minimize","","","","9.21442","","","","1205","","121205","","119400","119400","0","","","","","","","19900","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","ERROR","12.085219437256455","","minimize","","","","8.55299","","","","1205","","121205","","119400","119400","0","","","","","","","19900","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","ERROR","3.0178100373595953","","minimize","","","","2.00067","","","","605","","30605","","29700","29700","0","","","","","","","4950","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","ERROR","0.04790407977998257","","","","","","","","","","","","","","","","","","","","","","","","syntax error, unexpected integer literal, expecting |]","","","","results","","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","ERROR","0.10481558926403522","","","","","","","","","","","","","","","","","","","","","","","","syntax error, unexpected ',', expecting end of file","","","","results","","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","UNKNOWN","1203.4641524776816","","minimize","","","","13.7177","","","","1505","","189005","","186750","186750","0","","","","","","","31125","","","","","results","0","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","UNKNOWN","1204.4723561983556","","minimize","","","","13.4433","","","","1505","","189005","","186750","186750","0","","","","","","","31125","","","","","results","0","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","UNKNOWN","1200.7342301905155","","minimize","","","","2.00047","","","","605","","30605","","29700","29700","0","","","","","","","4950","","","","","results","0","","",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","ERROR","19.73618551529944","","minimize","","","","14.1302","","","","1505","","189005","","186750","186750","0","","","","","","","31125","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","UNKNOWN","1200.8870748765767","30305","minimize","1257019","5422929497","34955","2.024649","0.262177","","","605","","30605","0","29700","29700","0","196","1197.98","","2514213","","","4950","","0","","","results","0","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","UNSATISFIABLE","5.8372096586972475","321768","minimize","136","5783245","101790","3.29253","0.789","277","0.0","1169","0.0","51869","0","50310","","0","95","0.767","-1","409","1169","0.63","8385","","","-2011360046","136","results","0","320597","0.0","50310"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","ERROR","0.1044731680303812","","","","","","","","","","","","","","","","","","","","","","","","syntax error, unexpected integer literal, expecting |]","","","","results","","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl15.dzn","UNSATISFIABLE","18.86171678453684","290270","minimize","45","1959486","375750","12.9548","2.209","27","0.0","2249","0.0","189749","0","186750","","0","19","0.34","-1","67","2249","2.11","31125","","","1002853624","45","results","0","288019","0.0","186750"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl05.dzn","UNKNOWN","1200.8796129208058","","minimize","","","","2.88037","","","","725","","43925","","42840","42840","0","","","","","","","7140","","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","ERROR","4.802070049569011","","minimize","","","","3.32632","","","","785","","51485","","50310","50310","0","","","","","","","8385","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl01.dzn","UNKNOWN","1200.8309457972646","","minimize","","","","1.93256","","","","605","","30605","","29700","29700","0","","","","","","","4950","","","","","results","0","","",""
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","UNKNOWN","1200.9176731538028","","minimize","","","","3.02732","","","","725","","43925","","42840","42840","0","","","","","","","7140","","","","","results","0","","",""
"gecode","","../container-loading/container-loading.mzn","../container-loading/cl08.dzn","UNKNOWN","1201.437748823315","51095","minimize","380165","6886941828","59090","3.52036","0.464308","","","785","","51485","0","50310","50310","0","237","1196.48","","760557","","","8385","","0","","","results","0","","",""
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","ERROR","3.0757853034883738","","minimize","","","","2.009869","","","","605","","30605","","29700","29700","0","","","","","","","4950","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","ERROR","0.04718600772321224","","","","","","","","","","","","","","","","","","","","","","","","syntax error, unexpected ',', expecting end of file","","","","results","","","",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","ERROR","4.972432989627123","","minimize","","","","3.3772","","","","785","","51485","","50310","50310","0","","","","","","","8385","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
"chuffed","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","UNSATISFIABLE","11.996274692937732","299819","minimize","2444","60381344","60300","1.93515","0.475","1539","0.0","899","0.0","30899","0","29700","","0","72","8.966","-1","3976","899","0.42","4950","","","-968209980","2444","results","0","298918","0.0","29700"
"cp-sat","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","UNKNOWN","1200.955016799271","","minimize","","","","3.33836","","","","785","","51485","","50310","50310","0","","","","","","","8385","","","","","results","0","","",""
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","ERROR","4.438159327954054","","minimize","","","","3.08232","","","","725","","43925","","42840","42840","0","","","","","","","7140","thread 'main' panicked at /home/allenzhong/huub/crates/huub/src/flatzinc.rs:751:37:
not yet implemented: Variables without a domain are not yet supported
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace","","","","results","0","","",""
