"configuration","problem","model","data_file","status","time","run","nSolutions","propagators","objective","flatIntVars","evaluatedReifiedConstraints","userDecisions","intVariables","flatIntConstraints","solveTime","flatBoolConstraints","oracleDecisions","peakDepth","initTime","paths","flatTime","restarts","failures","method","flatBoolVars","extractedViews","blockType","unifiedVariables","propagations"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl03.dzn","SATISFIED","1200.2101372252218","results_container_basic","59","2118","7182","1205","2688","0","605","1758","1199.814645","960","332472","3580","0.040371","0","0.160952","0","102693","minimize","1728","600","complete","0","6900706"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl02.dzn","SATISFIED","1200.2950330139138","results_container_basic","34","2118","7350","1205","2688","0","605","1758","1199.887855","960","192289","1210","0.039931","0","0.179532","0","105475","minimize","1728","600","complete","0","6759242"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl11.dzn","SATISFIED","1200.2606303058565","results_container_basic","39","1040","4992","605","1316","0","305","870","1199.864689","470","773226","1239","0.022026","0","0.122398","2997","290549","minimize","846","300","complete","0","25281859"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.3273593508638","results_container_basic","32","2118","10230","1205","2688","0","605","1758","1199.868336","960","172862","1959","0.038376","0","0.15805","0","96898","minimize","1728","600","complete","0","6693121"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl10.dzn","SATISFIED","1200.294947902672","results_container_basic","43","2668","17360","1505","3388","0","755","2208","1199.780476","1210","300262","4287","0.055118","0","0.182102","0","59557","minimize","2178","750","complete","0","4242904"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl07.dzn","SATISFIED","1200.2098303870298","results_container_basic","40","2118","10260","1205","2688","0","605","1758","1199.823185","960","277455","2629","0.039428","0","0.161832","528","44666","minimize","1728","600","complete","0","8380103"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.1757447142154","results_container_basic","49","1359","7830","785","1722","0","395","1134","1199.849409","615","540674","1690","0.026857","0","0.13579","1764","174470","minimize","1107","390","complete","0","18352994"
"Huub_user","","../container-loading/container-loading.mzn","../container-loading/cl04.dzn","SATISFIED","1200.2581805777736","results_container_basic","29","1029","3450","605","1302","0","305","864","1199.892152","465","460971","641","0.020975","0","0.110249","0","408355","minimize","837","300","complete","0","21953542"
"Huub_free","","../container-loading/container-loading.mzn","../container-loading/cl06.dzn","SATISFIED","1200.1845983979292","results_container_basic","28","2118","10260","1205","2688","0","605","1758","1199.804187","960","239902","2593","0.039324","0","0.168276","375","47746","minimize","1728","600","complete","0","6121714"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl13.dzn","SATISFIED","1200.2176626278087","results_container_basic","28","1359","8208","785","1722","0","395","1134","1199.864249","615","328170","978","0.026775","0","0.132607","0","276285","minimize","1107","390","complete","0","14301783"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl14.dzn","SATISFIED","1200.1828847508878","results_container_basic","33","1260","5250","725","1596","0","365","1050","1199.874106","570","372799","864","0.024925","0","0.121824","0","311957","minimize","1026","360","complete","0","18043902"
"Huub_vsids","","../container-loading/container-loading.mzn","../container-loading/cl09.dzn","SATISFIED","1200.2205153517425","results_container_basic","34","2118","12555","1205","2688","0","605","1758","1199.824423","960","270324","3562","0.041585","0","0.171495","0","105114","minimize","1728","600","complete","0","6222343"
