"configuration","problem","model","data_file","status","time","propagators","extractedViews","propagations","evaluatedReifiedConstraints","blockType","method","peakDepth","unifiedVariables","oracleDecisions","flatBoolConstraints","flatBoolVars","evaluatedHalfReifiedConstraints","run","solveTime","flatIntVars","nSolutions","failures","paths","flatTime","intVariables","eliminatedImplications","restarts","userDecisions","initTime","flatIntConstraints"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.6351060140878","701","32724","149360986","21276","complete","satisfy","16","0","0","10044","31266","108","results_rect_basic_prop","1198.529087","11593","0","3576853","0","1.13472","139","54","0","3579037","0.332891","33385"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","4.821242480073124","532","19803","1117777","12834","complete","satisfy","744","0","9685","6049","18837","92","results_rect_basic_prop","3.221814","7086","1","17643","0","0.742857","111","46","355","11242","0.198797","20305"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","SATISFIED","60.41509678505827","632","27456","15128064","17836","complete","satisfy","1700","0","117830","8424","26208","104","results_rect_basic_prop","58.596311","9755","1","223287","0","1.00098","129","52","6011","164654","0.27286","28052"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8278377091046423","337","8032","70071","5152","complete","satisfy","2381","0","2368","2400","7520","64","results_rect_basic_prop","0.139467","2959","1","1370","0","0.355596","73","32","0","1382","0.081833","8350"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_false.dzn","SATISFIED","45.63577756599989","555","21022","11649329","13616","complete","satisfy","510","0","113715","6394","19964","92","results_rect_basic_prop","44.291072","7527","1","195636","0","0.716896","115","46","5563","148526","0.202693","21545"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","1.713501280057244","488","16380","210468","10584","complete","satisfy","4980","0","6790","4956","15498","84","results_rect_basic_prop","0.436299","5905","1","1562","0","0.685243","103","42","0","0","0.175352","16839"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.5185971150640398","430","13140","218404","8480","complete","satisfy","63","0","1391","3980","12420","80","results_rect_basic_prop","0.571962","4759","1","3744","0","0.501474","93","40","39","2723","0.132331","13545"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","172.57427554402966","746","36736","39383993","23912","complete","satisfy","2184","0","343967","11312","35168","112","results_rect_basic_prop","170.174207","12975","1","640488","0","1.33354","145","56","17871","490012","0.368353","37440"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.5145935859764","602","25025","155822962","16250","complete","satisfy","16","0","0","7675","23875","100","results_rect_basic_prop","1198.843759","8904","0","4461960","0","0.8871","123","50","0","4465578","0.266595","25593"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","3.0174217260209844","676","31131","778970","20250","complete","satisfy","9777","0","19402","9585","29781","108","results_rect_basic_prop","0.985673","11022","1","2724","0","1.12397","135","54","0","0","0.312306","31769"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.45308105601","561","21912","160989620","14208","complete","satisfy","20","0","0","6696","20856","96","results_rect_basic_prop","1198.991366","7827","0","4486283","0","0.780374","117","48","0","4489698","0.224272","22441"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","40.157895443961024","488","16380","10098319","10584","complete","satisfy","492","0","109301","4956","15498","84","results_rect_basic_prop","38.976207","5905","1","201901","0","0.645462","103","42","4031","124938","0.157263","16839"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.500599708990194","626","26425","2679754","17150","complete","satisfy","624","0","20002","8075","25175","100","results_rect_basic_prop","9.745511","9408","1","47169","0","0.957042","127","50","745","33944","0.265966","27015"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.8650669460184872","305","6615","128142","4230","complete","satisfy","1951","0","1935","1965","6165","60","results_rect_basic_prop","0.252295","2458","1","2110","0","0.303145","67","30","0","2131","0.071668","6903"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.7990774579811841","337","8032","56217","5152","complete","satisfy","2444","0","3450","2400","7520","64","results_rect_basic_prop","0.094107","2959","1","782","0","0.353961","73","32","0","0","0.084901","8350"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.3683626289712265","368","9738","313450","6264","complete","satisfy","38","0","1185","2934","9162","72","results_rect_basic_prop","0.635831","3561","1","3610","0","0.370993","81","36","33","2628","0.096835","10085"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","UNKNOWN","1200.6641167600174","532","19803","163473749","12834","complete","satisfy","27","0","0","6049","18837","92","results_rect_basic_prop","1199.061301","7086","0","4549029","0","0.735795","111","46","0","4554671","0.199207","20305"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","2.3106235599843785","596","24048","231051","15600","complete","satisfy","7381","0","9281","7344","22896","96","results_rect_basic_prop","0.614765","8575","1","1577","0","0.922216","121","48","0","0","0.250116","24610"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.6151924930745736","466","15330","237808","9912","complete","satisfy","4683","0","6581","4662","14532","84","results_rect_basic_prop","0.473472","5523","1","1688","0","0.611777","99","42","0","0","0.153273","15769"
