"configuration","problem","model","data_file","status","time","flatIntVars","method","flatIntConstraints","paths","eliminatedImplications","flatBoolVars","nSolutions","run","failures","intVariables","oracleDecisions","userDecisions","flatBoolConstraints","evaluatedReifiedConstraints","propagations","peakDepth","unifiedVariables","blockType","initTime","flatTime","evaluatedHalfReifiedConstraints","extractedViews","propagators","restarts","solveTime"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNSATISFIABLE","6.025305679999292","8904","satisfy","25593","0","50","23875","0","results_rect_core_prop","12881","123","13802","0","7675","16250","2934629","215","0","complete","0.247905","0.826182","100","25025","602","0","4.462563"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_true.dzn","SATISFIED","0.7313057849532925","2603","satisfy","7334","0","32","6592","1","results_rect_core_prop","1136","69","2080","1156","2112","4512","71107","2097","0","complete","0.068591","0.296737","64","7040","311","0","0.123459"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNSATISFIABLE","15.584841210977174","9408","satisfy","27015","0","50","25175","0","results_rect_core_prop","38362","127","41739","0","8075","17150","7635445","1248","0","complete","0.271263","0.936344","100","26425","626","0","13.877549"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNSATISFIABLE","21.139259424991906","11593","satisfy","33385","0","54","31266","0","results_rect_core_prop","42456","139","52419","0","10044","21276","9722650","7086","0","complete","0.330595","1.21115","108","32724","701","0","18.90146"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","UNKNOWN","1200.599845558987","10643","satisfy","30636","0","52","28652","0","results_rect_core_prop","4285096","133","0","4294828","9204","19500","176086801","19","0","complete","0.295577","1.04911","104","30004","670","0","1198.655136"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","307.3014941700385","6161","satisfy","17603","0","44","16258","1","results_rect_core_prop","1499426","105","0","1502484","5214","11088","58572277","24","0","complete","0.165785","0.647321","88","17138","494","0","306.065706"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","19.789040382020175","6803","satisfy","19460","0","44","17996","1","results_rect_core_prop","101525","109","69057","72853","5764","12276","6282302","86","0","complete","0.180488","0.671939","88","18964","526","4593","18.459301"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_false.dzn","SATISFIED","857.7097299449961","10643","satisfy","30636","0","52","28652","1","results_rect_core_prop","2589948","133","1399490","2083311","9204","19500","181009464","2526","0","complete","0.300336","1.07531","104","30004","670","70664","855.730538"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNSATISFIABLE","18.031274530978408","8575","satisfy","24610","0","48","22896","0","results_rect_core_prop","61203","121","36032","38998","7344","15600","6358128","1231","0","complete","0.237437","0.819707","96","24048","596","995","16.492534"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","6.880076868983451","5523","satisfy","15769","0","42","14532","1","results_rect_core_prop","28014","99","12814","19394","4662","9912","2672674","62","0","complete","0.155737","0.591108","84","15330","466","500","5.756503"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNSATISFIABLE","13.592222758044954","9755","satisfy","28052","0","52","26208","0","results_rect_core_prop","31255","129","34569","0","8424","17836","6681600","1507","0","complete","0.266089","0.938861","104","27456","632","0","11.780463"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","UNSATISFIABLE","2.9900259320274927","4015","satisfy","11390","0","36","10368","0","results_rect_core_prop","16487","85","7769","10341","3312","7092","1075946","553","0","complete","0.105357","0.40362","72","11016","397","307","2.180551"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_false.dzn","SATISFIED","3.032624521991238","4015","satisfy","11390","0","36","10368","1","results_rect_core_prop","18617","85","0","18677","3312","7092","861198","19","0","complete","0.105341","0.407101","72","11016","397","0","2.221723"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNSATISFIABLE","973.7931248499663","14077","satisfy","40639","0","58","38222","0","results_rect_core_prop","2813007","151","1605544","1935522","12296","25984","212359269","2716","0","complete","0.3832","1.29259","116","39904","779","64201","971.424066"
