"configuration","problem","model","data_file","status","time","eliminatedImplications","flatTime","method","propagations","userDecisions","nSolutions","extractedViews","intVariables","flatBoolConstraints","evaluatedHalfReifiedConstraints","flatIntConstraints","propagators","flatIntVars","blockType","flatBoolVars","failures","run","initTime","paths","unifiedVariables","restarts","solveTime","peakDepth","evaluatedReifiedConstraints","oracleDecisions"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.5350134363397956","40","0.500142","satisfy","222420","2723","1","13140","93","3980","80","13545","430","4759","complete","12420","3781","results_rect_merge","0.127405","0","0","39","0.587315","59","8480","1412"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","SATISFIED","789.33077516919","56","1.24123","satisfy","163580229","1925519","1","36736","145","11312","112","37440","746","12975","complete","35168","2432271","results_rect_merge","0.360417","0","0","78655","787.064914","2184","23912","1382331"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.4936876143329","50","0.810686","satisfy","159812956","4579733","0","25025","123","7675","100","25593","602","8904","complete","23875","4576042","results_rect_merge","0.238104","0","0","0","1198.948301","16","16250","0"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","SATISFIED","2.9295497429557145","54","1.10103","satisfy","735300","0","1","31131","135","9585","108","31769","676","11022","complete","29781","2494","results_rect_merge","0.314757","0","0","0","0.909613","9835","20250","19071"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.624690155033","48","0.76244","satisfy","163405815","4559853","0","21912","117","6696","96","22441","561","7827","complete","20856","4556338","results_rect_merge","0.211297","0","0","0","1199.023237","20","14208","0"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","9.38571737986058","42","0.584943","satisfy","2591472","31448","1","16380","103","4956","84","16839","488","5905","complete","15498","44064","results_rect_merge","0.15787","0","0","1261","8.277211","510","10584","23373"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","11.50479268701747","50","0.946209","satisfy","2695889","33944","1","26425","127","8075","100","27015","626","9408","complete","25175","47542","results_rect_merge","0.257706","0","0","745","9.78679","621","17150","20424"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.7036644392646849","30","0.273329","satisfy","72919","1291","1","6615","67","1965","60","6903","305","2458","complete","6165","1279","results_rect_merge","0.065207","0","0","0","0.137253","1948","4230","1935"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.8462828742340207","32","0.359732","satisfy","62865","0","1","8032","73","2400","64","8350","337","2959","complete","7520","845","results_rect_merge","0.080341","0","0","0","0.10569","2477","5152","3535"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","1.306226275395602","36","0.396838","satisfy","209967","2614","1","9738","81","2934","72","10085","368","3561","complete","9162","4080","results_rect_merge","0.094368","0","0","33","0.530782","80","6264","1720"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","822.1750822938047","46","0.674501","satisfy","120925999","3396292","1","19803","111","6049","92","20305","532","7086","complete","18837","3392168","results_rect_merge","0.186931","0","0","0","820.897601","22","12834","0"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","2.2155149737372994","48","0.895265","satisfy","222309","0","1","24048","121","7344","96","24610","596","8575","complete","22896","1617","results_rect_merge","0.237583","0","0","0","0.561541","7426","15600","9362"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","1.4530445439741015","42","0.615995","satisfy","136410","0","1","15330","99","4662","84","15769","466","5523","complete","14532","1363","results_rect_merge","0.148944","0","0","0","0.274579","4716","9912","6296"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8066076207906008","34","0.337947","satisfy","63524","0","1","8517","75","2567","68","8841","343","3124","complete","8007","845","results_rect_merge","0.085589","0","0","0","0.109709","2659","5474","3717"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp16_false.dzn","SATISFIED","0.6596572180278599","30","0.277297","satisfy","53573","0","1","6615","67","1965","60","6903","305","2458","complete","6165","743","results_rect_merge","0.064765","0","0","0","0.085658","1967","4230","2923"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.2504713172093034","38","0.495455","satisfy","128128","0","1","12502","91","3762","76","12901","424","4543","complete","11780","1316","results_rect_merge","0.122968","0","0","0","0.268914","3859","8056","5399"
