"configuration","problem","model","data_file","status","time","variables","flatBoolConstraints","flatIntVars","objective","unifiedVariables","evaluatedReifiedConstraints","propagations","paths","propagators","trailMem","initTime","nodes","method","failures","userDecisions","baseMem","nogoods","restarts","boolVariables","nSolutions","evaluatedHalfReifiedConstraints","run","peakMem","oracleDecisions","randomSeed","solveTime","blockType","flatIntConstraints","backjumps","eliminatedImplications","flatTime","peakDepth","intVars","flatBoolVars","intVariables","objectiveBound","solutions","extractedViews"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","8.951885923743248","","5166","5905","","0","10584","9289885","0","1286","","0.173149","","satisfy","44955","35273","","","1427","","1","924","results_rect","","21177","","7.748165","complete","17678","","42","0.653436","255","","16338","103","","","16380"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.883902007713914","","3686","4216","","0","7486","2784885","0","1049","","0.123176","","satisfy","14563","10160","","","347","","1","760","results_rect","","6216","","1.967191","complete","12672","","38","0.480273","291","","11647","87","","","11609"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","16.599800819531083","14274","350","103","","","840","55491142","0","1787","0.04","0.024","136679","satisfy","132118","","0.0","132118","0","14148","1","80","results_rect","0.0","","-810885708","16.305","","996","4540","40","0.110009","20","124","960","","","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","48.312059132382274","275","126","105","","","","47449353","0","375","","0.00214","2853398","satisfy","1426665","","","","0","","1","168","results_rect","","","","48.0722","","247","","84","0.095066","56","","168","","","1",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","17.91176957078278","","5995","6803","","0","12276","16399991","0","1407","","0.207107","","satisfy","82188","50045","","","2247","","1","1012","results_rect","","52910","","16.365161","complete","20383","","44","0.809625","953","","18920","109","","","18964"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.8273663874715567","","2703","3124","","0","5474","272952","0","852","","0.090611","","satisfy","1502","1156","","","89","","1","612","results_rect","","3847","","0.144813","complete","9384","","34","0.347726","3263","","8551","75","","","8517"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.6830679569393","","11690","12975","","0","23912","765510882","0","2203","","0.37905","","satisfy","4377030","4385008","","","0","","0","1624","results_rect","","0","","1198.361378","complete","38951","","56","1.25796","20","","36680","145","","","36736"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.3861584961414337","211","96","79","","","","205015","0","287","","0.009877","8209","satisfy","4093","","","","0","","1","128","results_rect","","","","0.111149","","189","","64","0.089196","29","","128","","","1",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","753.298312285915","","5995","6803","","0","12276","428175968","0","1407","","0.201879","","satisfy","3372079","3376331","","","0","","1","1012","results_rect","","108","","751.836958","complete","20383","","44","0.743109","126","","18920","109","","","18964"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_false.dzn","SATISFIED","0.40037836879491806","","96","79","0","","","85732","0","","","","","satisfy","1674","","","","","136","1","128","results_rect","","","","0.094387","","189","","64","0.102101","","","128","","0","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","821.2771623954177","21012","468","123","","","1200","2690601105","0","2527","0.05","0.034","5590612","satisfy","5398849","","0.0","5398849","0","20862","1","96","results_rect","0.0","","-95784322","820.869","","1386","191738","48","0.142549","29","148","1344","","","",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.5081675965338945","","3933","4543","","0","8056","4432846","0","1069","","0.130718","","satisfy","24955","25054","","","0","","1","760","results_rect","","60","","3.499474","complete","13584","","38","0.539752","79","","12464","91","","","12502"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","43.63104289025068","267","120","103","","","","43906128","0","359","","0.010769","2772093","satisfy","1386014","","","","0","","1","160","results_rect","","","","43.3389","","237","","80","0.095471","51","","160","","","1",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","UNKNOWN","1200.2101843003184","393","174","157","","","","1110823649","0","521","","0.010965","50595097","satisfy","25297543","","","","0","","0","232","results_rect","","","","1199.9","","345","","116","0.101481","61","","232","","","0",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.224089866504","","150","133","","","","","0","","","","","satisfy","","","","","","","0","200","results_rect","","","","","","297","","100","0.09334","","","200","","","",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","1.0665502604097128","","3686","4216","","0","7486","291691","0","1049","","0.123783","","satisfy","1403","0","","","0","","1","760","results_rect","","6004","","0.184354","complete","12672","","38","0.448326","4375","","11647","87","","","11609"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.1554686818272","401","180","159","","","","1115249645","0","537","","0.003701","51411224","satisfy","25705607","","","","0","","0","240","results_rect","","","","1199.89","","355","","120","0.104788","61","","240","","","0",""
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.7366199605167","","12151","13406","","0","24766","793428697","0","2321","","0.391088","","satisfy","4420100","4428379","","","0","","0","1740","results_rect","","0","","1198.25844","complete","40352","","58","1.34644","18","","38077","147","","","38019"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_true.dzn","UNKNOWN","1200.125474801287","331","150","129","","","","834257759","0","447","","0.002483","57035520","satisfy","28517664","","","","0","","0","200","results_rect","","","","1199.9","","295","","100","0.094683","55","","200","","","0",""
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.396306475624442","","5445","6161","","0","11088","327430","0","1376","","0.172667","","satisfy","1352","0","","","0","","1","1012","results_rect","","7984","","0.205842","complete","18526","","44","0.619432","6360","","17182","105","","","17138"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","1.9524846579879522","","5445","6161","","0","11088","1089847","0","1376","","0.17306","","satisfy","4388","2998","","","157","","1","1012","results_rect","","2976","","0.779736","complete","18526","","44","0.622313","279","","17182","105","","","17138"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp27_true.dzn","UNKNOWN","1200.7623715214431","","9936","11022","","0","20250","769147011","0","2029","","0.328717","","satisfy","4405274","4415175","","","0","","0","1512","results_rect","","0","","1198.567776","complete","33172","","54","1.10144","19","","31185","135","","","31131"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.698197023943","","10395","11593","","0","21276","638005917","0","2052","","0.344234","","satisfy","4078801","4081229","","","0","","0","1512","results_rect","","0","","1198.4419","complete","34788","","54","1.21041","16","","32670","139","","","32724"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","UNKNOWN","1200.1766763087362","323","144","127","","","","885900032","0","431","","0.010686","60456444","satisfy","30228125","","","","0","","0","192","results_rect","","","","1199.9","","285","","96","0.096075","55","","192","","","0",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_true.dzn","SATISFIED","12.643731065094471","","126","105","0","","","15942264","0","","","","","satisfy","209023","","","","","345","1","168","results_rect","","","","12.4182","","247","","84","0.090993","","","168","","0","",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_true.dzn","SATISFIED","49.013878501951694","16636","407","111","","","1012","181971389","0","2139","0.05","0.027","391997","satisfy","374587","","0.0","374587","0","16500","1","88","results_rect","0.0","","-1547304504","48.718","","1182","17383","44","0.116143","26","134","1144","","","",""
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","430.3859546817839","","138","117","0","","","575959965","0","","","","","satisfy","6160289","","","","","645","1","184","results_rect","","","","430.062","","271","","92","0.089422","","","184","","0","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_false.dzn","UNKNOWN","1200.1458533946425","365","162","145","","","","511743633","0","485","","0.00374","58477542","satisfy","29238742","","","","0","","0","216","results_rect","","","","1199.91","","321","","108","0.091706","62","","216","","","0",""
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","UNKNOWN","1200.4087122529745","35848","675","159","","","1860","3998188724","0","3883","0.08","0.058","6694612","satisfy","6482992","","0.0","6482992","0","35656","0","120","results_rect","0.0","","398599565","1199.824","","2094","211606","60","0.172344","18","190","2040","","","",""
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","4.554051287472248","","6302","7086","","0","12834","4379424","0","1501","","0.200538","","satisfy","18958","11242","","","355","","1","1104","results_rect","","11225","","3.174423","complete","21316","","46","0.756653","979","","19849","111","","","19803"
