"configuration","problem","model","data_file","status","time","nogoods","flatTime","propagations","paths","variables","propagators","flatBoolConstraints","trailMem","flatBoolVars","solutions","evaluatedHalfReifiedConstraints","extractedViews","restarts","backjumps","eliminatedImplications","unifiedVariables","nodes","blockType","run","nSolutions","randomSeed","objective","evaluatedReifiedConstraints","peakMem","oracleDecisions","objectiveBound","flatIntConstraints","baseMem","flatIntVars","boolVariables","intVars","peakDepth","userDecisions","solveTime","optTime","intVariables","method","failures","initTime"
"cp-sat","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","UNKNOWN","1200.2657790947706","","0.103046","","0","","","150","","200","","200","","","","100","","","","results_all","0","","","","","","","297","","133","","","","","","","","satisfy","",""
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","UNKNOWN","1200.2189336754382","","0.098727","826544826","0","317","429","144","","192","0","192","","0","","96","","60582434","","results_all","0","","","","","","","283","","123","","","57","","1199.9","","","satisfy","30291173","0.008782"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp25_false.dzn","SATISFIED","4.535358227789402","","0.828145","3783715","0","","1653","7620","","24000","","1200","24048","441","","48","0","","complete","results_all","1","","","15600","","9705","","25713","","8575","","","726","10640","2.990586","","121","satisfy","13751","0.242884"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","9.083914205431938","","0.640449","9289885","0","","1286","5166","","16338","","924","16380","1427","","42","0","","complete","results_all","1","","","10584","","21177","","17678","","5905","","","255","35273","7.838074","","103","satisfy","44955","0.169918"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","1.1979881934821606","","0.529982","267176","0","","1069","3933","","12464","","760","12502","0","","38","0","","complete","results_all","1","","","8056","","6165","","13584","","4543","","","4628","0","0.1731","","91","satisfy","1320","0.129006"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp09_false.dzn","SATISFIED","0.2820599917322397","","0.118371","5160","0","","222","418","","1319","","143","1336","0","","15","0","","complete","results_all","1","","","832","","498","","1575","","535","","","507","40","0.004996","","25","satisfy","32","0.018615"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.193414280191","","0.099747","642014123","0","345","465","156","","208","0","208","","0","","104","","56765179","","results_all","0","","","","","","","307","","135","","","54","","1199.9","","","satisfy","28382516","0.004143"
"gecode","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","UNKNOWN","1200.3200081661344","","0.109516","887437947","0","295","395","132","","176","0","176","","0","","88","","64153353","","results_all","0","","","","","","","261","","115","","","57","","1199.89","","","satisfy","32076554","0.086889"
"chuffed","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_true.dzn","SATISFIED","1.8033063486218452","22882","0.119153","10228369","0","12936","1783","350","0.04","960","","80","","0","1101","40","","24005","","results_all","1","1290034917","","840","0.0","","","994","0.0","99","12814","120","23","","1.507","","","satisfy","22882","0.022"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","1.8113795425742865","","0.811703","468160","0","","1620","6972","","21960","","1200","21912","0","","48","0","","complete","results_all","1","","","14208","","9857","","23544","","7827","","","8053","0","0.293651","","117","satisfy","1495","0.232217"
