"configuration","problem","model","data_file","status","time","flatBoolVars","run","extractedViews","flatIntVars","propagators","failures","unifiedVariables","restarts","method","oracleDecisions","flatBoolConstraints","flatIntConstraints","peakDepth","propagations","eliminatedImplications","evaluatedHalfReifiedConstraints","initTime","evaluatedReifiedConstraints","flatTime","paths","nSolutions","intVariables","userDecisions","blockType","solveTime"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","51.871316977310926","36453","results_rect_seperate+merge","38019","13406","752","206565","0","3531","satisfy","115460","11745","38729","1811","11994056","58","116","0.373972","24766","1.23083","0","1","147","130243","complete","49.590342"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_false.dzn","SATISFIED","1.3213820797391236","8636","results_rect_seperate+merge","9214","3383","362","1428","0","0","satisfy","4364","2754","9555","2784","114185","34","68","0.091165","5916","0.408666","0","1","79","0","complete","0.227204"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp22_false.dzn","SATISFIED","81.00356503902003","15498","results_rect_seperate+merge","16380","5905","488","402377","0","0","satisfy","0","4956","16839","20","17998046","42","84","0.15584","10584","0.604172","0","1","103","403031","complete","79.771746"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.9073811061680317","8007","results_rect_seperate+merge","8517","3124","343","1369","0","0","satisfy","2533","2567","8841","2548","70449","34","68","0.082538","5474","0.340654","0","1","75","1383","complete","0.144318"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp24_true.dzn","SATISFIED","146.5174508211203","20856","results_rect_seperate+merge","21912","7827","561","617268","0","14459","satisfy","321622","6696","22441","1163","32104554","48","96","0.213775","14208","0.79617","0","1","117","463635","complete","144.718536"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","201.4330296330154","32452","results_rect_seperate+merge","33908","11991","707","630406","0","18345","satisfy","423370","10444","34575","1984","42396668","56","112","0.335845","22064","1.19517","0","1","141","486380","complete","198.937149"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp18_true.dzn","SATISFIED","3.927582085132599","9162","results_rect_seperate+merge","9738","3561","368","25261","0","0","satisfy","0","2934","10085","19","1042661","36","72","0.095561","6264","0.374707","0","1","81","25347","complete","3.128963"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp21_false.dzn","SATISFIED","1.2348178061656654","13820","results_rect_seperate+merge","14620","5283","460","1363","0","0","satisfy","6055","4420","15053","4475","135736","40","80","0.139262","9440","0.514202","0","1","97","0","complete","0.259264"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp26_false.dzn","SATISFIED","10.675030270125717","25175","results_rect_seperate+merge","26425","9408","626","47542","0","745","satisfy","20424","8075","27015","621","2695889","50","100","0.240512","17150","0.877348","0","1","127","33944","complete","9.032824"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_true.dzn","SATISFIED","1.7454176945611835","18837","results_rect_seperate+merge","19803","7086","532","1485","0","0","satisfy","7884","6049","20305","6127","153734","46","92","0.194007","12834","0.708929","0","1","111","0","complete","0.40881"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp28_true.dzn","SATISFIED","3.26777807995677","32452","results_rect_seperate+merge","33908","11991","707","1736","0","0","satisfy","19541","10444","34575","10573","769735","56","112","0.335965","22064","1.19924","0","1","141","0","complete","0.772524"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp23_false.dzn","SATISFIED","1.5052408748306334","17996","results_rect_seperate+merge","18964","6803","526","1485","0","0","satisfy","7599","5764","19460","5842","152754","44","88","0.168955","12276","0.601463","0","1","109","0","complete","0.368788"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_false.dzn","SATISFIED","3.738549569621682","38222","results_rect_seperate+merge","39904","14077","779","2531","0","0","satisfy","11521","12296","40639","8826","721317","58","116","0.394025","25984","1.32297","0","1","151","0","complete","1.22252"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","SATISFIED","3.4012457127682865","36453","results_rect_seperate+merge","38019","13406","752","2633","0","0","satisfy","11171","11745","38729","8442","799766","58","116","0.373775","24766","1.23184","0","1","147","0","complete","1.133646"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp30_true.dzn","SATISFIED","3.7776586562395096","39570","results_rect_seperate+merge","41250","14529","785","2532","0","0","satisfy","11925","12750","41991","9169","728340","60","120","0.389604","26880","1.37167","0","1","153","0","complete","1.190025"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_false.dzn","SATISFIED","2.379396279808134","25175","results_rect_seperate+merge","26425","9408","626","1573","0","0","satisfy","11071","8075","27015","8156","211434","50","100","0.26135","17150","0.942756","0","1","127","0","complete","0.570117"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp26_true.dzn","UNKNOWN","1200.5225232699886","26208","results_rect_seperate+merge","27456","9755","632","4041681","0","0","satisfy","0","8424","28052","15","145769457","52","104","0.268649","17836","0.952131","0","0","129","4046661","complete","1198.776742"
