"configuration","problem","model","data_file","status","time","flatBoolVars","run","extractedViews","flatIntVars","propagators","failures","unifiedVariables","restarts","method","oracleDecisions","flatBoolConstraints","flatIntConstraints","peakDepth","propagations","eliminatedImplications","evaluatedHalfReifiedConstraints","initTime","evaluatedReifiedConstraints","flatTime","paths","nSolutions","intVariables","userDecisions","blockType","solveTime"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp21_false.dzn","SATISFIED","23.883467642590404","13820","results_rect_seperate+merge","14620","5283","460","144706","0","0","satisfy","0","4420","15053","21","6447309","40","80","0.132951","9440","0.530487","0","1","97","144986","complete","22.894778"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp22_false.dzn","SATISFIED","8.881941911298782","15498","results_rect_seperate+merge","16380","5905","488","44064","0","1261","satisfy","23373","4956","16839","510","2591472","42","84","0.144862","10584","0.563532","0","1","103","31448","complete","7.839741"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","2.9093242529779673","10963","results_rect_seperate+merge","11609","4216","403","14683","0","319","satisfy","5835","3515","11989","122","780313","38","76","0.106943","7486","0.423638","0","1","87","10357","complete","2.076322"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","4.694719155319035","17996","results_rect_seperate+merge","18964","6803","526","16891","0","383","satisfy","10243","5764","19460","953","1302773","44","88","0.168189","12276","0.635334","0","1","109","10827","complete","3.426749"
"Huub_free","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp17_true.dzn","SATISFIED","0.9286578479222953","8007","results_rect_seperate+merge","8517","3124","343","1498","0","89","satisfy","3223","2567","8841","2644","85525","34","68","0.081964","5474","0.34295","0","1","75","1156","complete","0.162147"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_false.dzn","UNKNOWN","1200.6618964988738","35168","results_rect_seperate+merge","36736","12975","746","3915354","0","0","satisfy","0","11312","37440","18","170604638","56","112","0.363641","23912","1.21302","0","0","145","3921376","complete","1198.420786"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/rpp23_false.dzn","SATISFIED","739.3264127359726","17996","results_rect_seperate+merge","18964","6803","526","3386142","0","0","satisfy","0","5764","19460","21","120135728","44","88","0.168743","12276","0.639092","0","1","109","3390405","complete","738.047001"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp20_false.dzn","SATISFIED","4.89761834172532","11780","results_rect_seperate+merge","12502","4543","424","25229","0","0","satisfy","0","3762","12901","20","1290791","38","76","0.122237","8056","0.500304","0","1","91","25324","complete","3.861559"
"Huub_vsids","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp19_true.dzn","SATISFIED","1.1066504940390587","10963","results_rect_seperate+merge","11609","4216","403","1377","0","0","satisfy","5092","3515","11989","3540","128604","38","76","0.106208","7486","0.424845","0","1","87","0","complete","0.264822"
"Huub_user","","../rectangle-packing/rect_packing.mzn","../rectangle-packing/data_square/rpp29_true.dzn","UNKNOWN","1200.7726766909473","36453","results_rect_seperate+merge","38019","13406","752","3868838","0","0","satisfy","0","11745","38729","19","168807376","58","116","0.373847","24766","1.35018","0","0","147","3874837","complete","1198.273471"
